축제명,그룹명,개최년도,구분명,지표값
울산옹기축제,축제기간,2025,외부방문자 유입,0.879
울산옹기축제,축제기간,2025,현지인방문자 유입,0.838
울산옹기축제,축제기간,2025,내비게이션 검색량,0.779
울산옹기축제,축제기간,2025,관광소비,0.878
울산옹기축제,축제기간,2025,축제지 집중률,0.965
울산옹기축제,비축제기간,2025,외부방문자 유입,0.395
울산옹기축제,비축제기간,2025,현지인방문자 유입,0.788
울산옹기축제,비축제기간,2025,내비게이션 검색량,0.28
울산옹기축제,비축제기간,2025,관광소비,0.692
울산옹기축제,비축제기간,2025,축제지 집중률,0.664
울산옹기축제,축제기간,2024,외부방문자 유입,0.746
울산옹기축제,축제기간,2024,현지인방문자 유입,0.812
울산옹기축제,축제기간,2024,내비게이션 검색량,0.681
울산옹기축제,축제기간,2024,관광소비,0.872
울산옹기축제,축제기간,2024,축제지 집중률,0.859
울산옹기축제,비축제기간,2024,외부방문자 유입,0.452
울산옹기축제,비축제기간,2024,현지인방문자 유입,0.828
울산옹기축제,비축제기간,2024,내비게이션 검색량,0.344
울산옹기축제,비축제기간,2024,관광소비,0.76
울산옹기축제,비축제기간,2024,축제지 집중률,0.667
울산옹기축제,축제기간,2023,외부방문자 유입,0.549
울산옹기축제,축제기간,2023,현지인방문자 유입,0.802
울산옹기축제,축제기간,2023,내비게이션 검색량,0.351
울산옹기축제,축제기간,2023,관광소비,0.748
울산옹기축제,축제기간,2023,축제지 집중률,0.756
울산옹기축제,비축제기간,2023,외부방문자 유입,0.538
울산옹기축제,비축제기간,2023,현지인방문자 유입,0.881
울산옹기축제,비축제기간,2023,내비게이션 검색량,0.388
울산옹기축제,비축제기간,2023,관광소비,0.765
울산옹기축제,비축제기간,2023,축제지 집중률,0.733
