구분,순위,읍면동명,목적지명,도로명주소,카테고리
외지인,1,무실동,원주역,강원 원주시 북원로 1860-0,교통시설
외지인,2,무실동,원주한지테마파크,강원 원주시 한지공원길 151-0,전시시설
외지인,3,무실동,롯데시네마원주무실,강원 원주시 능라동길 51-0,공연시설
외지인,4,무실동,원주한지공원,강원 원주시 한지공원길 151-0,도시공원
외지인,5,무실동,무실체육공원,강원 원주시 솔우물2길 47-0,도시공원
외지인,6,무실동,백운아트홀,강원 원주시 시청로 1-0,공연시설
외지인,7,무실동,HN원주어시장,강원 원주시 만대로 132-0,시장
외지인,8,무실동,쁘띠몽드,강원 원주시 능라동길 7-0,테마공원
외지인,9,무실동,원주배드민턴전용구장,강원 원주시 한지공원길 117-2,기타레저스포츠
외지인,10,무실동,플레이랩원주점,강원 원주시 능라동길 70-0,테마공원
외지인,11,무실동,키즈펀스원주점,강원 원주시 시청로 94-0,테마공원
외지인,12,무실동,나이스롤러,강원 원주시 능라동길 78-0,육상레저스포츠
외지인,13,무실동,무삼공원,강원 원주시 무실로 323-0,도시공원
외지인,14,무실동,원주허브팜,강원 원주시 마장2길 33-0,농/산/어촌체험
외지인,15,무실동,원주중앙공원1구역,강원 원주시 한지공원길 117-2,도시공원
외지인,16,무실동,마리누스어린이수영장,강원 원주시 시청로 27-0,테마공원
외지인,17,무실동,해신수산,강원 원주시 만대로 132-0,시장
외지인,18,무실동,정탁구클럽,강원 원주시 능라동길 74-0,기타레저스포츠
전체,1,무실동,원주역,강원 원주시 북원로 1860-0,교통시설
전체,2,무실동,원주한지테마파크,강원 원주시 한지공원길 151-0,전시시설
전체,3,무실동,롯데시네마원주무실,강원 원주시 능라동길 51-0,공연시설
전체,4,무실동,원주한지공원,강원 원주시 한지공원길 151-0,도시공원
전체,5,무실동,무실체육공원,강원 원주시 솔우물2길 47-0,도시공원
전체,5,무실동,백운아트홀,강원 원주시 시청로 1-0,공연시설
전체,7,무실동,HN원주어시장,강원 원주시 만대로 132-0,시장
전체,8,무실동,쁘띠몽드,강원 원주시 능라동길 7-0,테마공원
전체,9,무실동,원주배드민턴전용구장,강원 원주시 한지공원길 117-2,기타레저스포츠
전체,10,무실동,키즈펀스원주점,강원 원주시 시청로 94-0,테마공원
전체,11,무실동,플레이랩원주점,강원 원주시 능라동길 70-0,테마공원
전체,12,무실동,나이스롤러,강원 원주시 능라동길 78-0,육상레저스포츠
전체,13,무실동,무삼공원,강원 원주시 무실로 323-0,도시공원
전체,14,무실동,원주허브팜,강원 원주시 마장2길 33-0,농/산/어촌체험
전체,15,무실동,원주중앙공원1구역,강원 원주시 한지공원길 117-2,도시공원
전체,15,무실동,마리누스어린이수영장,강원 원주시 시청로 27-0,테마공원
전체,17,무실동,해신수산,강원 원주시 만대로 132-0,시장
전체,17,무실동,정탁구클럽,강원 원주시 능라동길 74-0,기타레저스포츠
현지인,1,무실동,원주역,강원 원주시 북원로 1860-0,교통시설
현지인,2,무실동,원주한지테마파크,강원 원주시 한지공원길 151-0,전시시설
현지인,3,무실동,롯데시네마원주무실,강원 원주시 능라동길 51-0,공연시설
현지인,4,무실동,원주한지공원,강원 원주시 한지공원길 151-0,도시공원
현지인,5,무실동,원주배드민턴전용구장,강원 원주시 한지공원길 117-2,기타레저스포츠
현지인,6,무실동,백운아트홀,강원 원주시 시청로 1-0,공연시설
현지인,7,무실동,무실체육공원,강원 원주시 솔우물2길 47-0,도시공원
현지인,8,무실동,HN원주어시장,강원 원주시 만대로 132-0,시장
현지인,9,무실동,쁘띠몽드,강원 원주시 능라동길 7-0,테마공원
현지인,10,무실동,키즈펀스원주점,강원 원주시 시청로 94-0,테마공원
현지인,11,무실동,나이스롤러,강원 원주시 능라동길 78-0,육상레저스포츠
현지인,12,무실동,플레이랩원주점,강원 원주시 능라동길 70-0,테마공원
현지인,13,무실동,무삼공원,강원 원주시 무실로 323-0,도시공원
현지인,14,무실동,마리누스어린이수영장,강원 원주시 시청로 27-0,테마공원
현지인,15,무실동,원주중앙공원1구역,강원 원주시 한지공원길 117-2,도시공원
현지인,16,무실동,원주허브팜,강원 원주시 마장2길 33-0,농/산/어촌체험
현지인,17,무실동,정탁구클럽,강원 원주시 능라동길 74-0,기타레저스포츠
현지인,18,무실동,해신수산,강원 원주시 만대로 132-0,시장
