축제명,그룹명,개최년도,구분명,지표값
관악강감찬축제,축제기간,2025,외부방문자 유입,0.764
관악강감찬축제,축제기간,2025,현지인방문자 유입,0.929
관악강감찬축제,축제기간,2025,내비게이션 검색량,0.579
관악강감찬축제,축제기간,2025,관광소비,0.762
관악강감찬축제,축제기간,2025,축제지 집중률,0.862
관악강감찬축제,비축제기간,2025,외부방문자 유입,0.707
관악강감찬축제,비축제기간,2025,현지인방문자 유입,0.8
관악강감찬축제,비축제기간,2025,내비게이션 검색량,0.31
관악강감찬축제,비축제기간,2025,관광소비,0.778
관악강감찬축제,비축제기간,2025,축제지 집중률,0.814
관악강감찬축제,축제기간,2024,외부방문자 유입,0.765
관악강감찬축제,축제기간,2024,현지인방문자 유입,0.916
관악강감찬축제,축제기간,2024,내비게이션 검색량,0.467
관악강감찬축제,축제기간,2024,관광소비,0.788
관악강감찬축제,축제기간,2024,축제지 집중률,0.895
관악강감찬축제,비축제기간,2024,외부방문자 유입,0.694
관악강감찬축제,비축제기간,2024,현지인방문자 유입,0.789
관악강감찬축제,비축제기간,2024,내비게이션 검색량,0.331
관악강감찬축제,비축제기간,2024,관광소비,0.763
관악강감찬축제,비축제기간,2024,축제지 집중률,0.824
관악강감찬축제,축제기간,2023,외부방문자 유입,0.769
관악강감찬축제,축제기간,2023,현지인방문자 유입,0.846
관악강감찬축제,축제기간,2023,내비게이션 검색량,0.755
관악강감찬축제,축제기간,2023,관광소비,0.741
관악강감찬축제,축제기간,2023,축제지 집중률,0.903
관악강감찬축제,비축제기간,2023,외부방문자 유입,0.691
관악강감찬축제,비축제기간,2023,현지인방문자 유입,0.707
관악강감찬축제,비축제기간,2023,내비게이션 검색량,0.391
관악강감찬축제,비축제기간,2023,관광소비,0.721
관악강감찬축제,비축제기간,2023,축제지 집중률,0.803
