구분,순위,읍면동명,목적지명,도로명주소,카테고리
외지인,1,음성읍,음성품바축제,충북 음성군 설성공원길 28-0,기타문화관광지
외지인,2,음성읍,설성공원,충북 음성군 설성공원길 16-0,도시공원
외지인,3,음성읍,코스카CC,충북 음성군 동음로 318-0,육상레저스포츠
외지인,4,음성읍,음성시외버스터미널,충북 음성군 수정로 31-0,교통시설
외지인,5,음성읍,음성생활체육공원,충북 음성군 체육공원길 36-0,도시공원
외지인,6,음성읍,음성역,충북 음성군 한불로 60-0,교통시설
외지인,7,음성읍,봉학골산림욕장,충북 음성군 용광로230번길 138-0,자연공원
외지인,8,음성읍,가섭사,충북 음성군 가섭길 494-0,종교성지
외지인,9,음성읍,음성전통시장,충북 음성군 시장로 111-1,시장
외지인,10,음성읍,음성군생활문화센터,충북 음성군 설성공원길 10-7,기타문화관광지
외지인,11,음성읍,꽃동네사랑의연수원,충북 음성군 꽃동네길 138-0,육상레저스포츠
외지인,12,음성읍,야외음악당,충북 음성군 설성공원길 28-0,공연시설
외지인,13,음성읍,가섭정,충북 음성군 용광로 327-0,육상레저스포츠
외지인,14,음성읍,사정저수지,충북 음성군,자연경관(하천/해양)
외지인,15,음성읍,설성시네마,충북 음성군 수정로 37-0,공연시설
외지인,16,음성읍,용산리저수지,충북 음성군,자연경관(하천/해양)
외지인,17,음성읍,음성장,충북 음성군,시장
외지인,18,음성읍,봉화골산림욕장,충북 음성군 용광로230번길 138-0,자연공원
외지인,19,음성읍,감우재전승기념관,충북 음성군 생음대로 594-0,전시시설
외지인,20,음성읍,무극저수지,충북 음성군,자연경관(하천/해양)
외지인,21,음성읍,설성문화회관,충북 음성군 수정로 37-0,기타문화관광지
외지인,22,음성읍,체로키승마스쿨,충북 음성군,육상레저스포츠
외지인,23,음성읍,봉학골계곡,충북 음성군 용광로230번길 138-0,자연경관(산)
외지인,24,음성읍,생골지,충북 음성군,자연경관(하천/해양)
외지인,24,음성읍,산딸기체험농장,충북 음성군 하초로 276-0,농/산/어촌체험
외지인,26,음성읍,가섭산,충북 충주시,자연경관(산)
외지인,26,음성읍,설성평생학습관,충북 음성군 수정로 37-0,체험관광기타
외지인,26,음성읍,음성군 음성읍 황토명상마을,충북 음성군,역사유적지
전체,1,음성읍,음성품바축제,충북 음성군 설성공원길 28-0,기타문화관광지
전체,2,음성읍,설성공원,충북 음성군 설성공원길 16-0,도시공원
전체,3,음성읍,코스카CC,충북 음성군 동음로 318-0,육상레저스포츠
전체,4,음성읍,음성시외버스터미널,충북 음성군 수정로 31-0,교통시설
전체,5,음성읍,음성역,충북 음성군 한불로 60-0,교통시설
전체,6,음성읍,음성생활체육공원,충북 음성군 체육공원길 36-0,도시공원
전체,7,음성읍,봉학골산림욕장,충북 음성군 용광로230번길 138-0,자연공원
전체,8,음성읍,가섭사,충북 음성군 가섭길 494-0,종교성지
전체,9,음성읍,음성전통시장,충북 음성군 시장로 111-1,시장
전체,10,음성읍,음성군생활문화센터,충북 음성군 설성공원길 10-7,기타문화관광지
전체,11,음성읍,야외음악당,충북 음성군 설성공원길 28-0,공연시설
전체,12,음성읍,꽃동네사랑의연수원,충북 음성군 꽃동네길 138-0,육상레저스포츠
전체,12,음성읍,가섭정,충북 음성군 용광로 327-0,육상레저스포츠
전체,14,음성읍,사정저수지,충북 음성군,자연경관(하천/해양)
전체,15,음성읍,설성시네마,충북 음성군 수정로 37-0,공연시설
전체,16,음성읍,용산리저수지,충북 음성군,자연경관(하천/해양)
전체,17,음성읍,봉화골산림욕장,충북 음성군 용광로230번길 138-0,자연공원
전체,18,음성읍,음성장,충북 음성군,시장
전체,19,음성읍,감우재전승기념관,충북 음성군 생음대로 594-0,전시시설
전체,20,음성읍,체로키승마스쿨,충북 음성군,육상레저스포츠
전체,21,음성읍,무극저수지,충북 음성군,자연경관(하천/해양)
전체,21,음성읍,설성문화회관,충북 음성군 수정로 37-0,기타문화관광지
전체,23,음성읍,봉학골계곡,충북 음성군 용광로230번길 138-0,자연경관(산)
전체,24,음성읍,생골지,충북 음성군,자연경관(하천/해양)
전체,25,음성읍,설성평생학습관,충북 음성군 수정로 37-0,체험관광기타
전체,25,음성읍,음성군 음성읍 황토명상마을,충북 음성군,역사유적지
전체,27,음성읍,산딸기체험농장,충북 음성군 하초로 276-0,농/산/어촌체험
전체,28,음성읍,가섭산,충북 충주시,자연경관(산)
현지인,1,음성읍,음성품바축제,충북 음성군 설성공원길 28-0,기타문화관광지
현지인,2,음성읍,설성공원,충북 음성군 설성공원길 16-0,도시공원
현지인,3,음성읍,음성시외버스터미널,충북 음성군 수정로 31-0,교통시설
현지인,4,음성읍,코스카CC,충북 음성군 동음로 318-0,육상레저스포츠
현지인,5,음성읍,음성역,충북 음성군 한불로 60-0,교통시설
현지인,6,음성읍,봉학골산림욕장,충북 음성군 용광로230번길 138-0,자연공원
현지인,7,음성읍,음성생활체육공원,충북 음성군 체육공원길 36-0,도시공원
