축제명,그룹명,개최년도,구분명,지표값
음성품바축제,축제기간,2025,외부방문자 유입,0.688
음성품바축제,축제기간,2025,현지인방문자 유입,0.929
음성품바축제,축제기간,2025,내비게이션 검색량,0.582
음성품바축제,축제기간,2025,관광소비,0.725
음성품바축제,축제기간,2025,축제지 집중률,0.79
음성품바축제,비축제기간,2025,외부방문자 유입,0.353
음성품바축제,비축제기간,2025,현지인방문자 유입,0.755
음성품바축제,비축제기간,2025,내비게이션 검색량,0.223
음성품바축제,비축제기간,2025,관광소비,0.721
음성품바축제,비축제기간,2025,축제지 집중률,0.457
음성품바축제,축제기간,2024,외부방문자 유입,0.612
음성품바축제,축제기간,2024,현지인방문자 유입,0.918
음성품바축제,축제기간,2024,내비게이션 검색량,0.562
음성품바축제,축제기간,2024,관광소비,0.769
음성품바축제,축제기간,2024,축제지 집중률,0.741
음성품바축제,비축제기간,2024,외부방문자 유입,0.294
음성품바축제,비축제기간,2024,현지인방문자 유입,0.74
음성품바축제,비축제기간,2024,내비게이션 검색량,0.227
음성품바축제,비축제기간,2024,관광소비,0.765
음성품바축제,비축제기간,2024,축제지 집중률,0.421
음성품바축제,축제기간,2023,외부방문자 유입,0.67
음성품바축제,축제기간,2023,현지인방문자 유입,0.942
음성품바축제,축제기간,2023,내비게이션 검색량,0.622
음성품바축제,축제기간,2023,관광소비,0.644
음성품바축제,축제기간,2023,축제지 집중률,0.832
음성품바축제,비축제기간,2023,외부방문자 유입,0.306
음성품바축제,비축제기간,2023,현지인방문자 유입,0.727
음성품바축제,비축제기간,2023,내비게이션 검색량,0.483
음성품바축제,비축제기간,2023,관광소비,0.623
음성품바축제,비축제기간,2023,축제지 집중률,0.428
