구분,순위,읍면동명,목적지명,도로명주소,카테고리
외지인,1,모가면,비에이비스타CC,경기 이천시 어농로 272-0,육상레저스포츠
외지인,2,모가면,이천농업테마공원,경기 이천시 공원로 48-0,도시공원
외지인,3,모가면,이천쌀문화축제,경기 이천시 공원로 48-0,기타문화관광지
외지인,4,모가면,뉴스프링빌CC,경기 이천시 사실로527번길 158-0,육상레저스포츠
외지인,5,모가면,테르메덴,경기 이천시 사실로 984-0,웰니스관광
외지인,6,모가면,사우스스프링스CC,경기 이천시 공원로 64-0,육상레저스포츠
외지인,7,모가면,웰링턴CC,경기 이천시 사실로725번길 119-73,육상레저스포츠
외지인,8,모가면,소고리야구장,경기 이천시 공원로 61-4,레저스포츠시설
외지인,9,모가면,민주화운동기념공원,경기 이천시,도시공원
외지인,10,모가면,모가생활체육공원,경기 이천시,도시공원
외지인,11,모가면,뉴스프링빌CC퍼블릭,경기 이천시 사실로527번길 158-0,육상레저스포츠
외지인,12,모가면,라드라비,경기 이천시 진상미로1163번길 220-0,기타문화관광지
외지인,13,모가면,민주화운동기념공원기념관,경기 이천시 공원로 30-0,전시시설
외지인,14,모가면,용학사,경기 이천시 진상미로1067번길 271-0,종교성지
외지인,15,모가면,이천목재문화체험장,경기 이천시 공원로 46-0,기타문화관광지
외지인,16,모가면,서경저수지,경기 이천시,자연경관(하천/해양)
외지인,17,모가면,골목대장엉클팜,경기 이천시 사실로785번길 78-19,농/산/어촌체험
외지인,18,모가면,새들녘,경기 이천시 진상미로1044번길 83-33,시장
외지인,19,모가면,오건농장,경기 이천시 대월로261번길 86-40,농/산/어촌체험
외지인,19,모가면,용광사,경기 이천시 진상미로1163번길 301-0,종교성지
외지인,19,모가면,에이스목장,경기 이천시 공원로249번길 192-0,농/산/어촌체험
전체,1,모가면,이천농업테마공원,경기 이천시 공원로 48-0,도시공원
전체,2,모가면,비에이비스타CC,경기 이천시 어농로 272-0,육상레저스포츠
전체,3,모가면,이천쌀문화축제,경기 이천시 공원로 48-0,기타문화관광지
전체,4,모가면,뉴스프링빌CC,경기 이천시 사실로527번길 158-0,육상레저스포츠
전체,5,모가면,테르메덴,경기 이천시 사실로 984-0,웰니스관광
전체,6,모가면,사우스스프링스CC,경기 이천시 공원로 64-0,육상레저스포츠
전체,7,모가면,웰링턴CC,경기 이천시 사실로725번길 119-73,육상레저스포츠
전체,8,모가면,소고리야구장,경기 이천시 공원로 61-4,레저스포츠시설
전체,9,모가면,모가생활체육공원,경기 이천시,도시공원
전체,10,모가면,민주화운동기념공원,경기 이천시,도시공원
전체,11,모가면,뉴스프링빌CC퍼블릭,경기 이천시 사실로527번길 158-0,육상레저스포츠
전체,12,모가면,라드라비,경기 이천시 진상미로1163번길 220-0,기타문화관광지
전체,13,모가면,민주화운동기념공원기념관,경기 이천시 공원로 30-0,전시시설
전체,14,모가면,용학사,경기 이천시 진상미로1067번길 271-0,종교성지
전체,15,모가면,이천목재문화체험장,경기 이천시 공원로 46-0,기타문화관광지
전체,15,모가면,서경저수지,경기 이천시,자연경관(하천/해양)
전체,17,모가면,골목대장엉클팜,경기 이천시 사실로785번길 78-19,농/산/어촌체험
전체,17,모가면,새들녘,경기 이천시 진상미로1044번길 83-33,시장
전체,19,모가면,용광사,경기 이천시 진상미로1163번길 301-0,종교성지
전체,19,모가면,에이스목장,경기 이천시 공원로249번길 192-0,농/산/어촌체험
전체,21,모가면,오건농장,경기 이천시 대월로261번길 86-40,농/산/어촌체험
현지인,1,모가면,이천농업테마공원,경기 이천시 공원로 48-0,도시공원
현지인,2,모가면,이천쌀문화축제,경기 이천시 공원로 48-0,기타문화관광지
현지인,3,모가면,비에이비스타CC,경기 이천시 어농로 272-0,육상레저스포츠
현지인,4,모가면,테르메덴,경기 이천시 사실로 984-0,웰니스관광
현지인,5,모가면,뉴스프링빌CC,경기 이천시 사실로527번길 158-0,육상레저스포츠
현지인,6,모가면,소고리야구장,경기 이천시 공원로 61-4,레저스포츠시설
현지인,7,모가면,웰링턴CC,경기 이천시 사실로725번길 119-73,육상레저스포츠
현지인,8,모가면,사우스스프링스CC,경기 이천시 공원로 64-0,육상레저스포츠
현지인,9,모가면,모가생활체육공원,경기 이천시,도시공원
현지인,10,모가면,민주화운동기념공원,경기 이천시,도시공원
현지인,11,모가면,라드라비,경기 이천시 진상미로1163번길 220-0,기타문화관광지
현지인,12,모가면,뉴스프링빌CC퍼블릭,경기 이천시 사실로527번길 158-0,육상레저스포츠
현지인,13,모가면,용학사,경기 이천시 진상미로1067번길 271-0,종교성지
현지인,14,모가면,민주화운동기념공원기념관,경기 이천시 공원로 30-0,전시시설
현지인,15,모가면,서경저수지,경기 이천시,자연경관(하천/해양)
현지인,16,모가면,이천목재문화체험장,경기 이천시 공원로 46-0,기타문화관광지
현지인,17,모가면,새들녘,경기 이천시 진상미로1044번길 83-33,시장
현지인,18,모가면,골목대장엉클팜,경기 이천시 사실로785번길 78-19,농/산/어촌체험
현지인,19,모가면,용광사,경기 이천시 진상미로1163번길 301-0,종교성지
현지인,19,모가면,에이스목장,경기 이천시 공원로249번길 192-0,농/산/어촌체험
현지인,21,모가면,오건농장,경기 이천시 대월로261번길 86-40,농/산/어촌체험
