구분,순위,읍면동명,목적지명,도로명주소,카테고리
외지인,1,송도2동,송도달빛축제공원,인천 연수구 센트럴로 350-0,도시공원
외지인,2,송도2동,송도센트럴파크,인천 연수구 컨벤시아대로 160-0,도시공원
외지인,3,송도2동,국립세계문자박물관,인천 연수구 센트럴로 217-0,전시시설
외지인,4,송도2동,랜드마크시티1호체육공원,인천 연수구 센트럴로 396-0,도시공원
외지인,5,송도2동,달빛축제공원주공연장,인천 연수구 센트럴로 350-0,공연시설
외지인,6,송도2동,인천도시역사관,인천 연수구 인천타워대로 238-0,전시시설
외지인,7,송도2동,NC큐브커넬워크겨울,인천 연수구 아트센터대로 87-0,쇼핑몰
외지인,8,송도2동,NC큐브커낼워크점,인천 연수구 아트센터대로 87-0,쇼핑몰
외지인,9,송도2동,트라이보울,인천 연수구 인천타워대로 250-0,전시시설
외지인,10,송도2동,인천송도파크골프장,인천 연수구,육상레저스포츠
외지인,11,송도2동,NC큐브커넬워크가을,인천 연수구 아트센터대로 87-0,쇼핑몰
외지인,12,송도2동,송도한옥마을,인천 연수구 테크노파크로 180-0,기타관광
외지인,13,송도2동,송도코마린EASTBOATHOUSE,인천 연수구 테크노파크로 164-0,수상레저스포츠
외지인,14,송도2동,웨스턴파크스파앤풀,인천 연수구 아트센터대로168번길 100-0,테마공원
외지인,15,송도2동,랜드마크시티1호체육공원풋살장,인천 연수구 센트럴로 396-0,레저스포츠시설
외지인,15,송도2동,송도리틀야구장,인천 연수구,레저스포츠시설
외지인,17,송도2동,큐리키즈카페송도점,인천 연수구 아트센터대로168번길 101-0,테마공원
외지인,18,송도2동,송도맥주축제,인천 연수구 센트럴로 350-0,기타문화관광지
외지인,19,송도2동,송도랜드마크야구장,인천 연수구 센트럴로 396-0,레저스포츠시설
외지인,20,송도2동,하비엘럭스송도점,인천 연수구 해돋이로 160-19,테마공원
외지인,21,송도2동,G타워전망대,인천 연수구 아트센터대로 175-0,랜드마크관광
외지인,22,송도2동,이음텃밭,인천 연수구,농/산/어촌체험
외지인,23,송도2동,인천종합관광안내소,인천 연수구 인천타워대로 234-0,기타관광
외지인,23,송도2동,랜드마크축구장,인천 연수구 센트럴로 396-0,레저스포츠시설
외지인,25,송도2동,송도해안도로,인천 남동구,데이트코스
외지인,26,송도2동,송도도그파크,인천 연수구 센트럴로 350-0,도시공원
외지인,27,송도2동,아뜰리에더초록,인천 연수구 아트센터대로 107-0,테마공원
외지인,27,송도2동,몽글몽글오감송도,인천 연수구 센트럴로 313-0,테마공원
