축제명,그룹명,개최년도,구분명,지표값
인천펜타포트음악축제,축제기간,2025,외부방문자 유입,0.949
인천펜타포트음악축제,축제기간,2025,현지인방문자 유입,0.782
인천펜타포트음악축제,축제기간,2025,내비게이션 검색량,0.556
인천펜타포트음악축제,축제기간,2025,관광소비,0.584
인천펜타포트음악축제,축제기간,2025,축제지 집중률,0.97
인천펜타포트음악축제,비축제기간,2025,외부방문자 유입,0.36
인천펜타포트음악축제,비축제기간,2025,현지인방문자 유입,0.812
인천펜타포트음악축제,비축제기간,2025,내비게이션 검색량,0.42
인천펜타포트음악축제,비축제기간,2025,관광소비,0.546
인천펜타포트음악축제,비축제기간,2025,축제지 집중률,0.389
인천펜타포트음악축제,축제기간,2024,외부방문자 유입,0.904
인천펜타포트음악축제,축제기간,2024,현지인방문자 유입,0.721
인천펜타포트음악축제,축제기간,2024,내비게이션 검색량,0.783
인천펜타포트음악축제,축제기간,2024,관광소비,0.695
인천펜타포트음악축제,축제기간,2024,축제지 집중률,0.905
인천펜타포트음악축제,비축제기간,2024,외부방문자 유입,0.347
인천펜타포트음악축제,비축제기간,2024,현지인방문자 유입,0.79
인천펜타포트음악축제,비축제기간,2024,내비게이션 검색량,0.58
인천펜타포트음악축제,비축제기간,2024,관광소비,0.648
인천펜타포트음악축제,비축제기간,2024,축제지 집중률,0.388
인천펜타포트음악축제,축제기간,2023,외부방문자 유입,0.852
인천펜타포트음악축제,축제기간,2023,현지인방문자 유입,0.793
인천펜타포트음악축제,축제기간,2023,내비게이션 검색량,0.665
인천펜타포트음악축제,축제기간,2023,관광소비,0.727
인천펜타포트음악축제,축제기간,2023,축제지 집중률,0.968
인천펜타포트음악축제,비축제기간,2023,외부방문자 유입,0.359
인천펜타포트음악축제,비축제기간,2023,현지인방문자 유입,0.815
인천펜타포트음악축제,비축제기간,2023,내비게이션 검색량,0.496
인천펜타포트음악축제,비축제기간,2023,관광소비,0.703
인천펜타포트음악축제,비축제기간,2023,축제지 집중률,0.455
