구분,순위,읍면동명,목적지명,도로명주소,카테고리
외지인,1,성수면,임실치즈테마파크,전북 임실군 도인2길 50-0,테마공원
외지인,2,성수면,임실N치즈축제,전북 임실군 도인2길 50-0,기타문화관광지
외지인,3,성수면,임실치즈테마파크임실치즈역사문화관,전북 임실군 도인2길 50-0,전시시설
외지인,4,성수면,성수산왕의숲자연휴양림,전북 임실군 성수산길 373-0,자연공원
외지인,5,성수면,상이암,전북 임실군 성수산길 658-0,종교성지
외지인,6,성수면,오봉저수지,전북 임실군,자연경관(하천/해양)
외지인,7,성수면,수월제,전북 임실군,자연경관(하천/해양)
외지인,7,성수면,소충사,전북 임실군 산성로 725-23,종교성지
전체,1,성수면,임실치즈테마파크,전북 임실군 도인2길 50-0,테마공원
전체,2,성수면,임실N치즈축제,전북 임실군 도인2길 50-0,기타문화관광지
전체,3,성수면,임실치즈테마파크임실치즈역사문화관,전북 임실군 도인2길 50-0,전시시설
전체,4,성수면,성수산왕의숲자연휴양림,전북 임실군 성수산길 373-0,자연공원
전체,5,성수면,상이암,전북 임실군 성수산길 658-0,종교성지
전체,6,성수면,오봉저수지,전북 임실군,자연경관(하천/해양)
전체,7,성수면,수월제,전북 임실군,자연경관(하천/해양)
전체,8,성수면,소충사,전북 임실군 산성로 725-23,종교성지
현지인,1,성수면,임실치즈테마파크,전북 임실군 도인2길 50-0,테마공원
현지인,2,성수면,임실N치즈축제,전북 임실군 도인2길 50-0,기타문화관광지
현지인,3,성수면,성수산왕의숲자연휴양림,전북 임실군 성수산길 373-0,자연공원
현지인,4,성수면,임실치즈테마파크임실치즈역사문화관,전북 임실군 도인2길 50-0,전시시설
현지인,5,성수면,상이암,전북 임실군 성수산길 658-0,종교성지
현지인,6,성수면,오봉저수지,전북 임실군,자연경관(하천/해양)
현지인,7,성수면,수월제,전북 임실군,자연경관(하천/해양)
현지인,8,성수면,소충사,전북 임실군 산성로 725-23,종교성지
