구분,순위,읍면동명,목적지명,도로명주소,카테고리
외지인,1,장수읍,장수한우랑사과랑축제,전북 장수군,기타문화관광지
외지인,2,장수읍,의암공원,전북 장수군,도시공원
외지인,3,장수읍,장수누리파크,전북 장수군 논개사당길 65-0,도시공원
외지인,4,장수읍,장수잔디구장,전북 장수군 한누리로 378-0,레저스포츠시설
외지인,5,장수읍,장수공용버스터미널,전북 장수군 장천로 175-0,교통시설
외지인,6,장수읍,논개사당,전북 장수군 논개사당길 41-0,역사유적지
외지인,7,장수읍,장수시장,전북 장수군 시장로 11-0,시장
외지인,8,장수읍,벽계정,전북 장수군,육상레저스포츠
외지인,9,장수읍,덕산계곡,전북 장수군,자연경관(산)
외지인,10,장수읍,장수한누리영화관,전북 장수군 한누리로 393-0,공연시설
외지인,11,장수읍,뜬봉샘생태공원,전북 장수군 물뿌랭이길 10-18,도시공원
외지인,11,장수읍,서구이재,전북 장수군,자연경관(산)
외지인,13,장수읍,홍로원,전북 장수군 한누리로 185-12,농/산/어촌체험
외지인,14,장수읍,장수군어린이생활문화센터,전북 장수군 논개사당길 65-0,테마공원
외지인,15,장수읍,장수참사과농장,전북 장수군 개실길 206-46,농/산/어촌체험
외지인,15,장수읍,팔성사,전북 장수군 비행로 1455-94,종교성지
전체,1,장수읍,장수한우랑사과랑축제,전북 장수군,기타문화관광지
전체,2,장수읍,의암공원,전북 장수군,도시공원
전체,3,장수읍,장수누리파크,전북 장수군 논개사당길 65-0,도시공원
전체,4,장수읍,장수잔디구장,전북 장수군 한누리로 378-0,레저스포츠시설
전체,5,장수읍,장수공용버스터미널,전북 장수군 장천로 175-0,교통시설
전체,6,장수읍,논개사당,전북 장수군 논개사당길 41-0,역사유적지
전체,7,장수읍,장수시장,전북 장수군 시장로 11-0,시장
전체,8,장수읍,벽계정,전북 장수군,육상레저스포츠
전체,9,장수읍,덕산계곡,전북 장수군,자연경관(산)
전체,10,장수읍,장수한누리영화관,전북 장수군 한누리로 393-0,공연시설
전체,11,장수읍,서구이재,전북 장수군,자연경관(산)
전체,12,장수읍,뜬봉샘생태공원,전북 장수군 물뿌랭이길 10-18,도시공원
전체,13,장수읍,홍로원,전북 장수군 한누리로 185-12,농/산/어촌체험
전체,14,장수읍,장수군어린이생활문화센터,전북 장수군 논개사당길 65-0,테마공원
전체,15,장수읍,팔성사,전북 장수군 비행로 1455-94,종교성지
전체,15,장수읍,장수참사과농장,전북 장수군 개실길 206-46,농/산/어촌체험
현지인,1,장수읍,장수한우랑사과랑축제,전북 장수군,기타문화관광지
현지인,2,장수읍,의암공원,전북 장수군,도시공원
현지인,3,장수읍,장수누리파크,전북 장수군 논개사당길 65-0,도시공원
현지인,4,장수읍,장수공용버스터미널,전북 장수군 장천로 175-0,교통시설
현지인,5,장수읍,장수잔디구장,전북 장수군 한누리로 378-0,레저스포츠시설
현지인,6,장수읍,논개사당,전북 장수군 논개사당길 41-0,역사유적지
현지인,7,장수읍,장수시장,전북 장수군 시장로 11-0,시장
현지인,8,장수읍,벽계정,전북 장수군,육상레저스포츠
현지인,9,장수읍,덕산계곡,전북 장수군,자연경관(산)
현지인,10,장수읍,서구이재,전북 장수군,자연경관(산)
현지인,11,장수읍,장수한누리영화관,전북 장수군 한누리로 393-0,공연시설
현지인,12,장수읍,홍로원,전북 장수군 한누리로 185-12,농/산/어촌체험
현지인,12,장수읍,뜬봉샘생태공원,전북 장수군 물뿌랭이길 10-18,도시공원
현지인,14,장수읍,장수참사과농장,전북 장수군 개실길 206-46,농/산/어촌체험
현지인,14,장수읍,팔성사,전북 장수군 비행로 1455-94,종교성지
현지인,14,장수읍,장수군어린이생활문화센터,전북 장수군 논개사당길 65-0,테마공원
