축제명,그룹명,개최년도,구분명,지표값
장수한우랑사과랑축제,축제기간,2025,외부방문자 유입,0.723
장수한우랑사과랑축제,축제기간,2025,현지인방문자 유입,0.868
장수한우랑사과랑축제,축제기간,2025,내비게이션 검색량,0.532
장수한우랑사과랑축제,축제기간,2025,관광소비,0.71
장수한우랑사과랑축제,축제기간,2025,축제지 집중률,0.967
장수한우랑사과랑축제,비축제기간,2025,외부방문자 유입,0.227
장수한우랑사과랑축제,비축제기간,2025,현지인방문자 유입,0.596
장수한우랑사과랑축제,비축제기간,2025,내비게이션 검색량,0.154
장수한우랑사과랑축제,비축제기간,2025,관광소비,0.337
장수한우랑사과랑축제,비축제기간,2025,축제지 집중률,0.553
장수한우랑사과랑축제,축제기간,2024,외부방문자 유입,0.693
장수한우랑사과랑축제,축제기간,2024,현지인방문자 유입,0.897
장수한우랑사과랑축제,축제기간,2024,내비게이션 검색량,0.612
장수한우랑사과랑축제,축제기간,2024,관광소비,0.59
장수한우랑사과랑축제,축제기간,2024,축제지 집중률,0.946
장수한우랑사과랑축제,비축제기간,2024,외부방문자 유입,0.233
장수한우랑사과랑축제,비축제기간,2024,현지인방문자 유입,0.614
장수한우랑사과랑축제,비축제기간,2024,내비게이션 검색량,0.139
장수한우랑사과랑축제,비축제기간,2024,관광소비,0.28
장수한우랑사과랑축제,비축제기간,2024,축제지 집중률,0.52
