구분,순위,읍면동명,목적지명,도로명주소,카테고리
외지인,1,장흥읍,정남진장흥물축제,전남 장흥군,기타문화관광지
외지인,2,장흥읍,정남진장흥토요시장,전남 장흥군 토요시장1길 53-0,시장
외지인,3,장흥읍,정남진편백숲우드랜드,전남 장흥군 우드랜드길 180-0,도시공원
외지인,4,장흥읍,장흥시외버스터미널,전남 장흥군 중앙로1길 8-0,교통시설
외지인,5,장흥읍,정남진물과학관,전남 장흥군 행원강변길 20-0,전시시설
외지인,6,장흥읍,정남진천문과학관,전남 장흥군 평화우산길 180-608,전시시설
외지인,7,장흥읍,빠삐용Zip,전남 장흥군 장흥로 98-0,기타관광
외지인,8,장흥읍,장흥읍오일장터,전남 장흥군 토요시장3길 16-0,시장
외지인,9,장흥읍,정남진어린이과학관,전남 장흥군 우드랜드길 142-0,전시시설
외지인,10,장흥읍,탐진강생태습지공원,전남 장흥군,도시공원
외지인,11,장흥읍,정남진시네마,전남 장흥군 흥성로 43-0,공연시설
외지인,12,장흥읍,장흥향교,전남 장흥군 교촌남외길 33-0,역사유적지
외지인,13,장흥읍,장흥국민체육센터,전남 장흥군 흥성로 43-0,기타레저스포츠
외지인,14,장흥읍,송백정배롱나무군락지,전남 장흥군,기타관광
외지인,15,장흥읍,장흥동학농민혁명기념관,전남 장흥군 읍성로 2-0,전시시설
외지인,16,장흥읍,장흥공원,전남 장흥군,도시공원
외지인,17,장흥읍,귀족호도박물관,전남 장흥군 남부관광로 56-90,전시시설
외지인,17,장흥읍,대원사,전남 장흥군 관덕길 63-0,종교성지
외지인,17,장흥읍,장흥역(2025년09월27일 개통예정),전남 장흥군 평화우산길 74-0,교통시설
외지인,17,장흥읍,묘덕사,전남 장흥군,종교성지
전체,1,장흥읍,정남진장흥물축제,전남 장흥군,기타문화관광지
전체,2,장흥읍,정남진장흥토요시장,전남 장흥군 토요시장1길 53-0,시장
전체,3,장흥읍,정남진편백숲우드랜드,전남 장흥군 우드랜드길 180-0,도시공원
전체,4,장흥읍,장흥시외버스터미널,전남 장흥군 중앙로1길 8-0,교통시설
전체,5,장흥읍,정남진물과학관,전남 장흥군 행원강변길 20-0,전시시설
전체,6,장흥읍,정남진천문과학관,전남 장흥군 평화우산길 180-608,전시시설
전체,7,장흥읍,빠삐용Zip,전남 장흥군 장흥로 98-0,기타관광
전체,8,장흥읍,장흥읍오일장터,전남 장흥군 토요시장3길 16-0,시장
전체,9,장흥읍,정남진어린이과학관,전남 장흥군 우드랜드길 142-0,전시시설
전체,10,장흥읍,탐진강생태습지공원,전남 장흥군,도시공원
전체,11,장흥읍,정남진시네마,전남 장흥군 흥성로 43-0,공연시설
전체,12,장흥읍,장흥향교,전남 장흥군 교촌남외길 33-0,역사유적지
전체,13,장흥읍,장흥국민체육센터,전남 장흥군 흥성로 43-0,기타레저스포츠
전체,14,장흥읍,송백정배롱나무군락지,전남 장흥군,기타관광
전체,15,장흥읍,장흥동학농민혁명기념관,전남 장흥군 읍성로 2-0,전시시설
전체,16,장흥읍,장흥공원,전남 장흥군,도시공원
전체,17,장흥읍,대원사,전남 장흥군 관덕길 63-0,종교성지
전체,18,장흥읍,장흥역(2025년09월27일 개통예정),전남 장흥군 평화우산길 74-0,교통시설
전체,18,장흥읍,묘덕사,전남 장흥군,종교성지
전체,18,장흥읍,귀족호도박물관,전남 장흥군 남부관광로 56-90,전시시설
현지인,1,장흥읍,정남진장흥물축제,전남 장흥군,기타문화관광지
현지인,2,장흥읍,정남진장흥토요시장,전남 장흥군 토요시장1길 53-0,시장
현지인,3,장흥읍,정남진편백숲우드랜드,전남 장흥군 우드랜드길 180-0,도시공원
현지인,4,장흥읍,장흥시외버스터미널,전남 장흥군 중앙로1길 8-0,교통시설
현지인,5,장흥읍,정남진물과학관,전남 장흥군 행원강변길 20-0,전시시설
현지인,6,장흥읍,정남진천문과학관,전남 장흥군 평화우산길 180-608,전시시설
현지인,7,장흥읍,빠삐용Zip,전남 장흥군 장흥로 98-0,기타관광
현지인,8,장흥읍,장흥읍오일장터,전남 장흥군 토요시장3길 16-0,시장
현지인,9,장흥읍,탐진강생태습지공원,전남 장흥군,도시공원
현지인,10,장흥읍,정남진시네마,전남 장흥군 흥성로 43-0,공연시설
현지인,11,장흥읍,정남진어린이과학관,전남 장흥군 우드랜드길 142-0,전시시설
현지인,12,장흥읍,장흥국민체육센터,전남 장흥군 흥성로 43-0,기타레저스포츠
현지인,13,장흥읍,장흥향교,전남 장흥군 교촌남외길 33-0,역사유적지
현지인,13,장흥읍,송백정배롱나무군락지,전남 장흥군,기타관광
현지인,13,장흥읍,장흥동학농민혁명기념관,전남 장흥군 읍성로 2-0,전시시설
현지인,16,장흥읍,장흥공원,전남 장흥군,도시공원
현지인,16,장흥읍,대원사,전남 장흥군 관덕길 63-0,종교성지
현지인,18,장흥읍,귀족호도박물관,전남 장흥군 남부관광로 56-90,전시시설
현지인,18,장흥읍,장흥역(2025년09월27일 개통예정),전남 장흥군 평화우산길 74-0,교통시설
현지인,18,장흥읍,묘덕사,전남 장흥군,종교성지
