축제명,그룹명,개최년도,구분명,지표값
정남진장흥물축제,축제기간,2025,외부방문자 유입,0.562
정남진장흥물축제,축제기간,2025,현지인방문자 유입,0.903
정남진장흥물축제,축제기간,2025,내비게이션 검색량,0.586
정남진장흥물축제,축제기간,2025,관광소비,0.449
정남진장흥물축제,축제기간,2025,축제지 집중률,0.891
정남진장흥물축제,비축제기간,2025,외부방문자 유입,0.26
정남진장흥물축제,비축제기간,2025,현지인방문자 유입,0.845
정남진장흥물축제,비축제기간,2025,내비게이션 검색량,0.164
정남진장흥물축제,비축제기간,2025,관광소비,0.253
정남진장흥물축제,비축제기간,2025,축제지 집중률,0.767
정남진장흥물축제,축제기간,2024,외부방문자 유입,0.698
정남진장흥물축제,축제기간,2024,현지인방문자 유입,0.898
정남진장흥물축제,축제기간,2024,내비게이션 검색량,0.684
정남진장흥물축제,축제기간,2024,관광소비,0.571
정남진장흥물축제,축제기간,2024,축제지 집중률,0.866
정남진장흥물축제,비축제기간,2024,외부방문자 유입,0.328
정남진장흥물축제,비축제기간,2024,현지인방문자 유입,0.847
정남진장흥물축제,비축제기간,2024,내비게이션 검색량,0.173
정남진장흥물축제,비축제기간,2024,관광소비,0.307
정남진장흥물축제,비축제기간,2024,축제지 집중률,0.774
정남진장흥물축제,축제기간,2023,외부방문자 유입,0.596
정남진장흥물축제,축제기간,2023,현지인방문자 유입,0.845
정남진장흥물축제,축제기간,2023,내비게이션 검색량,0.566
정남진장흥물축제,축제기간,2023,관광소비,0.543
정남진장흥물축제,축제기간,2023,축제지 집중률,0.912
정남진장흥물축제,비축제기간,2023,외부방문자 유입,0.253
정남진장흥물축제,비축제기간,2023,현지인방문자 유입,0.814
정남진장흥물축제,비축제기간,2023,내비게이션 검색량,0.126
정남진장흥물축제,비축제기간,2023,관광소비,0.275
정남진장흥물축제,비축제기간,2023,축제지 집중률,0.782
