구분,순위,읍면동명,목적지명,도로명주소,카테고리
외지인,1,정선읍,정선아리랑시장,강원 정선군 봉양7길 39-0,시장
외지인,2,정선읍,병방치스카이워크,강원 정선군 병방치길 225-0,랜드마크관광
외지인,3,정선읍,정선아리랑제,강원 정선군,기타문화관광지
외지인,4,정선읍,가리왕산자연휴양림,강원 정선군 가리왕산로 707-0,자연공원
외지인,5,정선읍,정선역,강원 정선군 녹송8길 55-0,교통시설
외지인,6,정선읍,정선아리랑센터,강원 정선군 애산로 51-0,기타문화관광지
외지인,7,정선읍,정선시외버스터미널,강원 정선군 정선로 1226-0,교통시설
외지인,8,정선읍,아라리촌,강원 정선군 애산로 37-0,역사유적지
외지인,9,정선읍,병방치짚와이어,강원 정선군 병방치길 235-0,기타레저스포츠
외지인,10,정선읍,아라리공원,강원 정선군,도시공원
외지인,11,정선읍,가수리느티나무,강원 정선군 수미길 7-0,기타관광
외지인,12,정선읍,아리랑박물관,강원 정선군 애산로 51-0,전시시설
외지인,13,정선읍,아라리정,강원 정선군 애산로 60-0,육상레저스포츠
외지인,13,정선읍,덕산기계곡,강원 정선군 덕산기길 110-0,자연경관(산)
외지인,15,정선읍,정선양떼목장,강원 정선군 오반동길 470-0,농/산/어촌체험
외지인,16,정선읍,5일장먹거리장터,강원 정선군 봉양7길 42-0,시장
외지인,17,정선읍,미리내폭포,강원 정선군,자연경관(산)
외지인,18,정선읍,아리힐스,강원 정선군 병방치길 225-0,기타레저스포츠
외지인,19,정선읍,약천사,강원 정선군 엇재길 111-0,종교성지
외지인,20,정선읍,가리왕산자연휴양림자연학습관,강원 정선군 가리왕산로 791-0,기타관광
외지인,21,정선읍,아리하랑,강원 정선군 용담샛길 15-0,육상레저스포츠
외지인,22,정선읍,와인잔폭포,강원 정선군,자연경관(산)
외지인,22,정선읍,삼시세끼촬영지농촌편,강원 정선군 대촌길 71-0,기타문화관광지
외지인,22,정선읍,아리아리정선시네마,강원 정선군 봉양6길 10-0,공연시설
외지인,22,정선읍,녹송공원,강원 정선군,도시공원
외지인,26,정선읍,정선507미술관,강원 정선군 동강로 2914-0,전시시설
외지인,26,정선읍,정선군종합관광안내센터,강원 정선군 정선로 1357-1,기타관광
전체,1,정선읍,정선아리랑시장,강원 정선군 봉양7길 39-0,시장
전체,2,정선읍,병방치스카이워크,강원 정선군 병방치길 225-0,랜드마크관광
전체,3,정선읍,정선아리랑제,강원 정선군,기타문화관광지
전체,4,정선읍,가리왕산자연휴양림,강원 정선군 가리왕산로 707-0,자연공원
전체,5,정선읍,정선역,강원 정선군 녹송8길 55-0,교통시설
전체,6,정선읍,정선아리랑센터,강원 정선군 애산로 51-0,기타문화관광지
전체,7,정선읍,정선시외버스터미널,강원 정선군 정선로 1226-0,교통시설
전체,8,정선읍,아라리촌,강원 정선군 애산로 37-0,역사유적지
전체,9,정선읍,병방치짚와이어,강원 정선군 병방치길 235-0,기타레저스포츠
전체,10,정선읍,아라리공원,강원 정선군,도시공원
전체,11,정선읍,가수리느티나무,강원 정선군 수미길 7-0,기타관광
전체,12,정선읍,아리랑박물관,강원 정선군 애산로 51-0,전시시설
전체,13,정선읍,덕산기계곡,강원 정선군 덕산기길 110-0,자연경관(산)
전체,14,정선읍,아라리정,강원 정선군 애산로 60-0,육상레저스포츠
전체,15,정선읍,정선양떼목장,강원 정선군 오반동길 470-0,농/산/어촌체험
전체,16,정선읍,5일장먹거리장터,강원 정선군 봉양7길 42-0,시장
전체,17,정선읍,미리내폭포,강원 정선군,자연경관(산)
전체,18,정선읍,아리힐스,강원 정선군 병방치길 225-0,기타레저스포츠
전체,18,정선읍,약천사,강원 정선군 엇재길 111-0,종교성지
전체,20,정선읍,가리왕산자연휴양림자연학습관,강원 정선군 가리왕산로 791-0,기타관광
전체,21,정선읍,아리하랑,강원 정선군 용담샛길 15-0,육상레저스포츠
전체,21,정선읍,와인잔폭포,강원 정선군,자연경관(산)
전체,23,정선읍,삼시세끼촬영지농촌편,강원 정선군 대촌길 71-0,기타문화관광지
전체,23,정선읍,아리아리정선시네마,강원 정선군 봉양6길 10-0,공연시설
전체,23,정선읍,녹송공원,강원 정선군,도시공원
전체,23,정선읍,정선군종합관광안내센터,강원 정선군 정선로 1357-1,기타관광
전체,23,정선읍,정선507미술관,강원 정선군 동강로 2914-0,전시시설
현지인,1,정선읍,정선아리랑시장,강원 정선군 봉양7길 39-0,시장
현지인,2,정선읍,병방치스카이워크,강원 정선군 병방치길 225-0,랜드마크관광
현지인,3,정선읍,정선아리랑제,강원 정선군,기타문화관광지
현지인,4,정선읍,정선역,강원 정선군 녹송8길 55-0,교통시설
현지인,5,정선읍,정선시외버스터미널,강원 정선군 정선로 1226-0,교통시설
현지인,6,정선읍,정선아리랑센터,강원 정선군 애산로 51-0,기타문화관광지
현지인,7,정선읍,가리왕산자연휴양림,강원 정선군 가리왕산로 707-0,자연공원
현지인,8,정선읍,아라리촌,강원 정선군 애산로 37-0,역사유적지
현지인,9,정선읍,병방치짚와이어,강원 정선군 병방치길 235-0,기타레저스포츠
현지인,10,정선읍,가수리느티나무,강원 정선군 수미길 7-0,기타관광
현지인,10,정선읍,덕산기계곡,강원 정선군 덕산기길 110-0,자연경관(산)
현지인,12,정선읍,아라리정,강원 정선군 애산로 60-0,육상레저스포츠
현지인,12,정선읍,아리랑박물관,강원 정선군 애산로 51-0,전시시설
현지인,14,정선읍,아라리공원,강원 정선군,도시공원
현지인,15,정선읍,정선양떼목장,강원 정선군 오반동길 470-0,농/산/어촌체험
현지인,16,정선읍,5일장먹거리장터,강원 정선군 봉양7길 42-0,시장
현지인,16,정선읍,약천사,강원 정선군 엇재길 111-0,종교성지
현지인,16,정선읍,와인잔폭포,강원 정선군,자연경관(산)
현지인,19,정선읍,정선507미술관,강원 정선군 동강로 2914-0,전시시설
현지인,19,정선읍,미리내폭포,강원 정선군,자연경관(산)
현지인,19,정선읍,아리힐스,강원 정선군 병방치길 225-0,기타레저스포츠
현지인,19,정선읍,가리왕산자연휴양림자연학습관,강원 정선군 가리왕산로 791-0,기타관광
현지인,19,정선읍,정선군종합관광안내센터,강원 정선군 정선로 1357-1,기타관광
현지인,24,정선읍,아리하랑,강원 정선군 용담샛길 15-0,육상레저스포츠
현지인,24,정선읍,삼시세끼촬영지농촌편,강원 정선군 대촌길 71-0,기타문화관광지
현지인,24,정선읍,아리아리정선시네마,강원 정선군 봉양6길 10-0,공연시설
현지인,24,정선읍,녹송공원,강원 정선군,도시공원
