구분,순위,읍면동명,목적지명,도로명주소,카테고리
외지인,1,옥천읍,옥천역,충북 옥천군 옥천로 1624-0,교통시설
외지인,2,옥천읍,지용제,충북 옥천군 향수길 56-0,기타문화관광지
외지인,3,옥천읍,정지용생가,충북 옥천군 향수길 56-0,역사유적지
외지인,4,옥천읍,옥천전통문화체험관,충북 옥천군 향수길 100-0,기타문화관광지
외지인,5,옥천읍,용암사,충북 옥천군 삼청2길 400-0,종교성지
외지인,6,옥천읍,옥천육영수생가,충북 옥천군 향수길 119-0,역사유적지
외지인,7,옥천읍,정지용문학관,충북 옥천군 향수길 56-0,전시시설
외지인,8,옥천읍,옥천시외버스공영정류소,충북 옥천군 삼양로 26-0,교통시설
외지인,9,옥천읍,향수호수길,충북 옥천군,기타레저스포츠
외지인,10,옥천읍,교동저수지,충북 옥천군,자연경관(하천/해양)
외지인,10,옥천읍,옥천장,충북 옥천군 삼금로5길 7-2,시장
외지인,12,옥천읍,옥천선사공원,충북 옥천군,도시공원
외지인,12,옥천읍,옥천재래시장,충북 옥천군 중앙로6길 8-0,시장
외지인,14,옥천읍,지용문학공원,충북 옥천군,도시공원
외지인,15,옥천읍,대청밸리옥천CC,충북 옥천군 옥천농공길 147-0,육상레저스포츠
외지인,16,옥천읍,양수리낚시터,충북 옥천군 마암로 126-0,수상레저스포츠
외지인,16,옥천읍,향수시네마,충북 옥천군 문정1길 47-0,공연시설
외지인,16,옥천읍,월성사,충북 옥천군 성왕로 1221-41,종교성지
전체,1,옥천읍,옥천역,충북 옥천군 옥천로 1624-0,교통시설
전체,2,옥천읍,정지용생가,충북 옥천군 향수길 56-0,역사유적지
전체,3,옥천읍,지용제,충북 옥천군 향수길 56-0,기타문화관광지
전체,4,옥천읍,옥천전통문화체험관,충북 옥천군 향수길 100-0,기타문화관광지
전체,5,옥천읍,용암사,충북 옥천군 삼청2길 400-0,종교성지
전체,6,옥천읍,옥천육영수생가,충북 옥천군 향수길 119-0,역사유적지
전체,7,옥천읍,정지용문학관,충북 옥천군 향수길 56-0,전시시설
전체,8,옥천읍,옥천시외버스공영정류소,충북 옥천군 삼양로 26-0,교통시설
전체,9,옥천읍,향수호수길,충북 옥천군,기타레저스포츠
전체,10,옥천읍,교동저수지,충북 옥천군,자연경관(하천/해양)
전체,11,옥천읍,옥천장,충북 옥천군 삼금로5길 7-2,시장
전체,12,옥천읍,옥천선사공원,충북 옥천군,도시공원
전체,12,옥천읍,옥천재래시장,충북 옥천군 중앙로6길 8-0,시장
전체,14,옥천읍,지용문학공원,충북 옥천군,도시공원
전체,15,옥천읍,대청밸리옥천CC,충북 옥천군 옥천농공길 147-0,육상레저스포츠
전체,16,옥천읍,향수시네마,충북 옥천군 문정1길 47-0,공연시설
전체,17,옥천읍,월성사,충북 옥천군 성왕로 1221-41,종교성지
전체,17,옥천읍,양수리낚시터,충북 옥천군 마암로 126-0,수상레저스포츠
현지인,1,옥천읍,옥천역,충북 옥천군 옥천로 1624-0,교통시설
현지인,2,옥천읍,정지용생가,충북 옥천군 향수길 56-0,역사유적지
현지인,3,옥천읍,지용제,충북 옥천군 향수길 56-0,기타문화관광지
현지인,4,옥천읍,옥천전통문화체험관,충북 옥천군 향수길 100-0,기타문화관광지
현지인,5,옥천읍,용암사,충북 옥천군 삼청2길 400-0,종교성지
현지인,6,옥천읍,옥천육영수생가,충북 옥천군 향수길 119-0,역사유적지
현지인,7,옥천읍,옥천시외버스공영정류소,충북 옥천군 삼양로 26-0,교통시설
현지인,8,옥천읍,정지용문학관,충북 옥천군 향수길 56-0,전시시설
현지인,9,옥천읍,교동저수지,충북 옥천군,자연경관(하천/해양)
현지인,10,옥천읍,향수호수길,충북 옥천군,기타레저스포츠
현지인,11,옥천읍,옥천선사공원,충북 옥천군,도시공원
현지인,11,옥천읍,옥천재래시장,충북 옥천군 중앙로6길 8-0,시장
현지인,11,옥천읍,향수시네마,충북 옥천군 문정1길 47-0,공연시설
현지인,14,옥천읍,양수리낚시터,충북 옥천군 마암로 126-0,수상레저스포츠
현지인,14,옥천읍,옥천장,충북 옥천군 삼금로5길 7-2,시장
현지인,14,옥천읍,지용문학공원,충북 옥천군,도시공원
현지인,14,옥천읍,월성사,충북 옥천군 성왕로 1221-41,종교성지
현지인,18,옥천읍,대청밸리옥천CC,충북 옥천군 옥천농공길 147-0,육상레저스포츠
