구분,순위,읍면동명,목적지명,도로명주소,카테고리
외지인,1,고군면,진도신비의바닷길축제,전남 진도군 신비의바닷길 74-0,기타문화관광지
외지인,2,고군면,진도신비의바닷길,전남 진도군,테마공원
외지인,3,고군면,가계해변,전남 진도군 신비의바닷길 0-0,자연경관(하천/해양)
외지인,4,고군면,진도해양생태관,전남 진도군 신비의바닷길 64-0,전시시설
외지인,5,고군면,진도군청소년수련관,전남 진도군 신비의바닷길 74-0,육상레저스포츠
외지인,6,고군면,뽕할머니동상,전남 진도군,역사유물
외지인,7,고군면,진도경찰수련원,전남 진도군 가계길 73-0,육상레저스포츠
외지인,8,고군면,신비의바닷길체험관,전남 진도군,기타관광
외지인,9,고군면,진도신비의바닷길,전남 진도군,기타관광
외지인,10,고군면,신비의바닷길야외공연장,전남 진도군 신비의바닷길 0-0,공연시설
외지인,11,고군면,뽕할머니동상,전남 진도군,역사유물
외지인,12,고군면,벽파항,전남 진도군 벽파길 0-0,자연경관(하천/해양)
외지인,13,고군면,뽕할머니영당,전남 진도군 신비의바닷길 190-0,기타관광
외지인,14,고군면,홍주하우스회동전망대,전남 진도군 진도대로 1439-0,랜드마크관광
외지인,15,고군면,용호항,전남 진도군,자연경관(하천/해양)
외지인,16,고군면,이충무공벽파진전첩비,전남 진도군 벽파길 90-0,역사유적지
외지인,17,고군면,벽파여객선터미널,전남 진도군,교통시설
외지인,17,고군면,모도,전남 진도군,자연경관(하천/해양)
외지인,17,고군면,벽파정,전남 진도군 벽파길 90-0,역사유적지
전체,1,고군면,진도신비의바닷길축제,전남 진도군 신비의바닷길 74-0,기타문화관광지
전체,2,고군면,진도신비의바닷길,전남 진도군,테마공원
전체,3,고군면,가계해변,전남 진도군 신비의바닷길 0-0,자연경관(하천/해양)
전체,4,고군면,진도해양생태관,전남 진도군 신비의바닷길 64-0,전시시설
전체,5,고군면,뽕할머니동상,전남 진도군,역사유물
전체,6,고군면,진도군청소년수련관,전남 진도군 신비의바닷길 74-0,육상레저스포츠
전체,7,고군면,진도경찰수련원,전남 진도군 가계길 73-0,육상레저스포츠
전체,8,고군면,신비의바닷길체험관,전남 진도군,기타관광
전체,9,고군면,신비의바닷길야외공연장,전남 진도군 신비의바닷길 0-0,공연시설
전체,9,고군면,진도신비의바닷길,전남 진도군,기타관광
전체,11,고군면,뽕할머니동상,전남 진도군,역사유물
전체,11,고군면,벽파항,전남 진도군 벽파길 0-0,자연경관(하천/해양)
전체,13,고군면,뽕할머니영당,전남 진도군 신비의바닷길 190-0,기타관광
전체,14,고군면,홍주하우스회동전망대,전남 진도군 진도대로 1439-0,랜드마크관광
전체,15,고군면,용호항,전남 진도군,자연경관(하천/해양)
전체,15,고군면,모도,전남 진도군,자연경관(하천/해양)
전체,17,고군면,이충무공벽파진전첩비,전남 진도군 벽파길 90-0,역사유적지
전체,17,고군면,벽파정,전남 진도군 벽파길 90-0,역사유적지
전체,17,고군면,벽파여객선터미널,전남 진도군,교통시설
현지인,1,고군면,진도신비의바닷길축제,전남 진도군 신비의바닷길 74-0,기타문화관광지
현지인,2,고군면,진도신비의바닷길,전남 진도군,테마공원
현지인,3,고군면,가계해변,전남 진도군 신비의바닷길 0-0,자연경관(하천/해양)
현지인,4,고군면,뽕할머니동상,전남 진도군,역사유물
현지인,5,고군면,진도경찰수련원,전남 진도군 가계길 73-0,육상레저스포츠
현지인,6,고군면,진도해양생태관,전남 진도군 신비의바닷길 64-0,전시시설
현지인,7,고군면,진도군청소년수련관,전남 진도군 신비의바닷길 74-0,육상레저스포츠
현지인,8,고군면,신비의바닷길체험관,전남 진도군,기타관광
현지인,9,고군면,신비의바닷길야외공연장,전남 진도군 신비의바닷길 0-0,공연시설
현지인,10,고군면,진도신비의바닷길,전남 진도군,기타관광
현지인,11,고군면,벽파항,전남 진도군 벽파길 0-0,자연경관(하천/해양)
현지인,12,고군면,뽕할머니동상,전남 진도군,역사유물
현지인,13,고군면,뽕할머니영당,전남 진도군 신비의바닷길 190-0,기타관광
현지인,14,고군면,홍주하우스회동전망대,전남 진도군 진도대로 1439-0,랜드마크관광
현지인,14,고군면,모도,전남 진도군,자연경관(하천/해양)
현지인,16,고군면,벽파여객선터미널,전남 진도군,교통시설
현지인,16,고군면,벽파정,전남 진도군 벽파길 90-0,역사유적지
현지인,18,고군면,용호항,전남 진도군,자연경관(하천/해양)
현지인,18,고군면,이충무공벽파진전첩비,전남 진도군 벽파길 90-0,역사유적지
