축제명,그룹명,개최년도,구분명,지표값
진도신비의바닷길축제,축제기간,2025,외부방문자 유입,0.568
진도신비의바닷길축제,축제기간,2025,현지인방문자 유입,0.858
진도신비의바닷길축제,축제기간,2025,내비게이션 검색량,0.513
진도신비의바닷길축제,축제기간,2025,관광소비,0.283
진도신비의바닷길축제,축제기간,2025,축제지 집중률,0.791
진도신비의바닷길축제,비축제기간,2025,외부방문자 유입,0.137
진도신비의바닷길축제,비축제기간,2025,현지인방문자 유입,0.472
진도신비의바닷길축제,비축제기간,2025,내비게이션 검색량,0.06
진도신비의바닷길축제,비축제기간,2025,관광소비,0.212
진도신비의바닷길축제,비축제기간,2025,축제지 집중률,0.269
진도신비의바닷길축제,축제기간,2024,외부방문자 유입,0.823
진도신비의바닷길축제,축제기간,2024,현지인방문자 유입,0.864
진도신비의바닷길축제,축제기간,2024,내비게이션 검색량,0.765
진도신비의바닷길축제,축제기간,2024,관광소비,0.266
진도신비의바닷길축제,축제기간,2024,축제지 집중률,0.91
진도신비의바닷길축제,비축제기간,2024,외부방문자 유입,0.203
진도신비의바닷길축제,비축제기간,2024,현지인방문자 유입,0.397
진도신비의바닷길축제,비축제기간,2024,내비게이션 검색량,0.096
진도신비의바닷길축제,비축제기간,2024,관광소비,0.232
진도신비의바닷길축제,비축제기간,2024,축제지 집중률,0.257
진도신비의바닷길축제,축제기간,2023,외부방문자 유입,0.905
진도신비의바닷길축제,축제기간,2023,현지인방문자 유입,0.898
진도신비의바닷길축제,축제기간,2023,내비게이션 검색량,0.195
진도신비의바닷길축제,축제기간,2023,관광소비,0.358
진도신비의바닷길축제,축제기간,2023,축제지 집중률,0.891
진도신비의바닷길축제,비축제기간,2023,외부방문자 유입,0.183
진도신비의바닷길축제,비축제기간,2023,현지인방문자 유입,0.341
진도신비의바닷길축제,비축제기간,2023,내비게이션 검색량,0.113
진도신비의바닷길축제,비축제기간,2023,관광소비,0.312
진도신비의바닷길축제,비축제기간,2023,축제지 집중률,0.255
