구분,순위,읍면동명,목적지명,도로명주소,카테고리
외지인,1,광안2동,광안리해수욕장,부산 수영구 광안해변로 219-0,자연경관(하천/해양)
외지인,2,광안2동,수영구생활문화센터,부산 수영구 광안해변로 219-0,기타문화관광지
외지인,3,광안2동,포디움다이브엠,부산 수영구 광남로 96-0,기타문화관광지
외지인,4,광안2동,어댑터씨어터2관,부산 수영구 광남로 102-0,공연시설
외지인,5,광안2동,4233마음센터광안점,부산 수영구 광남로 148-0,전시시설
외지인,6,광안2동,레이저아레나광안점,부산 수영구 광남로142번길 8-0,육상레저스포츠
외지인,7,광안2동,광안리M드론라이트쇼,부산 수영구 광안해변로 219-0,기타문화관광지
외지인,8,광안2동,호텔아쿠아펠리스워터파크,부산 수영구 광안해변로 225-0,테마공원
전체,1,광안2동,광안리해수욕장,부산 수영구 광안해변로 219-0,자연경관(하천/해양)
전체,2,광안2동,수영구생활문화센터,부산 수영구 광안해변로 219-0,기타문화관광지
전체,3,광안2동,포디움다이브엠,부산 수영구 광남로 96-0,기타문화관광지
전체,4,광안2동,어댑터씨어터2관,부산 수영구 광남로 102-0,공연시설
전체,5,광안2동,레이저아레나광안점,부산 수영구 광남로142번길 8-0,육상레저스포츠
전체,6,광안2동,4233마음센터광안점,부산 수영구 광남로 148-0,전시시설
전체,7,광안2동,광안리M드론라이트쇼,부산 수영구 광안해변로 219-0,기타문화관광지
전체,8,광안2동,호텔아쿠아펠리스워터파크,부산 수영구 광안해변로 225-0,테마공원
현지인,1,광안2동,광안리해수욕장,부산 수영구 광안해변로 219-0,자연경관(하천/해양)
현지인,2,광안2동,수영구생활문화센터,부산 수영구 광안해변로 219-0,기타문화관광지
현지인,3,광안2동,레이저아레나광안점,부산 수영구 광남로142번길 8-0,육상레저스포츠
현지인,3,광안2동,포디움다이브엠,부산 수영구 광남로 96-0,기타문화관광지
현지인,5,광안2동,호텔아쿠아펠리스워터파크,부산 수영구 광안해변로 225-0,테마공원
현지인,5,광안2동,어댑터씨어터2관,부산 수영구 광남로 102-0,공연시설
현지인,7,광안2동,광안리M드론라이트쇼,부산 수영구 광안해변로 219-0,기타문화관광지
현지인,7,광안2동,4233마음센터광안점,부산 수영구 광남로 148-0,전시시설
