축제명,그룹명,개최년도,구분명,지표값
광안리어방축제,축제기간,2025,외부방문자 유입,0.287
광안리어방축제,축제기간,2025,현지인방문자 유입,0.724
광안리어방축제,축제기간,2025,내비게이션 검색량,0.388
광안리어방축제,축제기간,2025,관광소비,0.572
광안리어방축제,축제기간,2025,축제지 집중률,0.705
광안리어방축제,비축제기간,2025,외부방문자 유입,0.253
광안리어방축제,비축제기간,2025,현지인방문자 유입,0.629
광안리어방축제,비축제기간,2025,내비게이션 검색량,0.426
광안리어방축제,비축제기간,2025,관광소비,0.621
광안리어방축제,비축제기간,2025,축제지 집중률,0.62
광안리어방축제,축제기간,2024,외부방문자 유입,0.38
광안리어방축제,축제기간,2024,현지인방문자 유입,0.91
광안리어방축제,축제기간,2024,내비게이션 검색량,0.529
광안리어방축제,축제기간,2024,관광소비,0.735
광안리어방축제,축제기간,2024,축제지 집중률,0.78
광안리어방축제,비축제기간,2024,외부방문자 유입,0.285
광안리어방축제,비축제기간,2024,현지인방문자 유입,0.782
광안리어방축제,비축제기간,2024,내비게이션 검색량,0.506
광안리어방축제,비축제기간,2024,관광소비,0.677
광안리어방축제,비축제기간,2024,축제지 집중률,0.651
광안리어방축제,축제기간,2023,외부방문자 유입,0.419
광안리어방축제,축제기간,2023,현지인방문자 유입,0.912
광안리어방축제,축제기간,2023,내비게이션 검색량,0.485
광안리어방축제,축제기간,2023,관광소비,0.593
광안리어방축제,축제기간,2023,축제지 집중률,0.775
광안리어방축제,비축제기간,2023,외부방문자 유입,0.34
광안리어방축제,비축제기간,2023,현지인방문자 유입,0.773
광안리어방축제,비축제기간,2023,내비게이션 검색량,0.465
광안리어방축제,비축제기간,2023,관광소비,0.62
광안리어방축제,비축제기간,2023,축제지 집중률,0.663
