축제명,그룹명,개최년도,구분명,지표값
진안홍삼축제,축제기간,2025,외부방문자 유입,0.591
진안홍삼축제,축제기간,2025,현지인방문자 유입,0.851
진안홍삼축제,축제기간,2025,내비게이션 검색량,0.472
진안홍삼축제,축제기간,2025,관광소비,0.602
진안홍삼축제,축제기간,2025,축제지 집중률,0.958
진안홍삼축제,비축제기간,2025,외부방문자 유입,0.33
진안홍삼축제,비축제기간,2025,현지인방문자 유입,0.707
진안홍삼축제,비축제기간,2025,내비게이션 검색량,0.244
진안홍삼축제,비축제기간,2025,관광소비,0.459
진안홍삼축제,비축제기간,2025,축제지 집중률,0.667
진안홍삼축제,축제기간,2024,외부방문자 유입,0.716
진안홍삼축제,축제기간,2024,현지인방문자 유입,0.812
진안홍삼축제,축제기간,2024,내비게이션 검색량,0.669
진안홍삼축제,축제기간,2024,관광소비,0.703
진안홍삼축제,축제기간,2024,축제지 집중률,0.981
진안홍삼축제,비축제기간,2024,외부방문자 유입,0.364
진안홍삼축제,비축제기간,2024,현지인방문자 유입,0.729
진안홍삼축제,비축제기간,2024,내비게이션 검색량,0.167
진안홍삼축제,비축제기간,2024,관광소비,0.507
진안홍삼축제,비축제기간,2024,축제지 집중률,0.716
진안홍삼축제,축제기간,2023,외부방문자 유입,0.434
진안홍삼축제,축제기간,2023,현지인방문자 유입,0.602
진안홍삼축제,축제기간,2023,내비게이션 검색량,0.717
진안홍삼축제,축제기간,2023,관광소비,0.657
진안홍삼축제,축제기간,2023,축제지 집중률,0.966
진안홍삼축제,비축제기간,2023,외부방문자 유입,0.357
진안홍삼축제,비축제기간,2023,현지인방문자 유입,0.663
진안홍삼축제,비축제기간,2023,내비게이션 검색량,0.223
진안홍삼축제,비축제기간,2023,관광소비,0.519
진안홍삼축제,비축제기간,2023,축제지 집중률,0.646
