구분,순위,읍면동명,목적지명,도로명주소,카테고리
외지인,1,천전동,경남문화예술회관,경남 진주시 강남로 215-0,공연시설
외지인,2,천전동,진주고속버스터미널,경남 진주시 동진로 16-0,교통시설
외지인,3,천전동,진주남강유등전시관,경남 진주시 망경로 207-0,전시시설
외지인,4,천전동,철도문화공원,경남 진주시,도시공원
외지인,5,천전동,물빛나루쉼터,경남 진주시 망경로 195-0,수상레저스포츠
외지인,6,천전동,남가람공원,경남 진주시,도시공원
외지인,7,천전동,소망진산유등공원,경남 진주시,도시공원
외지인,8,천전동,진주유등체험관,경남 진주시 망경북길43번길 15-0,전시시설
외지인,9,천전동,진주어린이박물관,경남 진주시 망경로224번길 40-0,전시시설
외지인,10,천전동,월경사,경남 진주시 망경로224번길 45-0,종교성지
외지인,11,천전동,망진산봉수대,경남 진주시,기타관광
외지인,12,천전동,경상국립대학교산학협력관,경남 진주시 동진로 33-0,체험관광기타
외지인,13,천전동,천전시장,경남 진주시 진주대로954번길 4-0,시장
외지인,14,천전동,코리아드라마페스티벌(경남문화예술회관),경남 진주시 강남로 215-0,기타문화관광지
외지인,15,천전동,일호광장 진주역,경남 진주시 진주대로879번길 18-0,전시시설
외지인,16,천전동,진주트래블라운지,경남 진주시 강남로 320-0,기타관광
외지인,17,천전동,화음사,경남 진주시 강남로301번길 8-0,종교성지
외지인,18,천전동,진주시 망경동 약골마을,경남 진주시,역사유적지
외지인,19,천전동,드림캠퍼스,경남 진주시 강남로 251-0,체험관광기타
외지인,20,천전동,창작유등체험관,경남 진주시 망경북길43번길 16-2,기타문화관광지
외지인,21,천전동,루시다,경남 진주시 망경북길 38-0,전시시설
외지인,21,천전동,정법사,경남 진주시 봉수대길 66-0,종교성지
외지인,21,천전동,남가람별빛길,경남 진주시 강남로 320-0,기타관광
외지인,21,천전동,망진산체육공원,경남 진주시,도시공원
외지인,25,천전동,단성석조여래좌상,경남 진주시,역사유적지
외지인,25,천전동,형평운동기념탑,경남 진주시,역사유물
전체,1,천전동,경남문화예술회관,경남 진주시 강남로 215-0,공연시설
전체,2,천전동,진주고속버스터미널,경남 진주시 동진로 16-0,교통시설
전체,3,천전동,진주남강유등전시관,경남 진주시 망경로 207-0,전시시설
전체,4,천전동,철도문화공원,경남 진주시,도시공원
전체,5,천전동,물빛나루쉼터,경남 진주시 망경로 195-0,수상레저스포츠
전체,6,천전동,남가람공원,경남 진주시,도시공원
전체,7,천전동,소망진산유등공원,경남 진주시,도시공원
전체,8,천전동,진주유등체험관,경남 진주시 망경북길43번길 15-0,전시시설
전체,9,천전동,진주어린이박물관,경남 진주시 망경로224번길 40-0,전시시설
전체,10,천전동,월경사,경남 진주시 망경로224번길 45-0,종교성지
전체,11,천전동,망진산봉수대,경남 진주시,기타관광
전체,12,천전동,경상국립대학교산학협력관,경남 진주시 동진로 33-0,체험관광기타
전체,13,천전동,천전시장,경남 진주시 진주대로954번길 4-0,시장
전체,14,천전동,코리아드라마페스티벌(경남문화예술회관),경남 진주시 강남로 215-0,기타문화관광지
전체,15,천전동,일호광장 진주역,경남 진주시 진주대로879번길 18-0,전시시설
전체,16,천전동,화음사,경남 진주시 강남로301번길 8-0,종교성지
전체,16,천전동,진주트래블라운지,경남 진주시 강남로 320-0,기타관광
전체,18,천전동,진주시 망경동 약골마을,경남 진주시,역사유적지
전체,19,천전동,정법사,경남 진주시 봉수대길 66-0,종교성지
전체,20,천전동,드림캠퍼스,경남 진주시 강남로 251-0,체험관광기타
전체,21,천전동,창작유등체험관,경남 진주시 망경북길43번길 16-2,기타문화관광지
전체,21,천전동,남가람별빛길,경남 진주시 강남로 320-0,기타관광
전체,21,천전동,단성석조여래좌상,경남 진주시,역사유적지
전체,21,천전동,형평운동기념탑,경남 진주시,역사유물
전체,25,천전동,망진산체육공원,경남 진주시,도시공원
전체,25,천전동,루시다,경남 진주시 망경북길 38-0,전시시설
현지인,1,천전동,경남문화예술회관,경남 진주시 강남로 215-0,공연시설
현지인,2,천전동,진주고속버스터미널,경남 진주시 동진로 16-0,교통시설
현지인,3,천전동,진주남강유등전시관,경남 진주시 망경로 207-0,전시시설
현지인,4,천전동,철도문화공원,경남 진주시,도시공원
현지인,5,천전동,물빛나루쉼터,경남 진주시 망경로 195-0,수상레저스포츠
현지인,6,천전동,남가람공원,경남 진주시,도시공원
현지인,7,천전동,월경사,경남 진주시 망경로224번길 45-0,종교성지
현지인,8,천전동,진주어린이박물관,경남 진주시 망경로224번길 40-0,전시시설
현지인,9,천전동,진주유등체험관,경남 진주시 망경북길43번길 15-0,전시시설
현지인,10,천전동,망진산봉수대,경남 진주시,기타관광
현지인,11,천전동,소망진산유등공원,경남 진주시,도시공원
현지인,12,천전동,경상국립대학교산학협력관,경남 진주시 동진로 33-0,체험관광기타
현지인,13,천전동,천전시장,경남 진주시 진주대로954번길 4-0,시장
현지인,14,천전동,일호광장 진주역,경남 진주시 진주대로879번길 18-0,전시시설
현지인,15,천전동,코리아드라마페스티벌(경남문화예술회관),경남 진주시 강남로 215-0,기타문화관광지
현지인,16,천전동,화음사,경남 진주시 강남로301번길 8-0,종교성지
현지인,17,천전동,진주트래블라운지,경남 진주시 강남로 320-0,기타관광
현지인,18,천전동,진주시 망경동 약골마을,경남 진주시,역사유적지
현지인,18,천전동,정법사,경남 진주시 봉수대길 66-0,종교성지
현지인,20,천전동,단성석조여래좌상,경남 진주시,역사유적지
현지인,20,천전동,형평운동기념탑,경남 진주시,역사유물
현지인,22,천전동,남가람별빛길,경남 진주시 강남로 320-0,기타관광
현지인,23,천전동,루시다,경남 진주시 망경북길 38-0,전시시설
현지인,23,천전동,드림캠퍼스,경남 진주시 강남로 251-0,체험관광기타
현지인,23,천전동,창작유등체험관,경남 진주시 망경북길43번길 16-2,기타문화관광지
현지인,23,천전동,망진산체육공원,경남 진주시,도시공원
