축제명,그룹명,개최년도,구분명,지표값
진주남강유등축제,축제기간,2025,외부방문자 유입,0.559
진주남강유등축제,축제기간,2025,현지인방문자 유입,0.748
진주남강유등축제,축제기간,2025,내비게이션 검색량,0.594
진주남강유등축제,축제기간,2025,관광소비,0.59
진주남강유등축제,축제기간,2025,축제지 집중률,0.768
진주남강유등축제,비축제기간,2025,외부방문자 유입,0.228
진주남강유등축제,비축제기간,2025,현지인방문자 유입,0.643
진주남강유등축제,비축제기간,2025,내비게이션 검색량,0.288
진주남강유등축제,비축제기간,2025,관광소비,0.452
진주남강유등축제,비축제기간,2025,축제지 집중률,0.489
진주남강유등축제,축제기간,2024,외부방문자 유입,0.424
진주남강유등축제,축제기간,2024,현지인방문자 유입,0.683
진주남강유등축제,축제기간,2024,내비게이션 검색량,0.477
진주남강유등축제,축제기간,2024,관광소비,0.53
진주남강유등축제,축제기간,2024,축제지 집중률,0.656
진주남강유등축제,비축제기간,2024,외부방문자 유입,0.219
진주남강유등축제,비축제기간,2024,현지인방문자 유입,0.529
진주남강유등축제,비축제기간,2024,내비게이션 검색량,0.358
진주남강유등축제,비축제기간,2024,관광소비,0.495
진주남강유등축제,비축제기간,2024,축제지 집중률,0.374
