구분,순위,읍면동명,목적지명,도로명주소,카테고리
외지인,1,성북동,진주남강유등축제,경남 진주시,기타문화관광지
외지인,2,성북동,진주성,경남 진주시 남강로 626-0,역사유적지
외지인,3,성북동,촉석루,경남 진주시 남강로 626-0,역사유적지
외지인,4,성북동,국립진주박물관,경남 진주시 남강로 626-35,전시시설
외지인,5,성북동,진주청소년수련관,경남 진주시 남강로651번길 12-0,육상레저스포츠
외지인,6,성북동,메가박스진주중안,경남 진주시 진양호로 521-0,공연시설
외지인,7,성북동,호국사,경남 진주시 남강로 626-71,종교성지
외지인,7,성북동,서장대,경남 진주시,역사유적지
외지인,9,성북동,서봉지공원,경남 진주시,도시공원
외지인,10,성북동,남강관광유람선매표소,경남 진주시 논개길 16-0,교통시설
전체,1,성북동,진주남강유등축제,경남 진주시,기타문화관광지
전체,2,성북동,진주성,경남 진주시 남강로 626-0,역사유적지
전체,3,성북동,촉석루,경남 진주시 남강로 626-0,역사유적지
전체,4,성북동,진주청소년수련관,경남 진주시 남강로651번길 12-0,육상레저스포츠
전체,5,성북동,국립진주박물관,경남 진주시 남강로 626-35,전시시설
전체,6,성북동,메가박스진주중안,경남 진주시 진양호로 521-0,공연시설
전체,7,성북동,서장대,경남 진주시,역사유적지
전체,7,성북동,호국사,경남 진주시 남강로 626-71,종교성지
전체,9,성북동,서봉지공원,경남 진주시,도시공원
전체,10,성북동,남강관광유람선매표소,경남 진주시 논개길 16-0,교통시설
현지인,1,성북동,진주남강유등축제,경남 진주시,기타문화관광지
현지인,2,성북동,진주성,경남 진주시 남강로 626-0,역사유적지
현지인,3,성북동,촉석루,경남 진주시 남강로 626-0,역사유적지
현지인,4,성북동,진주청소년수련관,경남 진주시 남강로651번길 12-0,육상레저스포츠
현지인,5,성북동,메가박스진주중안,경남 진주시 진양호로 521-0,공연시설
현지인,6,성북동,국립진주박물관,경남 진주시 남강로 626-35,전시시설
현지인,7,성북동,서봉지공원,경남 진주시,도시공원
현지인,8,성북동,호국사,경남 진주시 남강로 626-71,종교성지
현지인,8,성북동,서장대,경남 진주시,역사유적지
현지인,10,성북동,남강관광유람선매표소,경남 진주시 논개길 16-0,교통시설
