구분,순위,읍면동명,목적지명,도로명주소,카테고리
외지인,1,백석동,천안흥타령춤축제,충남 천안시 서북구 번영로 208-0,기타문화관광지
외지인,2,백석동,노태공원,충남 천안시 서북구,도시공원
외지인,3,백석동,천안제3공단근린체육공원,충남 천안시 서북구 3공단1로 19-0,도시공원
외지인,4,백석동,롤킹롤러스케이트장,충남 천안시 서북구 한들3로 8-0,육상레저스포츠
외지인,5,백석동,톤톤프리미엄키즈카페,충남 천안시 서북구 한들1로 196-0,테마공원
외지인,6,백석동,테테루드림랜드,충남 천안시 서북구 한들1로 218-0,테마공원
외지인,7,백석동,마치파크,충남 천안시 서북구 한들1로 171-0,도시공원
외지인,8,백석동,힐링포스처자세교정운동센터,충남 천안시 서북구 백석로 136-0,기타레저스포츠
외지인,9,백석동,천안한들파크골프장,충남 천안시 서북구 음봉로 861-50,육상레저스포츠
외지인,10,백석동,드래곤키즈파티룸,충남 천안시 서북구 한들3로 35-28,테마공원
외지인,10,백석동,천안유관순파크골프장,충남 천안시 서북구 백석공단1로 97-13,육상레저스포츠
외지인,10,백석동,평생탁구교실,충남 천안시 서북구 백석3로 130-14,기타레저스포츠
외지인,13,백석동,슈슈몰리,충남 천안시 서북구 한들1로 171-0,테마공원
외지인,14,백석동,천안종합운동장무료야외스케이트장,충남 천안시 서북구 번영로 208-0,육상레저스포츠
외지인,15,백석동,도광사,충남 천안시 서북구 백석6길 11-0,종교성지
외지인,15,백석동,사조로하이포크직매장,충남 천안시 서북구 백석3로 29-0,시장
외지인,15,백석동,챔피언이마트천안서북점,충남 천안시 서북구 삼성대로 20-0,테마공원
전체,1,백석동,천안흥타령춤축제,충남 천안시 서북구 번영로 208-0,기타문화관광지
전체,2,백석동,노태공원,충남 천안시 서북구,도시공원
전체,3,백석동,천안제3공단근린체육공원,충남 천안시 서북구 3공단1로 19-0,도시공원
전체,4,백석동,롤킹롤러스케이트장,충남 천안시 서북구 한들3로 8-0,육상레저스포츠
전체,5,백석동,톤톤프리미엄키즈카페,충남 천안시 서북구 한들1로 196-0,테마공원
전체,6,백석동,테테루드림랜드,충남 천안시 서북구 한들1로 218-0,테마공원
전체,7,백석동,마치파크,충남 천안시 서북구 한들1로 171-0,도시공원
전체,8,백석동,힐링포스처자세교정운동센터,충남 천안시 서북구 백석로 136-0,기타레저스포츠
전체,9,백석동,천안한들파크골프장,충남 천안시 서북구 음봉로 861-50,육상레저스포츠
전체,10,백석동,드래곤키즈파티룸,충남 천안시 서북구 한들3로 35-28,테마공원
전체,11,백석동,천안유관순파크골프장,충남 천안시 서북구 백석공단1로 97-13,육상레저스포츠
전체,12,백석동,평생탁구교실,충남 천안시 서북구 백석3로 130-14,기타레저스포츠
전체,13,백석동,슈슈몰리,충남 천안시 서북구 한들1로 171-0,테마공원
전체,14,백석동,천안종합운동장무료야외스케이트장,충남 천안시 서북구 번영로 208-0,육상레저스포츠
전체,15,백석동,사조로하이포크직매장,충남 천안시 서북구 백석3로 29-0,시장
전체,16,백석동,챔피언이마트천안서북점,충남 천안시 서북구 삼성대로 20-0,테마공원
전체,16,백석동,도광사,충남 천안시 서북구 백석6길 11-0,종교성지
현지인,1,백석동,천안흥타령춤축제,충남 천안시 서북구 번영로 208-0,기타문화관광지
현지인,2,백석동,노태공원,충남 천안시 서북구,도시공원
현지인,3,백석동,천안제3공단근린체육공원,충남 천안시 서북구 3공단1로 19-0,도시공원
현지인,4,백석동,롤킹롤러스케이트장,충남 천안시 서북구 한들3로 8-0,육상레저스포츠
현지인,4,백석동,톤톤프리미엄키즈카페,충남 천안시 서북구 한들1로 196-0,테마공원
현지인,6,백석동,테테루드림랜드,충남 천안시 서북구 한들1로 218-0,테마공원
현지인,7,백석동,마치파크,충남 천안시 서북구 한들1로 171-0,도시공원
현지인,8,백석동,드래곤키즈파티룸,충남 천안시 서북구 한들3로 35-28,테마공원
현지인,8,백석동,힐링포스처자세교정운동센터,충남 천안시 서북구 백석로 136-0,기타레저스포츠
현지인,10,백석동,천안유관순파크골프장,충남 천안시 서북구 백석공단1로 97-13,육상레저스포츠
현지인,11,백석동,천안한들파크골프장,충남 천안시 서북구 음봉로 861-50,육상레저스포츠
현지인,12,백석동,슈슈몰리,충남 천안시 서북구 한들1로 171-0,테마공원
현지인,13,백석동,평생탁구교실,충남 천안시 서북구 백석3로 130-14,기타레저스포츠
현지인,13,백석동,천안종합운동장무료야외스케이트장,충남 천안시 서북구 번영로 208-0,육상레저스포츠
현지인,13,백석동,사조로하이포크직매장,충남 천안시 서북구 백석3로 29-0,시장
현지인,16,백석동,도광사,충남 천안시 서북구 백석6길 11-0,종교성지
현지인,16,백석동,챔피언이마트천안서북점,충남 천안시 서북구 삼성대로 20-0,테마공원
