축제명,그룹명,개최년도,구분명,지표값
천안흥타령축제,축제기간,2025,외부방문자 유입,0.784
천안흥타령축제,축제기간,2025,현지인방문자 유입,0.971
천안흥타령축제,축제기간,2025,내비게이션 검색량,0.418
천안흥타령축제,축제기간,2025,관광소비,0.701
천안흥타령축제,축제기간,2025,축제지 집중률,0.736
천안흥타령축제,비축제기간,2025,외부방문자 유입,0.509
천안흥타령축제,비축제기간,2025,현지인방문자 유입,0.814
천안흥타령축제,비축제기간,2025,내비게이션 검색량,0.49
천안흥타령축제,비축제기간,2025,관광소비,0.693
천안흥타령축제,비축제기간,2025,축제지 집중률,0.537
천안흥타령축제,축제기간,2024,외부방문자 유입,0.765
천안흥타령축제,축제기간,2024,현지인방문자 유입,0.904
천안흥타령축제,축제기간,2024,내비게이션 검색량,0.259
천안흥타령축제,축제기간,2024,관광소비,0.699
천안흥타령축제,축제기간,2024,축제지 집중률,0.846
천안흥타령축제,비축제기간,2024,외부방문자 유입,0.455
천안흥타령축제,비축제기간,2024,현지인방문자 유입,0.755
천안흥타령축제,비축제기간,2024,내비게이션 검색량,0.218
천안흥타령축제,비축제기간,2024,관광소비,0.686
천안흥타령축제,비축제기간,2024,축제지 집중률,0.574
천안흥타령축제,축제기간,2023,외부방문자 유입,0.902
천안흥타령축제,축제기간,2023,현지인방문자 유입,0.922
천안흥타령축제,축제기간,2023,내비게이션 검색량,0.674
천안흥타령축제,축제기간,2023,관광소비,0.637
천안흥타령축제,축제기간,2023,축제지 집중률,0.927
천안흥타령축제,비축제기간,2023,외부방문자 유입,0.552
천안흥타령축제,비축제기간,2023,현지인방문자 유입,0.685
천안흥타령축제,비축제기간,2023,내비게이션 검색량,0.552
천안흥타령축제,비축제기간,2023,관광소비,0.661
천안흥타령축제,비축제기간,2023,축제지 집중률,0.555
