구분,순위,읍면동명,목적지명,도로명주소,카테고리
외지인,1,청송읍,청송사과축제,경북 청송군,기타문화관광지
외지인,2,청송읍,달기약수탕,경북 청송군 약수길 16-0,자연경관(산)
외지인,3,청송읍,현비암,경북 청송군,기타관광
외지인,4,청송읍,청송솔기온천,경북 청송군 중앙로 315-0,웰니스관광
외지인,5,청송읍,청송시외버스터미널,경북 청송군 중앙로 184-0,교통시설
외지인,6,청송읍,용전천,경북 청송군 주왕산로 0-0,기타관광
외지인,7,청송읍,청송재래시장,경북 청송군 현충로 106-0,시장
외지인,8,청송읍,현비암강수욕장,경북 청송군 굿바들길 0-0,기타관광
외지인,9,청송읍,달기약수터상탕,경북 청송군,자연경관(산)
외지인,10,청송읍,소헌공원,경북 청송군 금월로 273-0,도시공원
외지인,11,청송읍,청송파크골프장,경북 청송군 주왕산로 222-0,육상레저스포츠
외지인,12,청송읍,청송사과공원,경북 청송군,도시공원
외지인,13,청송읍,보광사,경북 청송군 현충로 51-352,종교성지
외지인,14,청송읍,달기폭포,경북 청송군,자연경관(산)
외지인,15,청송읍,달기샘,경북 청송군 부곡길 32-0,기타관광
외지인,15,청송읍,노루용추계곡,경북 청송군,자연경관(산)
외지인,17,청송읍,청송송어장,경북 청송군 사부실길 17-0,농/산/어촌체험
외지인,17,청송읍,청송승마장,경북 청송군 중앙로 486-21,육상레저스포츠
외지인,17,청송읍,보광사극락전,경북 청송군 현충로 51-352,역사유적지
외지인,17,청송읍,달기약수중탕,경북 청송군,자연경관(산)
전체,1,청송읍,청송사과축제,경북 청송군,기타문화관광지
전체,2,청송읍,달기약수탕,경북 청송군 약수길 16-0,자연경관(산)
전체,3,청송읍,현비암,경북 청송군,기타관광
전체,4,청송읍,청송솔기온천,경북 청송군 중앙로 315-0,웰니스관광
전체,5,청송읍,청송시외버스터미널,경북 청송군 중앙로 184-0,교통시설
전체,6,청송읍,용전천,경북 청송군 주왕산로 0-0,기타관광
전체,7,청송읍,청송재래시장,경북 청송군 현충로 106-0,시장
전체,8,청송읍,현비암강수욕장,경북 청송군 굿바들길 0-0,기타관광
전체,9,청송읍,달기약수터상탕,경북 청송군,자연경관(산)
전체,10,청송읍,소헌공원,경북 청송군 금월로 273-0,도시공원
전체,11,청송읍,청송파크골프장,경북 청송군 주왕산로 222-0,육상레저스포츠
전체,12,청송읍,보광사,경북 청송군 현충로 51-352,종교성지
전체,13,청송읍,청송사과공원,경북 청송군,도시공원
전체,14,청송읍,달기폭포,경북 청송군,자연경관(산)
전체,15,청송읍,달기샘,경북 청송군 부곡길 32-0,기타관광
전체,16,청송읍,청송승마장,경북 청송군 중앙로 486-21,육상레저스포츠
전체,17,청송읍,노루용추계곡,경북 청송군,자연경관(산)
전체,17,청송읍,보광사극락전,경북 청송군 현충로 51-352,역사유적지
전체,19,청송읍,달기약수중탕,경북 청송군,자연경관(산)
전체,19,청송읍,청송송어장,경북 청송군 사부실길 17-0,농/산/어촌체험
현지인,1,청송읍,청송사과축제,경북 청송군,기타문화관광지
현지인,2,청송읍,달기약수탕,경북 청송군 약수길 16-0,자연경관(산)
현지인,3,청송읍,현비암,경북 청송군,기타관광
현지인,4,청송읍,청송솔기온천,경북 청송군 중앙로 315-0,웰니스관광
현지인,5,청송읍,청송시외버스터미널,경북 청송군 중앙로 184-0,교통시설
현지인,5,청송읍,용전천,경북 청송군 주왕산로 0-0,기타관광
현지인,7,청송읍,청송재래시장,경북 청송군 현충로 106-0,시장
현지인,8,청송읍,현비암강수욕장,경북 청송군 굿바들길 0-0,기타관광
현지인,9,청송읍,청송파크골프장,경북 청송군 주왕산로 222-0,육상레저스포츠
현지인,10,청송읍,소헌공원,경북 청송군 금월로 273-0,도시공원
현지인,11,청송읍,달기약수터상탕,경북 청송군,자연경관(산)
현지인,12,청송읍,보광사,경북 청송군 현충로 51-352,종교성지
현지인,13,청송읍,청송사과공원,경북 청송군,도시공원
현지인,14,청송읍,달기폭포,경북 청송군,자연경관(산)
현지인,15,청송읍,달기샘,경북 청송군 부곡길 32-0,기타관광
현지인,16,청송읍,청송승마장,경북 청송군 중앙로 486-21,육상레저스포츠
현지인,17,청송읍,보광사극락전,경북 청송군 현충로 51-352,역사유적지
현지인,18,청송읍,청송송어장,경북 청송군 사부실길 17-0,농/산/어촌체험
현지인,18,청송읍,노루용추계곡,경북 청송군,자연경관(산)
현지인,18,청송읍,달기약수중탕,경북 청송군,자연경관(산)
