축제명,그룹명,개최년도,구분명,지표값
청송사과축제,축제기간,2025,외부방문자 유입,0.635
청송사과축제,축제기간,2025,현지인방문자 유입,0.905
청송사과축제,축제기간,2025,내비게이션 검색량,0.488
청송사과축제,축제기간,2025,관광소비,0.594
청송사과축제,축제기간,2025,축제지 집중률,0.949
청송사과축제,비축제기간,2025,외부방문자 유입,0.148
청송사과축제,비축제기간,2025,현지인방문자 유입,0.504
청송사과축제,비축제기간,2025,내비게이션 검색량,0.06
청송사과축제,비축제기간,2025,관광소비,0.36
청송사과축제,비축제기간,2025,축제지 집중률,0.369
청송사과축제,축제기간,2024,외부방문자 유입,0.572
청송사과축제,축제기간,2024,현지인방문자 유입,0.932
청송사과축제,축제기간,2024,내비게이션 검색량,0.611
청송사과축제,축제기간,2024,관광소비,0.661
청송사과축제,축제기간,2024,축제지 집중률,0.94
청송사과축제,비축제기간,2024,외부방문자 유입,0.166
청송사과축제,비축제기간,2024,현지인방문자 유입,0.695
청송사과축제,비축제기간,2024,내비게이션 검색량,0.089
청송사과축제,비축제기간,2024,관광소비,0.392
청송사과축제,비축제기간,2024,축제지 집중률,0.484
청송사과축제,축제기간,2023,외부방문자 유입,0.716
청송사과축제,축제기간,2023,현지인방문자 유입,0.816
청송사과축제,축제기간,2023,내비게이션 검색량,0.648
청송사과축제,축제기간,2023,관광소비,0.67
청송사과축제,축제기간,2023,축제지 집중률,0.921
청송사과축제,비축제기간,2023,외부방문자 유입,0.207
청송사과축제,비축제기간,2023,현지인방문자 유입,0.531
청송사과축제,비축제기간,2023,내비게이션 검색량,0.095
청송사과축제,비축제기간,2023,관광소비,0.393
청송사과축제,비축제기간,2023,축제지 집중률,0.502
