축제명,그룹명,개최년도,구분명,지표값
추억의충장축제,축제기간,2025,외부방문자 유입,0.615
추억의충장축제,축제기간,2025,현지인방문자 유입,0.97
추억의충장축제,축제기간,2025,내비게이션 검색량,0.612
추억의충장축제,축제기간,2025,관광소비,0.648
추억의충장축제,축제기간,2025,축제지 집중률,0.842
추억의충장축제,비축제기간,2025,외부방문자 유입,0.476
추억의충장축제,비축제기간,2025,현지인방문자 유입,0.828
추억의충장축제,비축제기간,2025,내비게이션 검색량,0.439
추억의충장축제,비축제기간,2025,관광소비,0.683
추억의충장축제,비축제기간,2025,축제지 집중률,0.704
추억의충장축제,축제기간,2024,외부방문자 유입,0.721
추억의충장축제,축제기간,2024,현지인방문자 유입,0.884
추억의충장축제,축제기간,2024,내비게이션 검색량,0.645
추억의충장축제,축제기간,2024,관광소비,0.754
추억의충장축제,축제기간,2024,축제지 집중률,0.92
추억의충장축제,비축제기간,2024,외부방문자 유입,0.485
추억의충장축제,비축제기간,2024,현지인방문자 유입,0.76
추억의충장축제,비축제기간,2024,내비게이션 검색량,0.483
추억의충장축제,비축제기간,2024,관광소비,0.671
추억의충장축제,비축제기간,2024,축제지 집중률,0.712
추억의충장축제,축제기간,2023,외부방문자 유입,0.792
추억의충장축제,축제기간,2023,현지인방문자 유입,0.882
추억의충장축제,축제기간,2023,내비게이션 검색량,0.702
추억의충장축제,축제기간,2023,관광소비,0.729
추억의충장축제,축제기간,2023,축제지 집중률,0.89
추억의충장축제,비축제기간,2023,외부방문자 유입,0.505
추억의충장축제,비축제기간,2023,현지인방문자 유입,0.697
추억의충장축제,비축제기간,2023,내비게이션 검색량,0.543
추억의충장축제,비축제기간,2023,관광소비,0.637
추억의충장축제,비축제기간,2023,축제지 집중률,0.688
