구분,순위,읍면동명,목적지명,도로명주소,카테고리
외지인,1,근화동,레고랜드코리아리조트,강원 춘천시 하중도길 125-0,테마공원
외지인,2,근화동,춘천역,강원 춘천시 공지로 591-0,교통시설
외지인,3,강남동,춘천삼악산호수케이블카,강원 춘천시 스포츠타운길 245-0,기타관광
외지인,4,근화동,소양강스카이워크,강원 춘천시 영서로 2663-0,랜드마크관광
외지인,5,강남동,춘천시외버스터미널,강원 춘천시 경춘로 2341-0,교통시설
외지인,6,근화동,공지천유원지,강원 춘천시,복합관광시설
외지인,7,강남동,모다아울렛춘천점,강원 춘천시 방송길 77-0,쇼핑몰
외지인,8,강남동,메가박스남춘천,강원 춘천시 춘천로17번길 17-0,공연시설
외지인,9,근화동,춘천마임축제(레고랜드코리아리조트주차장),강원 춘천시 스포츠타운길 136-0,기타문화관광지
외지인,10,근화동,춘천꿈자람어린이공원,강원 춘천시 평화로 26-0,도시공원
외지인,11,근화동,하중도생태공원,강원 춘천시,도시공원
외지인,12,강남동,의암호스카이워크,강원 춘천시,랜드마크관광
외지인,13,강남동,춘천풍물시장,강원 춘천시 영서로 0-0,시장
외지인,14,근화동,춘천사이로248,강원 춘천시 수변공원길 0-0,기타관광
외지인,15,근화동,소양강처녀상,강원 춘천시,기타관광
외지인,16,강남동,KT&G상상마당춘천아트센터,강원 춘천시 스포츠타운길399번길 25-0,기타문화관광지
외지인,17,근화동,에티오피아한국전참전기념관,강원 춘천시 이디오피아길 1-0,전시시설
외지인,18,강남동,춘천고속버스터미널,강원 춘천시 터미널길14번길 15-0,교통시설
외지인,19,강남동,송암스포츠타운빙상장,강원 춘천시 스포츠타운길 113-0,육상레저스포츠
외지인,20,강남동,춘천중도물레길,강원 춘천시 스포츠타운길223번길 95-0,수상레저스포츠
외지인,21,근화동,브릭아일랜드,강원 춘천시 하중도길 227-0,수상레저스포츠
외지인,22,근화동,공지천인조잔디구장,강원 춘천시 이디오피아길 14-0,레저스포츠시설
외지인,23,강남동,의암공원,강원 춘천시 수변공원길 18-0,도시공원
외지인,24,근화동,청춘수상레저,강원 춘천시 영서로 2675-0,수상레저스포츠
외지인,25,강남동,킹카누나루터,강원 춘천시,수상레저스포츠
외지인,26,근화동,조각공원,강원 춘천시 옛경춘로 880-0,도시공원
외지인,27,근화동,번개시장,강원 춘천시 번개시장길 31-0,시장
외지인,28,근화동,의암호,강원 춘천시,자연경관(하천/해양)
