축제명,그룹명,개최년도,구분명,지표값
춘천마임축제,축제기간,2025,외부방문자 유입,0.27
춘천마임축제,축제기간,2025,현지인방문자 유입,0.586
춘천마임축제,축제기간,2025,내비게이션 검색량,0.218
춘천마임축제,축제기간,2025,관광소비,0.416
춘천마임축제,축제기간,2025,축제지 집중률,0.418
춘천마임축제,비축제기간,2025,외부방문자 유입,0.248
춘천마임축제,비축제기간,2025,현지인방문자 유입,0.545
춘천마임축제,비축제기간,2025,내비게이션 검색량,0.205
춘천마임축제,비축제기간,2025,관광소비,0.426
춘천마임축제,비축제기간,2025,축제지 집중률,0.395
춘천마임축제,축제기간,2024,외부방문자 유입,0.244
춘천마임축제,축제기간,2024,현지인방문자 유입,0.637
춘천마임축제,축제기간,2024,내비게이션 검색량,0.309
춘천마임축제,축제기간,2024,관광소비,0.524
춘천마임축제,축제기간,2024,축제지 집중률,0.395
춘천마임축제,비축제기간,2024,외부방문자 유입,0.236
춘천마임축제,비축제기간,2024,현지인방문자 유입,0.608
춘천마임축제,비축제기간,2024,내비게이션 검색량,0.317
춘천마임축제,비축제기간,2024,관광소비,0.557
춘천마임축제,비축제기간,2024,축제지 집중률,0.38
춘천마임축제,축제기간,2023,외부방문자 유입,0.464
춘천마임축제,축제기간,2023,현지인방문자 유입,0.767
춘천마임축제,축제기간,2023,내비게이션 검색량,0.523
춘천마임축제,축제기간,2023,관광소비,0.538
춘천마임축제,축제기간,2023,축제지 집중률,0.744
춘천마임축제,비축제기간,2023,외부방문자 유입,0.46
춘천마임축제,비축제기간,2023,현지인방문자 유입,0.778
춘천마임축제,비축제기간,2023,내비게이션 검색량,0.483
춘천마임축제,비축제기간,2023,관광소비,0.498
춘천마임축제,비축제기간,2023,축제지 집중률,0.775
