구분,순위,읍면동명,목적지명,도로명주소,카테고리
외지인,1,삼도2동,탑동해변공연장,제주 제주시 중앙로 2-0,공연시설
외지인,2,삼도2동,관덕정,제주 제주시 관덕로 19-0,역사유적지
외지인,3,일도1동,탐라문화광장,제주 제주시,테마공원
외지인,4,일도1동,산지천갤러리,제주 제주시 중앙로3길 36-0,전시시설
외지인,5,삼도2동,제주목관아,제주 제주시 관덕로 25-0,역사유적지
외지인,6,일도1동,동문공설시장,제주 제주시 동문로4길 9-0,시장
외지인,7,삼도2동,제주시 삼도이동 탑동,제주 제주시,도시/지역문화관광
외지인,7,일도1동,탐라문화제,제주 제주시,기타문화관광지
외지인,9,일도1동,케이팝롤러장,제주 제주시 관덕로11길 17-0,기타레저스포츠
외지인,9,일도1동,고씨주택,제주 제주시 관덕로17길 27-1,기타문화관광지
외지인,11,삼도2동,제주중앙로상점가,제주 제주시 중앙로 91-0,시장
외지인,12,삼도2동,아라리오뮤지엄탑동시네마,제주 제주시 탑동로 14-0,전시시설
외지인,13,일도1동,산지천마당,제주 제주시,기타관광
외지인,13,삼도2동,아라리오뮤지엄제주탑동,제주 제주시 탑동로 14-0,전시시설
외지인,15,일도1동,산짓물공원,제주 제주시,도시공원
외지인,16,삼도2동,제주오리엔탈호텔카지노,제주 제주시 탑동로 47-0,기타문화관광지
외지인,17,일도1동,아라리오뮤지엄동문모텔,제주 제주시 산지로 37-5,전시시설
전체,1,삼도2동,관덕정,제주 제주시 관덕로 19-0,역사유적지
전체,1,삼도2동,탑동해변공연장,제주 제주시 중앙로 2-0,공연시설
전체,3,일도1동,탐라문화광장,제주 제주시,테마공원
전체,4,일도1동,산지천갤러리,제주 제주시 중앙로3길 36-0,전시시설
전체,5,삼도2동,제주시 삼도이동 탑동,제주 제주시,도시/지역문화관광
전체,6,일도1동,동문공설시장,제주 제주시 동문로4길 9-0,시장
전체,6,일도1동,탐라문화제,제주 제주시,기타문화관광지
전체,8,삼도2동,제주목관아,제주 제주시 관덕로 25-0,역사유적지
전체,9,일도1동,케이팝롤러장,제주 제주시 관덕로11길 17-0,기타레저스포츠
전체,10,일도1동,고씨주택,제주 제주시 관덕로17길 27-1,기타문화관광지
전체,11,삼도2동,제주중앙로상점가,제주 제주시 중앙로 91-0,시장
전체,12,삼도2동,아라리오뮤지엄탑동시네마,제주 제주시 탑동로 14-0,전시시설
전체,13,일도1동,산지천마당,제주 제주시,기타관광
전체,14,삼도2동,아라리오뮤지엄제주탑동,제주 제주시 탑동로 14-0,전시시설
전체,15,일도1동,산짓물공원,제주 제주시,도시공원
전체,16,삼도2동,제주오리엔탈호텔카지노,제주 제주시 탑동로 47-0,기타문화관광지
전체,16,일도1동,아라리오뮤지엄동문모텔,제주 제주시 산지로 37-5,전시시설
현지인,1,삼도2동,관덕정,제주 제주시 관덕로 19-0,역사유적지
현지인,2,삼도2동,탑동해변공연장,제주 제주시 중앙로 2-0,공연시설
현지인,3,일도1동,탐라문화광장,제주 제주시,테마공원
현지인,4,일도1동,산지천갤러리,제주 제주시 중앙로3길 36-0,전시시설
현지인,5,삼도2동,제주시 삼도이동 탑동,제주 제주시,도시/지역문화관광
현지인,6,일도1동,탐라문화제,제주 제주시,기타문화관광지
현지인,7,일도1동,동문공설시장,제주 제주시 동문로4길 9-0,시장
현지인,8,일도1동,케이팝롤러장,제주 제주시 관덕로11길 17-0,기타레저스포츠
현지인,9,삼도2동,제주목관아,제주 제주시 관덕로 25-0,역사유적지
현지인,10,일도1동,고씨주택,제주 제주시 관덕로17길 27-1,기타문화관광지
현지인,10,삼도2동,제주중앙로상점가,제주 제주시 중앙로 91-0,시장
현지인,10,일도1동,산지천마당,제주 제주시,기타관광
현지인,13,삼도2동,아라리오뮤지엄제주탑동,제주 제주시 탑동로 14-0,전시시설
현지인,13,일도1동,산짓물공원,제주 제주시,도시공원
현지인,15,삼도2동,아라리오뮤지엄탑동시네마,제주 제주시 탑동로 14-0,전시시설
현지인,16,일도1동,아라리오뮤지엄동문모텔,제주 제주시 산지로 37-5,전시시설
현지인,17,삼도2동,제주오리엔탈호텔카지노,제주 제주시 탑동로 47-0,기타문화관광지
