축제명,그룹명,개최년도,구분명,지표값
탐라문화제,축제기간,2025,외부방문자 유입,0.622
탐라문화제,축제기간,2025,현지인방문자 유입,0.87
탐라문화제,축제기간,2025,내비게이션 검색량,0.783
탐라문화제,축제기간,2025,관광소비,0.694
탐라문화제,축제기간,2025,축제지 집중률,0.68
탐라문화제,비축제기간,2025,외부방문자 유입,0.634
탐라문화제,비축제기간,2025,현지인방문자 유입,0.738
탐라문화제,비축제기간,2025,내비게이션 검색량,0.507
탐라문화제,비축제기간,2025,관광소비,0.716
탐라문화제,비축제기간,2025,축제지 집중률,0.681
탐라문화제,축제기간,2024,외부방문자 유입,0.8
탐라문화제,축제기간,2024,현지인방문자 유입,0.83
탐라문화제,축제기간,2024,내비게이션 검색량,0.779
탐라문화제,축제기간,2024,관광소비,0.795
탐라문화제,축제기간,2024,축제지 집중률,0.823
탐라문화제,비축제기간,2024,외부방문자 유입,0.746
탐라문화제,비축제기간,2024,현지인방문자 유입,0.769
탐라문화제,비축제기간,2024,내비게이션 검색량,0.62
탐라문화제,비축제기간,2024,관광소비,0.75
탐라문화제,비축제기간,2024,축제지 집중률,0.771
탐라문화제,축제기간,2023,외부방문자 유입,0.657
탐라문화제,축제기간,2023,현지인방문자 유입,0.805
탐라문화제,축제기간,2023,내비게이션 검색량,0.697
탐라문화제,축제기간,2023,관광소비,0.769
탐라문화제,축제기간,2023,축제지 집중률,0.79
탐라문화제,비축제기간,2023,외부방문자 유입,0.619
탐라문화제,비축제기간,2023,현지인방문자 유입,0.704
탐라문화제,비축제기간,2023,내비게이션 검색량,0.558
탐라문화제,비축제기간,2023,관광소비,0.722
탐라문화제,비축제기간,2023,축제지 집중률,0.748
