구분,순위,읍면동명,목적지명,도로명주소,카테고리
외지인,1,삼도2동,관덕정,제주 제주시 관덕로 19-0,역사유적지
외지인,2,삼도2동,제주목관아,제주 제주시 관덕로 25-0,역사유적지
외지인,3,삼도2동,탑동해변공연장,제주 제주시 중앙로 2-0,공연시설
외지인,4,삼도2동,예술공간이아,제주 제주시 중앙로14길 21-0,기타문화관광지
외지인,4,삼도2동,제주시 삼도이동 탑동,제주 제주시,도시/지역문화관광
외지인,6,삼도2동,아라리오뮤지엄탑동시네마,제주 제주시 탑동로 14-0,전시시설
외지인,7,삼도2동,동부두방파제,제주 제주시,자연경관(하천/해양)
외지인,7,삼도2동,아라리오뮤지엄제주탑동,제주 제주시 탑동로 14-0,전시시설
전체,1,삼도2동,관덕정,제주 제주시 관덕로 19-0,역사유적지
전체,2,삼도2동,제주목관아,제주 제주시 관덕로 25-0,역사유적지
전체,3,삼도2동,예술공간이아,제주 제주시 중앙로14길 21-0,기타문화관광지
전체,4,삼도2동,제주시 삼도이동 탑동,제주 제주시,도시/지역문화관광
전체,4,삼도2동,탑동해변공연장,제주 제주시 중앙로 2-0,공연시설
전체,6,삼도2동,동부두방파제,제주 제주시,자연경관(하천/해양)
전체,6,삼도2동,아라리오뮤지엄탑동시네마,제주 제주시 탑동로 14-0,전시시설
전체,8,삼도2동,아라리오뮤지엄제주탑동,제주 제주시 탑동로 14-0,전시시설
현지인,1,삼도2동,관덕정,제주 제주시 관덕로 19-0,역사유적지
현지인,2,삼도2동,제주목관아,제주 제주시 관덕로 25-0,역사유적지
현지인,3,삼도2동,예술공간이아,제주 제주시 중앙로14길 21-0,기타문화관광지
현지인,4,삼도2동,제주시 삼도이동 탑동,제주 제주시,도시/지역문화관광
현지인,5,삼도2동,동부두방파제,제주 제주시,자연경관(하천/해양)
현지인,5,삼도2동,탑동해변공연장,제주 제주시 중앙로 2-0,공연시설
현지인,7,삼도2동,아라리오뮤지엄제주탑동,제주 제주시 탑동로 14-0,전시시설
현지인,7,삼도2동,아라리오뮤지엄탑동시네마,제주 제주시 탑동로 14-0,전시시설
