구분,순위,읍면동명,목적지명,도로명주소,카테고리
외지인,1,문곡소도동,태백산국립공원유일사탐방지원센터,강원 태백시 태백산로 4246-1,기타관광
외지인,2,문곡소도동,유일사,강원 태백시 태백산로 4246-167,종교성지
외지인,3,문곡소도동,태백산국립공원당골탐방지원센터,강원 태백시,기타관광
외지인,4,문곡소도동,석탄박물관,강원 태백시 천제단길 195-0,전시시설
외지인,5,문곡소도동,화방재,강원 태백시,자연경관(산)
전체,1,문곡소도동,태백산국립공원유일사탐방지원센터,강원 태백시 태백산로 4246-1,기타관광
전체,2,문곡소도동,유일사,강원 태백시 태백산로 4246-167,종교성지
전체,3,문곡소도동,태백산국립공원당골탐방지원센터,강원 태백시,기타관광
전체,4,문곡소도동,석탄박물관,강원 태백시 천제단길 195-0,전시시설
전체,5,문곡소도동,화방재,강원 태백시,자연경관(산)
현지인,1,문곡소도동,태백산국립공원유일사탐방지원센터,강원 태백시 태백산로 4246-1,기타관광
현지인,2,문곡소도동,태백산국립공원당골탐방지원센터,강원 태백시,기타관광
현지인,3,문곡소도동,유일사,강원 태백시 태백산로 4246-167,종교성지
현지인,4,문곡소도동,석탄박물관,강원 태백시 천제단길 195-0,전시시설
현지인,5,문곡소도동,화방재,강원 태백시,자연경관(산)
