구분,순위,읍면동명,목적지명,도로명주소,카테고리
외지인,1,치평동,김대중컨벤션센터,광주 서구 상무누리로 30-0,전시시설
외지인,2,치평동,상무시민공원,광주 서구 상무자유로 59-0,도시공원
외지인,3,치평동,세정아울렛,광주 서구 상무대로 773-0,쇼핑몰
외지인,4,치평동,광주김치축제,광주 서구 내방로 111-0,기타문화관광지
외지인,5,치평동,CGV광주상무,광주 서구 시청로 67-0,공연시설
외지인,6,치평동,메가박스광주상무본관,광주 서구 시청로60번길 21-6,공연시설
외지인,7,치평동,5.18자유공원,광주 서구 상무평화로 13-0,도시공원
외지인,8,치평동,평화공원,광주 서구 내방로 102-0,도시공원
외지인,9,치평동,상무금요시장,광주 서구,시장
외지인,10,치평동,기분좋은극장,광주 서구 상무중앙로 90-0,공연시설
외지인,11,치평동,메가박스광주상무별관,광주 서구 시청로60번길 21-9,공연시설
외지인,12,치평동,광주야외음악당,광주 서구 내방로 111-0,공연시설
외지인,13,치평동,상무조각공원,광주 서구 상무공원로 101-0,도시공원
외지인,14,치평동,에너지파크해담마루,광주 서구 상무공원로 131-0,전시시설
외지인,15,치평동,바운스트램폴린파크광주상무센터,광주 서구 시청로 67-0,테마공원
외지인,16,치평동,광주제2컨벤션센터,광주 서구 상무누리로 55-0,전시시설
외지인,17,치평동,향림사,광주 서구 마륵복개로150번길 22-0,종교성지
외지인,18,치평동,광주서구스포츠클럽,광주 서구 상무누리로 123-0,기타레저스포츠
외지인,19,치평동,스위밍차일드상무점,광주 서구 치평로 60-0,테마공원
외지인,20,치평동,광주공연마루,광주 서구 상무시민로 3-0,공연시설
외지인,21,치평동,다함께야구왕상무점,광주 서구 상무연하로 48-0,기타레저스포츠
외지인,22,치평동,에너지파크,광주 서구 상무시민로 3-0,도시공원
외지인,22,치평동,시찌다,광주 서구 상무화원로 10-0,체험관광기타
외지인,24,치평동,치평탁구클럽,광주 서구 상무평화로 62-0,기타레저스포츠
외지인,24,치평동,시청야외스케이트장,광주 서구 내방로 111-0,육상레저스포츠
외지인,26,치평동,장수어린이공원,광주 서구 상무공원로 142-0,도시공원
외지인,26,치평동,몸이야필라테스상무점,광주 서구 상무중앙로28번길 4-0,기타레저스포츠
전체,1,치평동,김대중컨벤션센터,광주 서구 상무누리로 30-0,전시시설
전체,2,치평동,상무시민공원,광주 서구 상무자유로 59-0,도시공원
전체,3,치평동,세정아울렛,광주 서구 상무대로 773-0,쇼핑몰
전체,4,치평동,광주김치축제,광주 서구 내방로 111-0,기타문화관광지
전체,5,치평동,CGV광주상무,광주 서구 시청로 67-0,공연시설
