축제명,그룹명,개최년도,구분명,지표값
광주김치축제,축제기간,2025,외부방문자 유입,0.749
광주김치축제,축제기간,2025,현지인방문자 유입,0.878
광주김치축제,축제기간,2025,내비게이션 검색량,0.748
광주김치축제,축제기간,2025,관광소비,0.781
광주김치축제,축제기간,2025,축제지 집중률,0.913
광주김치축제,비축제기간,2025,외부방문자 유입,0.646
광주김치축제,비축제기간,2025,현지인방문자 유입,0.809
광주김치축제,비축제기간,2025,내비게이션 검색량,0.501
광주김치축제,비축제기간,2025,관광소비,0.744
광주김치축제,비축제기간,2025,축제지 집중률,0.803
광주김치축제,축제기간,2024,외부방문자 유입,0.818
광주김치축제,축제기간,2024,현지인방문자 유입,0.9
광주김치축제,축제기간,2024,내비게이션 검색량,0.77
광주김치축제,축제기간,2024,관광소비,0.553
광주김치축제,축제기간,2024,축제지 집중률,0.962
광주김치축제,비축제기간,2024,외부방문자 유입,0.645
광주김치축제,비축제기간,2024,현지인방문자 유입,0.82
광주김치축제,비축제기간,2024,내비게이션 검색량,0.617
광주김치축제,비축제기간,2024,관광소비,0.526
광주김치축제,비축제기간,2024,축제지 집중률,0.839
광주김치축제,축제기간,2023,외부방문자 유입,0.655
광주김치축제,축제기간,2023,현지인방문자 유입,0.816
광주김치축제,축제기간,2023,내비게이션 검색량,0.614
광주김치축제,축제기간,2023,관광소비,0.556
광주김치축제,축제기간,2023,축제지 집중률,0.9
광주김치축제,비축제기간,2023,외부방문자 유입,0.626
광주김치축제,비축제기간,2023,현지인방문자 유입,0.777
광주김치축제,비축제기간,2023,내비게이션 검색량,0.518
광주김치축제,비축제기간,2023,관광소비,0.596
광주김치축제,비축제기간,2023,축제지 집중률,0.827
