구분,순위,읍면동명,목적지명,도로명주소,카테고리
외지인,1,중앙동,울산시립미술관,울산 중구 미술관길 72-0,전시시설
외지인,2,중앙동,CGV울산성남,울산 중구 중앙길 145-0,공연시설
외지인,3,중앙동,롯데시네마울산성남,울산 중구 젊음의2거리 33-0,공연시설
외지인,4,중앙동,태화강체육공원,울산 중구 태화강북자전거길 518-0,도시공원
외지인,5,중앙동,태화강마두희축제,울산 중구,기타문화관광지
외지인,6,중앙동,메가박스울산,울산 중구 젊음의거리 73-0,공연시설
외지인,7,중앙동,울산중앙시장,울산 중구 번영로 329-0,시장
외지인,8,중앙동,캐니언파크울산점,울산 중구 만남의거리 15-0,테마공원
외지인,9,중앙동,뉴코아팩토리아울렛울산성남점,울산 중구 시계탑거리 20-0,대형마트
외지인,10,중앙동,울산향교,울산 중구 명륜로 117-0,역사유적지
외지인,11,중앙동,태화강태화나루치맥페스티벌,울산 중구,기타문화관광지
외지인,12,중앙동,울산중구어린이역사과학체험관,울산 중구 새즈믄해거리 37-0,전시시설
외지인,13,중앙동,울산동헌,울산 중구 동헌길 167-0,역사유적지
외지인,14,중앙동,황룡사,울산 중구 옥교로 1-0,종교성지
외지인,15,중앙동,울산중구생활문화센터,울산 중구 중앙길 161-0,기타문화관광지
외지인,16,중앙동,타요키즈카페울산젊음의거리점,울산 중구 젊음의2거리 33-0,테마공원
외지인,17,중앙동,어메이징파크울산점,울산 중구 강북로 123-0,테마공원
외지인,17,중앙동,큐빅광장,울산 중구 학성로 65-0,기타문화관광지
외지인,19,중앙동,해남사,울산 중구 기상대길 13-0,종교성지
외지인,19,중앙동,신중앙시장,울산 중구 구교로 35-0,시장
외지인,21,중앙동,리버플레이스,울산 중구 젊음의2거리 33-0,쇼핑몰
외지인,22,중앙동,롤러코스터롤러장,울산 중구 번영로 329-0,육상레저스포츠
외지인,23,중앙동,롤자실내롤러스케이트장,울산 중구 중앙3길 6-0,육상레저스포츠
외지인,23,중앙동,울산큰애기야시장,울산 중구 젊음의거리 99-0,시장
외지인,25,중앙동,중구평생학습관,울산 중구 중앙길 136-0,체험관광기타
전체,1,중앙동,울산시립미술관,울산 중구 미술관길 72-0,전시시설
전체,2,중앙동,CGV울산성남,울산 중구 중앙길 145-0,공연시설
전체,3,중앙동,롯데시네마울산성남,울산 중구 젊음의2거리 33-0,공연시설
전체,4,중앙동,태화강체육공원,울산 중구 태화강북자전거길 518-0,도시공원
전체,5,중앙동,태화강마두희축제,울산 중구,기타문화관광지
전체,6,중앙동,메가박스울산,울산 중구 젊음의거리 73-0,공연시설
전체,7,중앙동,울산중앙시장,울산 중구 번영로 329-0,시장
전체,8,중앙동,뉴코아팩토리아울렛울산성남점,울산 중구 시계탑거리 20-0,대형마트
전체,9,중앙동,캐니언파크울산점,울산 중구 만남의거리 15-0,테마공원
전체,10,중앙동,울산향교,울산 중구 명륜로 117-0,역사유적지
전체,11,중앙동,태화강태화나루치맥페스티벌,울산 중구,기타문화관광지
전체,12,중앙동,울산중구어린이역사과학체험관,울산 중구 새즈믄해거리 37-0,전시시설
전체,13,중앙동,울산동헌,울산 중구 동헌길 167-0,역사유적지
전체,14,중앙동,황룡사,울산 중구 옥교로 1-0,종교성지
전체,15,중앙동,울산중구생활문화센터,울산 중구 중앙길 161-0,기타문화관광지
전체,16,중앙동,타요키즈카페울산젊음의거리점,울산 중구 젊음의2거리 33-0,테마공원
전체,17,중앙동,해남사,울산 중구 기상대길 13-0,종교성지
전체,18,중앙동,어메이징파크울산점,울산 중구 강북로 123-0,테마공원
전체,18,중앙동,큐빅광장,울산 중구 학성로 65-0,기타문화관광지
전체,20,중앙동,신중앙시장,울산 중구 구교로 35-0,시장
전체,20,중앙동,리버플레이스,울산 중구 젊음의2거리 33-0,쇼핑몰
전체,22,중앙동,롤러코스터롤러장,울산 중구 번영로 329-0,육상레저스포츠
전체,22,중앙동,롤자실내롤러스케이트장,울산 중구 중앙3길 6-0,육상레저스포츠
전체,24,중앙동,울산큰애기야시장,울산 중구 젊음의거리 99-0,시장
전체,24,중앙동,중구평생학습관,울산 중구 중앙길 136-0,체험관광기타
현지인,1,중앙동,울산시립미술관,울산 중구 미술관길 72-0,전시시설
현지인,2,중앙동,롯데시네마울산성남,울산 중구 젊음의2거리 33-0,공연시설
현지인,3,중앙동,CGV울산성남,울산 중구 중앙길 145-0,공연시설
현지인,4,중앙동,태화강체육공원,울산 중구 태화강북자전거길 518-0,도시공원
현지인,5,중앙동,태화강마두희축제,울산 중구,기타문화관광지
현지인,6,중앙동,메가박스울산,울산 중구 젊음의거리 73-0,공연시설
현지인,6,중앙동,울산중앙시장,울산 중구 번영로 329-0,시장
현지인,8,중앙동,뉴코아팩토리아울렛울산성남점,울산 중구 시계탑거리 20-0,대형마트
현지인,9,중앙동,울산향교,울산 중구 명륜로 117-0,역사유적지
현지인,10,중앙동,황룡사,울산 중구 옥교로 1-0,종교성지
현지인,11,중앙동,캐니언파크울산점,울산 중구 만남의거리 15-0,테마공원
현지인,12,중앙동,태화강태화나루치맥페스티벌,울산 중구,기타문화관광지
현지인,12,중앙동,울산중구어린이역사과학체험관,울산 중구 새즈믄해거리 37-0,전시시설
현지인,14,중앙동,울산동헌,울산 중구 동헌길 167-0,역사유적지
현지인,15,중앙동,울산중구생활문화센터,울산 중구 중앙길 161-0,기타문화관광지
현지인,16,중앙동,해남사,울산 중구 기상대길 13-0,종교성지
현지인,17,중앙동,리버플레이스,울산 중구 젊음의2거리 33-0,쇼핑몰
현지인,18,중앙동,타요키즈카페울산젊음의거리점,울산 중구 젊음의2거리 33-0,테마공원
현지인,18,중앙동,어메이징파크울산점,울산 중구 강북로 123-0,테마공원
현지인,18,중앙동,큐빅광장,울산 중구 학성로 65-0,기타문화관광지
현지인,18,중앙동,롤자실내롤러스케이트장,울산 중구 중앙3길 6-0,육상레저스포츠
현지인,22,중앙동,중구평생학습관,울산 중구 중앙길 136-0,체험관광기타
현지인,22,중앙동,신중앙시장,울산 중구 구교로 35-0,시장
현지인,24,중앙동,롤러코스터롤러장,울산 중구 번영로 329-0,육상레저스포츠
현지인,24,중앙동,울산큰애기야시장,울산 중구 젊음의거리 99-0,시장
