축제명,그룹명,개최년도,구분명,지표값
태화강마두희축제,축제기간,2025,외부방문자 유입,0.628
태화강마두희축제,축제기간,2025,현지인방문자 유입,0.966
태화강마두희축제,축제기간,2025,내비게이션 검색량,0.539
태화강마두희축제,축제기간,2025,관광소비,0.573
태화강마두희축제,축제기간,2025,축제지 집중률,0.747
태화강마두희축제,비축제기간,2025,외부방문자 유입,0.52
태화강마두희축제,비축제기간,2025,현지인방문자 유입,0.857
태화강마두희축제,비축제기간,2025,내비게이션 검색량,0.417
태화강마두희축제,비축제기간,2025,관광소비,0.608
태화강마두희축제,비축제기간,2025,축제지 집중률,0.614
태화강마두희축제,축제기간,2024,외부방문자 유입,0.699
태화강마두희축제,축제기간,2024,현지인방문자 유입,0.882
태화강마두희축제,축제기간,2024,내비게이션 검색량,0.755
태화강마두희축제,축제기간,2024,관광소비,0.756
태화강마두희축제,축제기간,2024,축제지 집중률,0.759
태화강마두희축제,비축제기간,2024,외부방문자 유입,0.525
태화강마두희축제,비축제기간,2024,현지인방문자 유입,0.746
태화강마두희축제,비축제기간,2024,내비게이션 검색량,0.543
태화강마두희축제,비축제기간,2024,관광소비,0.636
태화강마두희축제,비축제기간,2024,축제지 집중률,0.591
