구분,순위,읍면동명,목적지명,도로명주소,카테고리
외지인,1,중앙동,통영중앙전통시장,경남 통영시 중앙시장1길 14-16,시장
외지인,2,중앙동,동피랑벽화마을,경남 통영시 동피랑1길 6-18,기타관광
외지인,3,중앙동,통영한산대첩축제(한산대첩광장),경남 통영시 통영해안로 267-0,기타문화관광지
외지인,4,중앙동,세병관,경남 통영시 세병로 27-0,역사유적지
외지인,5,중앙동,통영삼도수군통제영,경남 통영시 세병로 27-0,역사유적지
외지인,6,중앙동,통영중앙활어시장,경남 통영시 중앙시장4길 5-4,시장
외지인,7,중앙동,통영한산대첩축제(통영한산대첩광장),경남 통영시 통영해안로 267-0,기타문화관광지
외지인,8,중앙동,중앙활어시장,경남 통영시 중앙시장4길 5-4,시장
외지인,9,중앙동,조선군선,경남 통영시,기타관광
외지인,10,중앙동,삼도수군통제영역사관,경남 통영시 세병로 12-0,전시시설
외지인,11,중앙동,강구안,경남 통영시,자연경관(하천/해양)
외지인,12,중앙동,통영항화물선부두,경남 통영시 통영해안로 256-0,자연경관(하천/해양)
외지인,13,중앙동,김상옥생가,경남 통영시 항남1번가길 13-0,역사유적지
외지인,14,중앙동,북포루,경남 통영시,역사유적지
외지인,14,중앙동,김용식김용익기념관,경남 통영시 주전3길 18-0,전시시설
외지인,14,중앙동,서포루,경남 통영시,역사유적지
외지인,14,중앙동,통영관광안내소,경남 통영시 통영해안로 267-0,기타관광
전체,1,중앙동,통영중앙전통시장,경남 통영시 중앙시장1길 14-16,시장
전체,2,중앙동,동피랑벽화마을,경남 통영시 동피랑1길 6-18,기타관광
전체,3,중앙동,통영한산대첩축제(한산대첩광장),경남 통영시 통영해안로 267-0,기타문화관광지
전체,4,중앙동,세병관,경남 통영시 세병로 27-0,역사유적지
전체,5,중앙동,통영삼도수군통제영,경남 통영시 세병로 27-0,역사유적지
전체,6,중앙동,통영중앙활어시장,경남 통영시 중앙시장4길 5-4,시장
전체,7,중앙동,통영한산대첩축제(통영한산대첩광장),경남 통영시 통영해안로 267-0,기타문화관광지
전체,8,중앙동,중앙활어시장,경남 통영시 중앙시장4길 5-4,시장
전체,9,중앙동,조선군선,경남 통영시,기타관광
전체,10,중앙동,삼도수군통제영역사관,경남 통영시 세병로 12-0,전시시설
전체,11,중앙동,강구안,경남 통영시,자연경관(하천/해양)
전체,12,중앙동,통영항화물선부두,경남 통영시 통영해안로 256-0,자연경관(하천/해양)
전체,13,중앙동,김상옥생가,경남 통영시 항남1번가길 13-0,역사유적지
전체,14,중앙동,김용식김용익기념관,경남 통영시 주전3길 18-0,전시시설
전체,15,중앙동,서포루,경남 통영시,역사유적지
전체,15,중앙동,통영관광안내소,경남 통영시 통영해안로 267-0,기타관광
전체,15,중앙동,북포루,경남 통영시,역사유적지
현지인,1,중앙동,통영중앙전통시장,경남 통영시 중앙시장1길 14-16,시장
현지인,2,중앙동,동피랑벽화마을,경남 통영시 동피랑1길 6-18,기타관광
현지인,3,중앙동,세병관,경남 통영시 세병로 27-0,역사유적지
현지인,4,중앙동,통영한산대첩축제(한산대첩광장),경남 통영시 통영해안로 267-0,기타문화관광지
현지인,5,중앙동,통영중앙활어시장,경남 통영시 중앙시장4길 5-4,시장
현지인,6,중앙동,통영삼도수군통제영,경남 통영시 세병로 27-0,역사유적지
현지인,7,중앙동,조선군선,경남 통영시,기타관광
현지인,8,중앙동,통영한산대첩축제(통영한산대첩광장),경남 통영시 통영해안로 267-0,기타문화관광지
현지인,9,중앙동,중앙활어시장,경남 통영시 중앙시장4길 5-4,시장
현지인,10,중앙동,김상옥생가,경남 통영시 항남1번가길 13-0,역사유적지
현지인,11,중앙동,통영항화물선부두,경남 통영시 통영해안로 256-0,자연경관(하천/해양)
현지인,12,중앙동,삼도수군통제영역사관,경남 통영시 세병로 12-0,전시시설
현지인,12,중앙동,강구안,경남 통영시,자연경관(하천/해양)
현지인,14,중앙동,김용식김용익기념관,경남 통영시 주전3길 18-0,전시시설
현지인,15,중앙동,북포루,경남 통영시,역사유적지
현지인,15,중앙동,서포루,경남 통영시,역사유적지
현지인,15,중앙동,통영관광안내소,경남 통영시 통영해안로 267-0,기타관광
