축제명,그룹명,개최년도,구분명,지표값
통영한산대첩축제,축제기간,2025,외부방문자 유입,0.309
통영한산대첩축제,축제기간,2025,현지인방문자 유입,0.731
통영한산대첩축제,축제기간,2025,내비게이션 검색량,0.228
통영한산대첩축제,축제기간,2025,관광소비,0.313
통영한산대첩축제,축제기간,2025,축제지 집중률,0.766
통영한산대첩축제,비축제기간,2025,외부방문자 유입,0.244
통영한산대첩축제,비축제기간,2025,현지인방문자 유입,0.586
통영한산대첩축제,비축제기간,2025,내비게이션 검색량,0.206
통영한산대첩축제,비축제기간,2025,관광소비,0.312
통영한산대첩축제,비축제기간,2025,축제지 집중률,0.595
통영한산대첩축제,축제기간,2024,외부방문자 유입,0.379
통영한산대첩축제,축제기간,2024,현지인방문자 유입,0.592
통영한산대첩축제,축제기간,2024,내비게이션 검색량,0.462
통영한산대첩축제,축제기간,2024,관광소비,0.486
통영한산대첩축제,축제기간,2024,축제지 집중률,0.588
통영한산대첩축제,비축제기간,2024,외부방문자 유입,0.253
통영한산대첩축제,비축제기간,2024,현지인방문자 유입,0.429
통영한산대첩축제,비축제기간,2024,내비게이션 검색량,0.349
통영한산대첩축제,비축제기간,2024,관광소비,0.434
통영한산대첩축제,비축제기간,2024,축제지 집중률,0.439
통영한산대첩축제,축제기간,2023,외부방문자 유입,0.312
통영한산대첩축제,축제기간,2023,현지인방문자 유입,0.69
통영한산대첩축제,축제기간,2023,내비게이션 검색량,0.338
통영한산대첩축제,축제기간,2023,관광소비,0.393
통영한산대첩축제,축제기간,2023,축제지 집중률,0.739
통영한산대첩축제,비축제기간,2023,외부방문자 유입,0.224
통영한산대첩축제,비축제기간,2023,현지인방문자 유입,0.677
통영한산대첩축제,비축제기간,2023,내비게이션 검색량,0.224
통영한산대첩축제,비축제기간,2023,관광소비,0.306
통영한산대첩축제,비축제기간,2023,축제지 집중률,0.587
