구분,순위,읍면동명,목적지명,도로명주소,카테고리
외지인,1,진부면,평창송어축제,강원 평창군 경강로 3562-0,기타문화관광지
외지인,2,진부면,월정사,강원 평창군 오대산로 374-8,종교성지
외지인,3,진부면,진부역,강원 평창군 송정길 120-0,교통시설
외지인,4,진부면,상원사,강원 평창군 오대산로 1211-14,종교성지
외지인,5,진부면,월정사전나무숲,강원 평창군,기타관광
외지인,6,진부면,진부시외버스터미널,강원 평창군 청송로 110-0,교통시설
외지인,7,진부면,진부전통시장,강원 평창군,시장
외지인,8,진부면,두타산자연휴양림,강원 평창군 아차골길 132-0,자연공원
외지인,9,진부면,밀브릿지,강원 평창군 방아다리로 1011-26,자연공원
외지인,10,진부면,국립조선왕조실록박물관휴관(2025년05월 개관예정),강원 평창군 오대산로 176-0,전시시설
외지인,11,진부면,오대산자연명상마을,강원 평창군 오대산3길 2-0,기타관광
외지인,12,진부면,오대산국립공원상원사탐방지원센터,강원 평창군 오대산로 350-1,기타관광
외지인,13,진부면,오대산,강원 평창군,자연경관(산)
외지인,14,진부면,오대산선재길,강원 평창군 오대산로 713-77,기타레저스포츠
외지인,15,진부면,진부면민체육공원,강원 평창군,도시공원
외지인,16,진부면,오대산전나무숲길,강원 평창군 오대산로 374-8,도시/지역문화관광
외지인,17,진부면,방아다리약수터,강원 평창군,자연경관(산)
외지인,18,진부면,월정사성보박물관,강원 평창군 오대산로 176-0,전시시설
외지인,19,진부면,평창송어종합공연체험장,강원 평창군 경강로 3554-0,공연시설
외지인,20,진부면,월정사적멸보궁,강원 평창군 오대산로 1211-92,역사유적지
외지인,21,진부면,진부관광농원,강원 평창군 아차골길 32-44,농/산/어촌체험
외지인,22,진부면,발심사,강원 평창군 장전길 590-0,종교성지
외지인,23,진부면,중대사자암,강원 평창군,종교성지
외지인,24,진부면,남대지장암,강원 평창군 오대산로 413-28,종교성지
외지인,25,진부면,막동계곡,강원 평창군,자연경관(산)
외지인,26,진부면,상원사중대암,강원 평창군 오대산로 1211-80,종교성지
외지인,27,진부면,장전계곡,강원 평창군 장전길 435-2,자연경관(산)
전체,1,진부면,평창송어축제,강원 평창군 경강로 3562-0,기타문화관광지
전체,2,진부면,월정사,강원 평창군 오대산로 374-8,종교성지
전체,3,진부면,진부역,강원 평창군 송정길 120-0,교통시설
전체,4,진부면,상원사,강원 평창군 오대산로 1211-14,종교성지
전체,5,진부면,월정사전나무숲,강원 평창군,기타관광
전체,6,진부면,진부시외버스터미널,강원 평창군 청송로 110-0,교통시설
전체,7,진부면,진부전통시장,강원 평창군,시장
전체,8,진부면,두타산자연휴양림,강원 평창군 아차골길 132-0,자연공원
전체,9,진부면,밀브릿지,강원 평창군 방아다리로 1011-26,자연공원
전체,10,진부면,국립조선왕조실록박물관휴관(2025년05월 개관예정),강원 평창군 오대산로 176-0,전시시설
전체,11,진부면,오대산자연명상마을,강원 평창군 오대산3길 2-0,기타관광
전체,12,진부면,오대산국립공원상원사탐방지원센터,강원 평창군 오대산로 350-1,기타관광
전체,13,진부면,오대산,강원 평창군,자연경관(산)
전체,14,진부면,오대산선재길,강원 평창군 오대산로 713-77,기타레저스포츠
전체,15,진부면,진부면민체육공원,강원 평창군,도시공원
전체,16,진부면,오대산전나무숲길,강원 평창군 오대산로 374-8,도시/지역문화관광
전체,17,진부면,방아다리약수터,강원 평창군,자연경관(산)
전체,18,진부면,월정사성보박물관,강원 평창군 오대산로 176-0,전시시설
전체,19,진부면,평창송어종합공연체험장,강원 평창군 경강로 3554-0,공연시설
전체,20,진부면,월정사적멸보궁,강원 평창군 오대산로 1211-92,역사유적지
전체,21,진부면,진부관광농원,강원 평창군 아차골길 32-44,농/산/어촌체험
전체,22,진부면,발심사,강원 평창군 장전길 590-0,종교성지
전체,23,진부면,중대사자암,강원 평창군,종교성지
전체,24,진부면,남대지장암,강원 평창군 오대산로 413-28,종교성지
전체,25,진부면,상원사중대암,강원 평창군 오대산로 1211-80,종교성지
전체,26,진부면,막동계곡,강원 평창군,자연경관(산)
전체,27,진부면,장전계곡,강원 평창군 장전길 435-2,자연경관(산)
현지인,1,진부면,평창송어축제,강원 평창군 경강로 3562-0,기타문화관광지
현지인,2,진부면,진부역,강원 평창군 송정길 120-0,교통시설
현지인,3,진부면,월정사,강원 평창군 오대산로 374-8,종교성지
현지인,4,진부면,상원사,강원 평창군 오대산로 1211-14,종교성지
현지인,5,진부면,진부시외버스터미널,강원 평창군 청송로 110-0,교통시설
현지인,6,진부면,월정사전나무숲,강원 평창군,기타관광
현지인,7,진부면,진부전통시장,강원 평창군,시장
현지인,8,진부면,두타산자연휴양림,강원 평창군 아차골길 132-0,자연공원
현지인,9,진부면,오대산자연명상마을,강원 평창군 오대산3길 2-0,기타관광
현지인,10,진부면,밀브릿지,강원 평창군 방아다리로 1011-26,자연공원
현지인,11,진부면,국립조선왕조실록박물관휴관(2025년05월 개관예정),강원 평창군 오대산로 176-0,전시시설
현지인,11,진부면,오대산국립공원상원사탐방지원센터,강원 평창군 오대산로 350-1,기타관광
현지인,13,진부면,오대산,강원 평창군,자연경관(산)
현지인,14,진부면,오대산선재길,강원 평창군 오대산로 713-77,기타레저스포츠
현지인,15,진부면,진부면민체육공원,강원 평창군,도시공원
현지인,15,진부면,평창송어종합공연체험장,강원 평창군 경강로 3554-0,공연시설
현지인,17,진부면,오대산전나무숲길,강원 평창군 오대산로 374-8,도시/지역문화관광
현지인,18,진부면,방아다리약수터,강원 평창군,자연경관(산)
현지인,19,진부면,월정사성보박물관,강원 평창군 오대산로 176-0,전시시설
현지인,20,진부면,월정사적멸보궁,강원 평창군 오대산로 1211-92,역사유적지
현지인,21,진부면,진부관광농원,강원 평창군 아차골길 32-44,농/산/어촌체험
현지인,21,진부면,발심사,강원 평창군 장전길 590-0,종교성지
현지인,21,진부면,중대사자암,강원 평창군,종교성지
현지인,24,진부면,상원사중대암,강원 평창군 오대산로 1211-80,종교성지
