구분,순위,읍면동명,목적지명,도로명주소,카테고리
외지인,1,봉평면,평창효석문화제,강원 평창군 기풍3길 6-0,기타문화관광지
외지인,2,봉평면,휘닉스평창,강원 평창군 태기로 174-0,복합관광시설
외지인,3,봉평면,봉평전통시장,강원 평창군,시장
외지인,4,봉평면,이효석문학관,강원 평창군 효석문학길 73-25,전시시설
외지인,5,봉평면,허브나라농원,강원 평창군 흥정계곡길 225-0,농/산/어촌체험
외지인,6,봉평면,휘닉스CC,강원 평창군 태기로 174-0,육상레저스포츠
외지인,7,봉평면,이효석생가,강원 평창군 이효석길 33-11,역사유적지
외지인,8,봉평면,휘닉스평창블루캐니언,강원 평창군 태기로 174-0,테마공원
외지인,9,봉평면,흥정계곡,강원 평창군 흥정계곡길 0-0,자연경관(산)
외지인,10,봉평면,태기산CC,강원 평창군 태기로 174-0,육상레저스포츠
외지인,11,봉평면,평창군 봉평면 이효석문화마을,강원 평창군 효석문학길 73-25,역사유적지
외지인,12,봉평면,효석달빛언덕,강원 평창군,기타문화관광지
외지인,13,봉평면,평창자연휴양림,강원 평창군 팔송로 285-0,자연공원
외지인,14,봉평면,휘닉스평창루지랜드,강원 평창군 태기로 174-0,기타레저스포츠
외지인,15,봉평면,휘닉스평창스노우파크,강원 평창군 태기로 174-0,육상레저스포츠
외지인,16,봉평면,평창무이예술관,강원 평창군 사리평길 233-0,전시시설
외지인,17,봉평면,휘닉스평창곤돌라,강원 평창군 태기로 174-0,기타관광
외지인,18,봉평면,아트인아일랜드,강원 평창군 봉평북로 193-28,복합관광시설
외지인,19,봉평면,이효석문학의숲,강원 평창군 문학숲길 97-0,기타관광
외지인,19,봉평면,효석문화마을메밀음식거리,강원 평창군,테마공원
외지인,21,봉평면,봉평생활체육공원,강원 평창군 애강나무길 50-0,도시공원
외지인,22,봉평면,태기산전망대,강원 횡성군,기타관광
외지인,23,봉평면,가산공원,강원 평창군 기풍3길 6-0,도시공원
외지인,24,봉평면,평창군종합관광안내소,강원 평창군 이효석길 157-0,기타관광
외지인,25,봉평면,태기산,강원 횡성군,자연경관(산)
외지인,26,봉평면,봉평파크골프장,강원 평창군,육상레저스포츠
외지인,27,봉평면,휘닉스파크상상놀이터,강원 평창군 태기로 140-0,테마공원
외지인,28,봉평면,양구두미재,강원 평창군,자연경관(산)
외지인,28,봉평면,이효석생가코스물레방앗간,강원 평창군 이효석길 157-0,기타관광
외지인,30,봉평면,이효석문화예술촌,강원 평창군,기타문화관광지
외지인,31,봉평면,콧등작은미술관,강원 평창군 덕거길 7-1,전시시설
외지인,32,봉평면,팔석정,강원 평창군,기타관광
외지인,32,봉평면,이효석문학선양회,강원 평창군 효석문학길 73-25,전시시설
외지인,34,봉평면,조이몬스터S&S,강원 평창군 태기로 441-0,육상레저스포츠
외지인,35,봉평면,봉산서재,강원 평창군 봉산서재길 17-0,기타관광
외지인,35,봉평면,해피700길태기산코스,강원 평창군,기타레저스포츠
외지인,35,봉평면,평창허브나라가을축제,강원 평창군 흥정계곡길 225-0,기타문화관광지
전체,1,봉평면,평창효석문화제,강원 평창군 기풍3길 6-0,기타문화관광지
전체,2,봉평면,휘닉스평창,강원 평창군 태기로 174-0,복합관광시설
전체,3,봉평면,봉평전통시장,강원 평창군,시장
전체,4,봉평면,이효석문학관,강원 평창군 효석문학길 73-25,전시시설
전체,5,봉평면,허브나라농원,강원 평창군 흥정계곡길 225-0,농/산/어촌체험
전체,6,봉평면,휘닉스CC,강원 평창군 태기로 174-0,육상레저스포츠
전체,7,봉평면,이효석생가,강원 평창군 이효석길 33-11,역사유적지
전체,8,봉평면,휘닉스평창블루캐니언,강원 평창군 태기로 174-0,테마공원
전체,9,봉평면,흥정계곡,강원 평창군 흥정계곡길 0-0,자연경관(산)
전체,10,봉평면,태기산CC,강원 평창군 태기로 174-0,육상레저스포츠
전체,11,봉평면,효석달빛언덕,강원 평창군,기타문화관광지
전체,12,봉평면,평창군 봉평면 이효석문화마을,강원 평창군 효석문학길 73-25,역사유적지
전체,13,봉평면,평창자연휴양림,강원 평창군 팔송로 285-0,자연공원
전체,14,봉평면,휘닉스평창루지랜드,강원 평창군 태기로 174-0,기타레저스포츠
전체,15,봉평면,평창무이예술관,강원 평창군 사리평길 233-0,전시시설
전체,16,봉평면,휘닉스평창스노우파크,강원 평창군 태기로 174-0,육상레저스포츠
전체,17,봉평면,아트인아일랜드,강원 평창군 봉평북로 193-28,복합관광시설
전체,18,봉평면,휘닉스평창곤돌라,강원 평창군 태기로 174-0,기타관광
전체,19,봉평면,봉평생활체육공원,강원 평창군 애강나무길 50-0,도시공원
전체,20,봉평면,이효석문학의숲,강원 평창군 문학숲길 97-0,기타관광
전체,21,봉평면,효석문화마을메밀음식거리,강원 평창군,테마공원
전체,22,봉평면,태기산전망대,강원 횡성군,기타관광
전체,23,봉평면,가산공원,강원 평창군 기풍3길 6-0,도시공원
전체,24,봉평면,평창군종합관광안내소,강원 평창군 이효석길 157-0,기타관광
전체,25,봉평면,태기산,강원 횡성군,자연경관(산)
전체,25,봉평면,봉평파크골프장,강원 평창군,육상레저스포츠
전체,27,봉평면,휘닉스파크상상놀이터,강원 평창군 태기로 140-0,테마공원
전체,28,봉평면,양구두미재,강원 평창군,자연경관(산)
전체,29,봉평면,이효석생가코스물레방앗간,강원 평창군 이효석길 157-0,기타관광
전체,30,봉평면,이효석문화예술촌,강원 평창군,기타문화관광지
전체,31,봉평면,콧등작은미술관,강원 평창군 덕거길 7-1,전시시설
전체,32,봉평면,팔석정,강원 평창군,기타관광
전체,33,봉평면,이효석문학선양회,강원 평창군 효석문학길 73-25,전시시설
전체,34,봉평면,조이몬스터S&S,강원 평창군 태기로 441-0,육상레저스포츠
전체,35,봉평면,봉산서재,강원 평창군 봉산서재길 17-0,기타관광
전체,35,봉평면,해피700길태기산코스,강원 평창군,기타레저스포츠
전체,35,봉평면,평창허브나라가을축제,강원 평창군 흥정계곡길 225-0,기타문화관광지
현지인,1,봉평면,평창효석문화제,강원 평창군 기풍3길 6-0,기타문화관광지
현지인,2,봉평면,휘닉스평창,강원 평창군 태기로 174-0,복합관광시설
현지인,3,봉평면,봉평전통시장,강원 평창군,시장
현지인,4,봉평면,이효석문학관,강원 평창군 효석문학길 73-25,전시시설
현지인,5,봉평면,허브나라농원,강원 평창군 흥정계곡길 225-0,농/산/어촌체험
현지인,6,봉평면,휘닉스CC,강원 평창군 태기로 174-0,육상레저스포츠
현지인,7,봉평면,이효석생가,강원 평창군 이효석길 33-11,역사유적지
현지인,8,봉평면,흥정계곡,강원 평창군 흥정계곡길 0-0,자연경관(산)
현지인,9,봉평면,휘닉스평창블루캐니언,강원 평창군 태기로 174-0,테마공원
현지인,10,봉평면,태기산CC,강원 평창군 태기로 174-0,육상레저스포츠
현지인,11,봉평면,평창무이예술관,강원 평창군 사리평길 233-0,전시시설
현지인,12,봉평면,평창자연휴양림,강원 평창군 팔송로 285-0,자연공원
현지인,13,봉평면,효석달빛언덕,강원 평창군,기타문화관광지
현지인,14,봉평면,아트인아일랜드,강원 평창군 봉평북로 193-28,복합관광시설
현지인,15,봉평면,봉평생활체육공원,강원 평창군 애강나무길 50-0,도시공원
현지인,16,봉평면,휘닉스평창루지랜드,강원 평창군 태기로 174-0,기타레저스포츠
현지인,17,봉평면,평창군 봉평면 이효석문화마을,강원 평창군 효석문학길 73-25,역사유적지
현지인,17,봉평면,휘닉스평창곤돌라,강원 평창군 태기로 174-0,기타관광
현지인,19,봉평면,휘닉스평창스노우파크,강원 평창군 태기로 174-0,육상레저스포츠
현지인,20,봉평면,이효석문학의숲,강원 평창군 문학숲길 97-0,기타관광
현지인,21,봉평면,효석문화마을메밀음식거리,강원 평창군,테마공원
현지인,22,봉평면,가산공원,강원 평창군 기풍3길 6-0,도시공원
현지인,23,봉평면,평창군종합관광안내소,강원 평창군 이효석길 157-0,기타관광
현지인,23,봉평면,봉평파크골프장,강원 평창군,육상레저스포츠
현지인,25,봉평면,태기산전망대,강원 횡성군,기타관광
현지인,26,봉평면,태기산,강원 횡성군,자연경관(산)
현지인,27,봉평면,휘닉스파크상상놀이터,강원 평창군 태기로 140-0,테마공원
현지인,28,봉평면,양구두미재,강원 평창군,자연경관(산)
현지인,28,봉평면,이효석문화예술촌,강원 평창군,기타문화관광지
현지인,30,봉평면,이효석생가코스물레방앗간,강원 평창군 이효석길 157-0,기타관광
현지인,31,봉평면,콧등작은미술관,강원 평창군 덕거길 7-1,전시시설
현지인,32,봉평면,팔석정,강원 평창군,기타관광
현지인,32,봉평면,조이몬스터S&S,강원 평창군 태기로 441-0,육상레저스포츠
현지인,34,봉평면,이효석문학선양회,강원 평창군 효석문학길 73-25,전시시설
현지인,35,봉평면,봉산서재,강원 평창군 봉산서재길 17-0,기타관광
현지인,35,봉평면,해피700길태기산코스,강원 평창군,기타레저스포츠
현지인,35,봉평면,평창허브나라가을축제,강원 평창군 흥정계곡길 225-0,기타문화관광지
