축제명,그룹명,개최년도,구분명,지표값
평창효석문화제,축제기간,2025,외부방문자 유입,0.474
평창효석문화제,축제기간,2025,현지인방문자 유입,0.917
평창효석문화제,축제기간,2025,내비게이션 검색량,0.304
평창효석문화제,축제기간,2025,관광소비,0.303
평창효석문화제,축제기간,2025,축제지 집중률,0.814
평창효석문화제,비축제기간,2025,외부방문자 유입,0.485
평창효석문화제,비축제기간,2025,현지인방문자 유입,0.761
평창효석문화제,비축제기간,2025,내비게이션 검색량,0.36
평창효석문화제,비축제기간,2025,관광소비,0.477
평창효석문화제,비축제기간,2025,축제지 집중률,0.612
평창효석문화제,축제기간,2024,외부방문자 유입,0.456
평창효석문화제,축제기간,2024,현지인방문자 유입,0.87
평창효석문화제,축제기간,2024,내비게이션 검색량,0.419
평창효석문화제,축제기간,2024,관광소비,0.41
평창효석문화제,축제기간,2024,축제지 집중률,0.821
평창효석문화제,비축제기간,2024,외부방문자 유입,0.401
평창효석문화제,비축제기간,2024,현지인방문자 유입,0.732
평창효석문화제,비축제기간,2024,내비게이션 검색량,0.376
평창효석문화제,비축제기간,2024,관광소비,0.48
평창효석문화제,비축제기간,2024,축제지 집중률,0.641
평창효석문화제,축제기간,2023,외부방문자 유입,0.486
평창효석문화제,축제기간,2023,현지인방문자 유입,0.891
평창효석문화제,축제기간,2023,내비게이션 검색량,0.434
평창효석문화제,축제기간,2023,관광소비,0.325
평창효석문화제,축제기간,2023,축제지 집중률,0.881
평창효석문화제,비축제기간,2023,외부방문자 유입,0.447
평창효석문화제,비축제기간,2023,현지인방문자 유입,0.729
평창효석문화제,비축제기간,2023,내비게이션 검색량,0.446
평창효석문화제,비축제기간,2023,관광소비,0.459
평창효석문화제,비축제기간,2023,축제지 집중률,0.645
