구분,순위,읍면동명,목적지명,도로명주소,카테고리
외지인,1,두호동,영일대해수욕장,경북 포항시 북구,자연경관(하천/해양)
외지인,2,해도동,포항고속버스터미널,경북 포항시 남구 중앙로 166-0,교통시설
외지인,3,해도동,강변체육공원,경북 포항시 남구,도시공원
외지인,4,해도동,포항국제불빛축제,경북 포항시 남구,기타문화관광지
외지인,5,두호동,영일대전망대,경북 포항시 북구,랜드마크관광
외지인,6,해도동,대해불빛시장,경북 포항시 남구 중앙로67번길 7-0,시장
외지인,7,두호동,영일대장미원,경북 포항시 북구,도시공원
외지인,8,두호동,두호항,경북 포항시 북구,자연경관(하천/해양)
외지인,9,해도동,포항큰동해시장,경북 포항시 남구 중앙로134번길 29-8,시장
외지인,10,해도동,형산파크골프장,경북 포항시 남구,육상레저스포츠
외지인,11,해도동,동해종합시장,경북 포항시 남구 중앙로134번길 27-0,시장
외지인,12,두호동,박선장요트투어,경북 포항시 북구 해안로 247-1,수상레저스포츠
외지인,13,두호동,두호4어린이공원,경북 포항시 북구 삼흥로74번길 0-0,도시공원
외지인,14,두호동,해양스포츠아카데미,경북 포항시 북구 해안로 173-0,기타레저스포츠
외지인,15,두호동,레이저아레나포항점,경북 포항시 북구 해안로 131-0,육상레저스포츠
외지인,16,두호동,바다장미축제,경북 포항시 북구,기타문화관광지
외지인,16,두호동,해변종합큰상가,경북 포항시 북구 학전로 74-0,시장
외지인,18,두호동,요트데이,경북 포항시 북구 해안로 247-1,수상레저스포츠
외지인,18,해도동,포항문보트,경북 포항시 남구,기타레저스포츠
전체,1,두호동,영일대해수욕장,경북 포항시 북구,자연경관(하천/해양)
전체,2,해도동,포항고속버스터미널,경북 포항시 남구 중앙로 166-0,교통시설
전체,3,해도동,강변체육공원,경북 포항시 남구,도시공원
전체,4,해도동,포항국제불빛축제,경북 포항시 남구,기타문화관광지
전체,5,두호동,영일대전망대,경북 포항시 북구,랜드마크관광
전체,6,해도동,대해불빛시장,경북 포항시 남구 중앙로67번길 7-0,시장
전체,7,두호동,영일대장미원,경북 포항시 북구,도시공원
전체,8,두호동,두호항,경북 포항시 북구,자연경관(하천/해양)
전체,9,해도동,포항큰동해시장,경북 포항시 남구 중앙로134번길 29-8,시장
전체,10,해도동,형산파크골프장,경북 포항시 남구,육상레저스포츠
전체,11,해도동,동해종합시장,경북 포항시 남구 중앙로134번길 27-0,시장
전체,12,두호동,박선장요트투어,경북 포항시 북구 해안로 247-1,수상레저스포츠
전체,13,두호동,레이저아레나포항점,경북 포항시 북구 해안로 131-0,육상레저스포츠
전체,14,두호동,두호4어린이공원,경북 포항시 북구 삼흥로74번길 0-0,도시공원
전체,14,두호동,해양스포츠아카데미,경북 포항시 북구 해안로 173-0,기타레저스포츠
전체,14,두호동,바다장미축제,경북 포항시 북구,기타문화관광지
전체,17,두호동,해변종합큰상가,경북 포항시 북구 학전로 74-0,시장
전체,18,해도동,포항문보트,경북 포항시 남구,기타레저스포츠
전체,18,두호동,요트데이,경북 포항시 북구 해안로 247-1,수상레저스포츠
현지인,1,두호동,영일대해수욕장,경북 포항시 북구,자연경관(하천/해양)
현지인,2,해도동,포항고속버스터미널,경북 포항시 남구 중앙로 166-0,교통시설
현지인,3,해도동,강변체육공원,경북 포항시 남구,도시공원
현지인,4,해도동,포항국제불빛축제,경북 포항시 남구,기타문화관광지
현지인,5,해도동,대해불빛시장,경북 포항시 남구 중앙로67번길 7-0,시장
현지인,6,두호동,영일대전망대,경북 포항시 북구,랜드마크관광
현지인,7,해도동,포항큰동해시장,경북 포항시 남구 중앙로134번길 29-8,시장
현지인,8,두호동,영일대장미원,경북 포항시 북구,도시공원
현지인,8,두호동,두호항,경북 포항시 북구,자연경관(하천/해양)
현지인,10,해도동,형산파크골프장,경북 포항시 남구,육상레저스포츠
현지인,11,해도동,동해종합시장,경북 포항시 남구 중앙로134번길 27-0,시장
현지인,12,두호동,박선장요트투어,경북 포항시 북구 해안로 247-1,수상레저스포츠
현지인,12,두호동,레이저아레나포항점,경북 포항시 북구 해안로 131-0,육상레저스포츠
현지인,12,두호동,바다장미축제,경북 포항시 북구,기타문화관광지
현지인,15,두호동,해양스포츠아카데미,경북 포항시 북구 해안로 173-0,기타레저스포츠
현지인,16,두호동,요트데이,경북 포항시 북구 해안로 247-1,수상레저스포츠
현지인,16,해도동,포항문보트,경북 포항시 남구,기타레저스포츠
현지인,18,두호동,두호4어린이공원,경북 포항시 북구 삼흥로74번길 0-0,도시공원
현지인,18,두호동,해변종합큰상가,경북 포항시 북구 학전로 74-0,시장
