축제명,그룹명,개최년도,구분명,지표값
포항국제불빛축제,축제기간,2025,외부방문자 유입,0.493
포항국제불빛축제,축제기간,2025,현지인방문자 유입,0.784
포항국제불빛축제,축제기간,2025,내비게이션 검색량,0.309
포항국제불빛축제,축제기간,2025,관광소비,0.459
포항국제불빛축제,축제기간,2025,축제지 집중률,0.658
포항국제불빛축제,비축제기간,2025,외부방문자 유입,0.376
포항국제불빛축제,비축제기간,2025,현지인방문자 유입,0.734
포항국제불빛축제,비축제기간,2025,내비게이션 검색량,0.155
포항국제불빛축제,비축제기간,2025,관광소비,0.487
포항국제불빛축제,비축제기간,2025,축제지 집중률,0.479
포항국제불빛축제,축제기간,2024,외부방문자 유입,0.595
포항국제불빛축제,축제기간,2024,현지인방문자 유입,0.82
포항국제불빛축제,축제기간,2024,내비게이션 검색량,0.525
포항국제불빛축제,축제기간,2024,관광소비,0.732
포항국제불빛축제,축제기간,2024,축제지 집중률,0.78
포항국제불빛축제,비축제기간,2024,외부방문자 유입,0.25
포항국제불빛축제,비축제기간,2024,현지인방문자 유입,0.545
포항국제불빛축제,비축제기간,2024,내비게이션 검색량,0.232
포항국제불빛축제,비축제기간,2024,관광소비,0.653
포항국제불빛축제,비축제기간,2024,축제지 집중률,0.4
포항국제불빛축제,축제기간,2023,외부방문자 유입,0.509
포항국제불빛축제,축제기간,2023,현지인방문자 유입,0.703
포항국제불빛축제,축제기간,2023,내비게이션 검색량,0.612
포항국제불빛축제,축제기간,2023,관광소비,0.766
포항국제불빛축제,축제기간,2023,축제지 집중률,0.696
포항국제불빛축제,비축제기간,2023,외부방문자 유입,0.082
포항국제불빛축제,비축제기간,2023,현지인방문자 유입,0.352
포항국제불빛축제,비축제기간,2023,내비게이션 검색량,0.325
포항국제불빛축제,비축제기간,2023,관광소비,0.648
포항국제불빛축제,비축제기간,2023,축제지 집중률,0.163
