축제명,그룹명,개최년도,구분명,지표값
하동야생차문화축제,축제기간,2025,외부방문자 유입,0.48
하동야생차문화축제,축제기간,2025,현지인방문자 유입,0.863
하동야생차문화축제,축제기간,2025,내비게이션 검색량,0.361
하동야생차문화축제,축제기간,2025,관광소비,0.751
하동야생차문화축제,축제기간,2025,축제지 집중률,0.541
하동야생차문화축제,비축제기간,2025,외부방문자 유입,0.253
하동야생차문화축제,비축제기간,2025,현지인방문자 유입,0.57
하동야생차문화축제,비축제기간,2025,내비게이션 검색량,0.182
하동야생차문화축제,비축제기간,2025,관광소비,0.38
하동야생차문화축제,비축제기간,2025,축제지 집중률,0.516
하동야생차문화축제,축제기간,2024,외부방문자 유입,0.19
하동야생차문화축제,축제기간,2024,현지인방문자 유입,0.89
하동야생차문화축제,축제기간,2024,내비게이션 검색량,0.099
하동야생차문화축제,축제기간,2024,관광소비,0.403
하동야생차문화축제,축제기간,2024,축제지 집중률,0.446
하동야생차문화축제,비축제기간,2024,외부방문자 유입,0.132
하동야생차문화축제,비축제기간,2024,현지인방문자 유입,0.594
하동야생차문화축제,비축제기간,2024,내비게이션 검색량,0.073
하동야생차문화축제,비축제기간,2024,관광소비,0.413
하동야생차문화축제,비축제기간,2024,축제지 집중률,0.374
하동야생차문화축제,축제기간,2023,외부방문자 유입,0.444
하동야생차문화축제,축제기간,2023,현지인방문자 유입,0.564
하동야생차문화축제,축제기간,2023,내비게이션 검색량,0.299
하동야생차문화축제,축제기간,2023,관광소비,0.413
하동야생차문화축제,축제기간,2023,축제지 집중률,0.677
하동야생차문화축제,비축제기간,2023,외부방문자 유입,0.232
하동야생차문화축제,비축제기간,2023,현지인방문자 유입,0.454
하동야생차문화축제,비축제기간,2023,내비게이션 검색량,0.255
하동야생차문화축제,비축제기간,2023,관광소비,0.383
하동야생차문화축제,비축제기간,2023,축제지 집중률,0.404
