구분,순위,읍면동명,목적지명,도로명주소,카테고리
외지인,1,한산면,한산모시관,충남 서천군 충절로 1089-0,전시시설
외지인,2,한산면,신성리갈대밭,충남 서천군,기타관광
외지인,3,한산면,한산모시홍보관,충남 서천군 충절로 1089-0,전시시설
외지인,4,한산면,축동지,충남 서천군,자연경관(하천/해양)
외지인,5,한산면,한산읍성,충남 서천군,역사유적지
외지인,6,한산면,봉서사,충남 서천군 건지산길 122-0,종교성지
외지인,6,한산면,한산시장,충남 서천군,시장
전체,1,한산면,한산모시관,충남 서천군 충절로 1089-0,전시시설
전체,2,한산면,신성리갈대밭,충남 서천군,기타관광
전체,3,한산면,한산모시홍보관,충남 서천군 충절로 1089-0,전시시설
전체,4,한산면,축동지,충남 서천군,자연경관(하천/해양)
전체,5,한산면,한산읍성,충남 서천군,역사유적지
전체,6,한산면,봉서사,충남 서천군 건지산길 122-0,종교성지
전체,7,한산면,한산시장,충남 서천군,시장
현지인,1,한산면,한산모시관,충남 서천군 충절로 1089-0,전시시설
현지인,2,한산면,신성리갈대밭,충남 서천군,기타관광
현지인,3,한산면,한산모시홍보관,충남 서천군 충절로 1089-0,전시시설
현지인,4,한산면,축동지,충남 서천군,자연경관(하천/해양)
현지인,5,한산면,봉서사,충남 서천군 건지산길 122-0,종교성지
현지인,6,한산면,한산시장,충남 서천군,시장
현지인,6,한산면,한산읍성,충남 서천군,역사유적지
