축제명,그룹명,개최년도,구분명,지표값
한산모시문화제,축제기간,2025,외부방문자 유입,0.76
한산모시문화제,축제기간,2025,현지인방문자 유입,0.924
한산모시문화제,축제기간,2025,내비게이션 검색량,0.4
한산모시문화제,축제기간,2025,관광소비,0.321
한산모시문화제,축제기간,2025,축제지 집중률,0.898
한산모시문화제,비축제기간,2025,외부방문자 유입,0.234
한산모시문화제,비축제기간,2025,현지인방문자 유입,0.42
한산모시문화제,비축제기간,2025,내비게이션 검색량,0.085
한산모시문화제,비축제기간,2025,관광소비,0.343
한산모시문화제,비축제기간,2025,축제지 집중률,0.248
한산모시문화제,축제기간,2024,외부방문자 유입,0.991
한산모시문화제,축제기간,2024,현지인방문자 유입,0.883
한산모시문화제,축제기간,2024,내비게이션 검색량,0.761
한산모시문화제,축제기간,2024,관광소비,0.488
한산모시문화제,축제기간,2024,축제지 집중률,0.928
한산모시문화제,비축제기간,2024,외부방문자 유입,0.217
한산모시문화제,비축제기간,2024,현지인방문자 유입,0.337
한산모시문화제,비축제기간,2024,내비게이션 검색량,0.128
한산모시문화제,비축제기간,2024,관광소비,0.399
한산모시문화제,비축제기간,2024,축제지 집중률,0.259
한산모시문화제,축제기간,2023,외부방문자 유입,0.75
한산모시문화제,축제기간,2023,현지인방문자 유입,0.97
한산모시문화제,축제기간,2023,내비게이션 검색량,0.479
한산모시문화제,축제기간,2023,관광소비,0.345
한산모시문화제,축제기간,2023,축제지 집중률,0.953
한산모시문화제,비축제기간,2023,외부방문자 유입,0.203
한산모시문화제,비축제기간,2023,현지인방문자 유입,0.377
한산모시문화제,비축제기간,2023,내비게이션 검색량,0.074
한산모시문화제,비축제기간,2023,관광소비,0.371
한산모시문화제,비축제기간,2023,축제지 집중률,0.257
