구분,순위,읍면동명,목적지명,도로명주소,카테고리
외지인,1,오륜동,올림픽공원,서울 송파구 올림픽로 424-0,도시공원
외지인,2,오륜동,올림픽홀,서울 송파구 올림픽로 424-0,공연시설
외지인,3,오륜동,한성백제박물관,서울 송파구 위례성대로 71-0,전시시설
외지인,4,오륜동,올림픽공원88잔디마당,서울 송파구 올림픽로 424-0,기타문화관광지
외지인,5,오륜동,소마미술관,서울 송파구 위례성대로 51-0,전시시설
외지인,6,오륜동,우리금융아트홀,서울 송파구 올림픽로 424-0,공연시설
외지인,7,오륜동,성내유수지축구장,서울 송파구,레저스포츠시설
외지인,8,오륜동,올림픽프라자,서울 송파구 양재대로 1222-0,쇼핑몰
외지인,9,오륜동,올림픽공원들꽃마루,서울 송파구 올림픽로 424-0,도시공원
외지인,10,오륜동,송파구여성축구장,서울 송파구 올림픽로 474-0,레저스포츠시설
외지인,11,오륜동,올림픽공원9경스탬프투어,서울 송파구 올림픽로 424-0,기타문화관광지
외지인,12,오륜동,피크닉장올림픽공원,서울 송파구 올림픽로 424-0,도시공원
외지인,12,오륜동,한성백제문화제,서울 송파구 올림픽로 424-0,기타문화관광지
외지인,14,오륜동,한국체육대학교실내빙상장,서울 송파구 양재대로 1239-0,육상레저스포츠
외지인,15,오륜동,몽촌토성,서울 송파구 올림픽로 424-0,역사유적지
외지인,16,오륜동,올림픽공원야생화학습장,서울 송파구 올림픽로 424-0,기타관광
외지인,17,오륜동,올팍축구장,서울 송파구 올림픽로 424-0,레저스포츠시설
외지인,18,오륜동,그랜드민트페스티벌,서울 송파구 올림픽로 424-0,기타문화관광지
외지인,19,오륜동,방이동생태학습관,서울 송파구 동남로 397-0,전시시설
외지인,20,오륜동,몽촌역사관,서울 송파구 올림픽로 424-0,전시시설
외지인,20,오륜동,SPORTS 360 PLAY,서울 송파구 올림픽로 424-0,기타문화관광지
외지인,22,오륜동,올림픽홀뮤즈라이브,서울 송파구 올림픽로 424-0,공연시설
외지인,22,오륜동,스포츠360랩,서울 송파구 올림픽로 424-0,기타레저스포츠
외지인,24,오륜동,코카뮤직스튜디오,서울 송파구 올림픽로 424-0,공연시설
외지인,25,오륜동,나홀로나무,서울 송파구 올림픽로 424-0,기타관광
외지인,26,오륜동,송파산골주말농장,서울 송파구,농/산/어촌체험
외지인,27,오륜동,허브다섯메,서울 송파구 동남로 437-31,농/산/어촌체험
외지인,28,오륜동,우리주말농장,서울 송파구 동남로 460-0,농/산/어촌체험
전체,1,오륜동,올림픽공원,서울 송파구 올림픽로 424-0,도시공원
전체,2,오륜동,올림픽홀,서울 송파구 올림픽로 424-0,공연시설
전체,3,오륜동,한성백제박물관,서울 송파구 위례성대로 71-0,전시시설
전체,4,오륜동,소마미술관,서울 송파구 위례성대로 51-0,전시시설
전체,5,오륜동,올림픽공원88잔디마당,서울 송파구 올림픽로 424-0,기타문화관광지
전체,6,오륜동,우리금융아트홀,서울 송파구 올림픽로 424-0,공연시설
전체,7,오륜동,올림픽프라자,서울 송파구 양재대로 1222-0,쇼핑몰
전체,8,오륜동,성내유수지축구장,서울 송파구,레저스포츠시설
전체,9,오륜동,올림픽공원들꽃마루,서울 송파구 올림픽로 424-0,도시공원
전체,10,오륜동,송파구여성축구장,서울 송파구 올림픽로 474-0,레저스포츠시설
전체,11,오륜동,올림픽공원9경스탬프투어,서울 송파구 올림픽로 424-0,기타문화관광지
전체,12,오륜동,한성백제문화제,서울 송파구 올림픽로 424-0,기타문화관광지
전체,13,오륜동,한국체육대학교실내빙상장,서울 송파구 양재대로 1239-0,육상레저스포츠
전체,14,오륜동,피크닉장올림픽공원,서울 송파구 올림픽로 424-0,도시공원
전체,15,오륜동,몽촌토성,서울 송파구 올림픽로 424-0,역사유적지
전체,16,오륜동,올림픽공원야생화학습장,서울 송파구 올림픽로 424-0,기타관광
전체,17,오륜동,올팍축구장,서울 송파구 올림픽로 424-0,레저스포츠시설
전체,18,오륜동,방이동생태학습관,서울 송파구 동남로 397-0,전시시설
전체,19,오륜동,그랜드민트페스티벌,서울 송파구 올림픽로 424-0,기타문화관광지
전체,20,오륜동,몽촌역사관,서울 송파구 올림픽로 424-0,전시시설
전체,21,오륜동,SPORTS 360 PLAY,서울 송파구 올림픽로 424-0,기타문화관광지
전체,22,오륜동,올림픽홀뮤즈라이브,서울 송파구 올림픽로 424-0,공연시설
전체,23,오륜동,스포츠360랩,서울 송파구 올림픽로 424-0,기타레저스포츠
전체,24,오륜동,코카뮤직스튜디오,서울 송파구 올림픽로 424-0,공연시설
전체,25,오륜동,송파산골주말농장,서울 송파구,농/산/어촌체험
전체,26,오륜동,나홀로나무,서울 송파구 올림픽로 424-0,기타관광
전체,27,오륜동,허브다섯메,서울 송파구 동남로 437-31,농/산/어촌체험
전체,28,오륜동,우리주말농장,서울 송파구 동남로 460-0,농/산/어촌체험
현지인,1,오륜동,올림픽공원,서울 송파구 올림픽로 424-0,도시공원
현지인,2,오륜동,소마미술관,서울 송파구 위례성대로 51-0,전시시설
현지인,3,오륜동,한성백제박물관,서울 송파구 위례성대로 71-0,전시시설
현지인,4,오륜동,올림픽홀,서울 송파구 올림픽로 424-0,공연시설
현지인,5,오륜동,올림픽프라자,서울 송파구 양재대로 1222-0,쇼핑몰
현지인,6,오륜동,올림픽공원88잔디마당,서울 송파구 올림픽로 424-0,기타문화관광지
현지인,6,오륜동,우리금융아트홀,서울 송파구 올림픽로 424-0,공연시설
현지인,8,오륜동,한국체육대학교실내빙상장,서울 송파구 양재대로 1239-0,육상레저스포츠
현지인,9,오륜동,한성백제문화제,서울 송파구 올림픽로 424-0,기타문화관광지
현지인,9,오륜동,송파구여성축구장,서울 송파구 올림픽로 474-0,레저스포츠시설
