구분,순위,읍면동명,목적지명,도로명주소,카테고리
외지인,1,갈말읍,철원한탄강물윗길트레킹,강원 철원군 태봉대교길 153-0,기타문화관광지
외지인,2,동송읍,동송시외버스터미널,강원 철원군 금학로 215-0,교통시설
외지인,3,갈말읍,순담계곡,강원 철원군 순담길 105-0,자연경관(산)
외지인,4,동송읍,고석정국민관광지,강원 철원군 태봉로 1825-0,복합관광시설
외지인,5,동송읍,철원한탄강은하수교,강원 철원군,기타관광
외지인,6,갈말읍,철원승일교,강원 철원군,역사유적지
외지인,7,갈말읍,신철원시외버스터미널,강원 철원군 명성로 154-0,교통시설
외지인,8,동송읍,직탕폭포,강원 철원군,자연경관(산)
외지인,9,동송읍,철원고석정꽃밭,강원 철원군 태봉로 1769-0,기타관광
외지인,10,갈말읍,승일공원,강원 철원군,도시공원
외지인,11,동송읍,DMZ두루미평화타운,강원 철원군 양지2길 15-19,기타관광
외지인,12,동송읍,횃불전망대,강원 철원군,랜드마크관광
외지인,13,동송읍,고석정,강원 철원군 태봉로 1825-0,역사유적지
외지인,14,동송읍,동송전통시장,강원 철원군 이평로47번길 21-0,시장
외지인,15,갈말읍,삼부연폭포,강원 철원군,자연경관(산)
외지인,16,갈말읍,신철원전통시장,강원 철원군 삼부연로18번길 8-1,시장
외지인,17,갈말읍,철원한탄강주상절리길,강원 철원군 순담길 105-0,기타관광
외지인,18,갈말읍,두루웰숲속문화촌,강원 철원군 지경1길 69-0,기타관광
외지인,19,동송읍,도피안사,강원 철원군 도피동길 23-0,종교성지
외지인,20,갈말읍,한탄강CC,강원 철원군 순담길 59-0,육상레저스포츠
외지인,21,동송읍,심원사,강원 철원군 상노1길 58-0,종교성지
외지인,22,동송읍,학저수지,강원 철원군,자연경관(하천/해양)
외지인,23,갈말읍,군탄공원,강원 철원군 호국로 4914-27,도시공원
외지인,24,동송읍,청원사,강원 철원군 금학로 81-7,종교성지
외지인,25,동송읍,철원평화전망대,강원 철원군,랜드마크관광
외지인,25,동송읍,토교저수지,강원 철원군,자연경관(하천/해양)
외지인,27,동송읍,제2땅굴,강원 철원군,자연생태
외지인,28,동송읍,철원빙상경기장,강원 철원군,육상레저스포츠
외지인,29,동송읍,철원철새도래지관찰소,강원 철원군,기타관광
외지인,30,동송읍,송대소주상절리,강원 철원군 한탄강길 0-0,기타관광
외지인,30,갈말읍,갈리말리키즈카페,강원 철원군 삼부연로8번길 17-6,테마공원
외지인,32,동송읍,담터계곡,강원 철원군,자연경관(산)
외지인,33,동송읍,월정리역폐역,강원 철원군 두루미로 1882-0,교통시설
외지인,33,갈말읍,신철원장,강원 철원군 삼부연로18번길 17-27,시장
외지인,35,갈말읍,철원작은영화관삼부연,강원 철원군 삼부연로 42-0,공연시설
외지인,35,동송읍,동송에너지공원,강원 철원군,도시공원
전체,1,동송읍,동송시외버스터미널,강원 철원군 금학로 215-0,교통시설
전체,2,갈말읍,철원한탄강물윗길트레킹,강원 철원군 태봉대교길 153-0,기타문화관광지
전체,3,갈말읍,순담계곡,강원 철원군 순담길 105-0,자연경관(산)
전체,4,동송읍,고석정국민관광지,강원 철원군 태봉로 1825-0,복합관광시설
전체,5,동송읍,철원한탄강은하수교,강원 철원군,기타관광
전체,6,갈말읍,신철원시외버스터미널,강원 철원군 명성로 154-0,교통시설
전체,7,갈말읍,철원승일교,강원 철원군,역사유적지
전체,8,동송읍,직탕폭포,강원 철원군,자연경관(산)
전체,9,동송읍,철원고석정꽃밭,강원 철원군 태봉로 1769-0,기타관광
전체,10,동송읍,DMZ두루미평화타운,강원 철원군 양지2길 15-19,기타관광
전체,11,갈말읍,승일공원,강원 철원군,도시공원
전체,12,동송읍,횃불전망대,강원 철원군,랜드마크관광
전체,13,동송읍,고석정,강원 철원군 태봉로 1825-0,역사유적지
전체,14,동송읍,동송전통시장,강원 철원군 이평로47번길 21-0,시장
전체,15,갈말읍,삼부연폭포,강원 철원군,자연경관(산)
전체,16,갈말읍,신철원전통시장,강원 철원군 삼부연로18번길 8-1,시장
전체,17,갈말읍,철원한탄강주상절리길,강원 철원군 순담길 105-0,기타관광
전체,18,갈말읍,두루웰숲속문화촌,강원 철원군 지경1길 69-0,기타관광
전체,19,동송읍,도피안사,강원 철원군 도피동길 23-0,종교성지
