축제명,그룹명,개최년도,구분명,지표값
한탄강얼음트레킹축제,축제기간,2025,외부방문자 유입,0.171
한탄강얼음트레킹축제,축제기간,2025,현지인방문자 유입,0.735
한탄강얼음트레킹축제,축제기간,2025,내비게이션 검색량,0.049
한탄강얼음트레킹축제,축제기간,2025,관광소비,0.22
한탄강얼음트레킹축제,축제기간,2025,축제지 집중률,0.729
한탄강얼음트레킹축제,비축제기간,2025,외부방문자 유입,0.192
한탄강얼음트레킹축제,비축제기간,2025,현지인방문자 유입,0.705
한탄강얼음트레킹축제,비축제기간,2025,내비게이션 검색량,0.037
한탄강얼음트레킹축제,비축제기간,2025,관광소비,0.163
한탄강얼음트레킹축제,비축제기간,2025,축제지 집중률,0.705
한탄강얼음트레킹축제,축제기간,2024,외부방문자 유입,0.306
한탄강얼음트레킹축제,축제기간,2024,현지인방문자 유입,0.611
한탄강얼음트레킹축제,축제기간,2024,내비게이션 검색량,0.27
한탄강얼음트레킹축제,축제기간,2024,관광소비,0.287
한탄강얼음트레킹축제,축제기간,2024,축제지 집중률,0.781
한탄강얼음트레킹축제,비축제기간,2024,외부방문자 유입,0.326
한탄강얼음트레킹축제,비축제기간,2024,현지인방문자 유입,0.64
한탄강얼음트레킹축제,비축제기간,2024,내비게이션 검색량,0.137
한탄강얼음트레킹축제,비축제기간,2024,관광소비,0.201
한탄강얼음트레킹축제,비축제기간,2024,축제지 집중률,0.773
