축제명,그룹명,개최년도,구분명,지표값
함평나비축제,축제기간,2025,외부방문자 유입,0.416
함평나비축제,축제기간,2025,현지인방문자 유입,0.815
함평나비축제,축제기간,2025,내비게이션 검색량,0.308
함평나비축제,축제기간,2025,관광소비,0.603
함평나비축제,축제기간,2025,축제지 집중률,0.874
함평나비축제,비축제기간,2025,외부방문자 유입,0.121
함평나비축제,비축제기간,2025,현지인방문자 유입,0.729
함평나비축제,비축제기간,2025,내비게이션 검색량,0.055
함평나비축제,비축제기간,2025,관광소비,0.412
함평나비축제,비축제기간,2025,축제지 집중률,0.519
함평나비축제,축제기간,2024,외부방문자 유입,0.515
함평나비축제,축제기간,2024,현지인방문자 유입,0.82
함평나비축제,축제기간,2024,내비게이션 검색량,0.4
함평나비축제,축제기간,2024,관광소비,0.619
함평나비축제,축제기간,2024,축제지 집중률,0.848
함평나비축제,비축제기간,2024,외부방문자 유입,0.182
함평나비축제,비축제기간,2024,현지인방문자 유입,0.724
함평나비축제,비축제기간,2024,내비게이션 검색량,0.094
함평나비축제,비축제기간,2024,관광소비,0.531
함평나비축제,비축제기간,2024,축제지 집중률,0.515
함평나비축제,축제기간,2023,외부방문자 유입,0.524
함평나비축제,축제기간,2023,현지인방문자 유입,0.782
함평나비축제,축제기간,2023,내비게이션 검색량,0.299
함평나비축제,축제기간,2023,관광소비,0.487
함평나비축제,축제기간,2023,축제지 집중률,0.886
함평나비축제,비축제기간,2023,외부방문자 유입,0.241
함평나비축제,비축제기간,2023,현지인방문자 유입,0.707
함평나비축제,비축제기간,2023,내비게이션 검색량,0.153
함평나비축제,비축제기간,2023,관광소비,0.413
함평나비축제,비축제기간,2023,축제지 집중률,0.612
