구분,순위,읍면동명,목적지명,도로명주소,카테고리
외지인,1,괴산읍,괴산고추축제,충북 괴산군 임꺽정로 75-1,기타문화관광지
외지인,2,괴산읍,충청북도아쿠아리움,충북 괴산군 쏘가리길 43-0,테마공원
외지인,3,괴산읍,괴산전통시장,충북 괴산군 읍내로15길 12-0,시장
외지인,4,괴산읍,괴산시외버스터미널,충북 괴산군 읍내로 286-0,교통시설
외지인,5,괴산읍,괴산유기농엑스포기념관,충북 괴산군 임꺽정로 108-0,전시시설
외지인,6,괴산읍,성불산자연휴양림,충북 괴산군 충민로기곡길 78-0,자연공원
외지인,7,괴산읍,일완홍범식고택,충북 괴산군 임꺽정로 16-0,역사유적지
외지인,8,괴산읍,괴산자연드림파크2단지,충북 괴산군 자연식품1길 14-0,기타관광
외지인,9,괴산읍,괴산군청소년수련원,충북 괴산군 충민로검승3길 41-0,육상레저스포츠
외지인,10,괴산읍,괴강불빛공원,충북 괴산군,도시공원
외지인,11,괴산읍,괴산농업역사박물관,충북 괴산군 충민로검승1길 6-0,전시시설
외지인,12,괴산읍,사호정,충북 괴산군 동진천길 197-0,육상레저스포츠
외지인,13,괴산읍,괴산전통시장,충북 괴산군 읍내로15길 8-8,시장
외지인,14,괴산읍,중원대학교골프실습장,충북 괴산군 문무로 85-0,육상레저스포츠
외지인,15,괴산읍,충민사,충북 괴산군 충민사길 46-0,역사유적지
외지인,16,괴산읍,문무레스텔,충북 괴산군 읍내로 194-0,기타문화관광지
외지인,17,괴산읍,중원대학교승마교육원,충북 괴산군 문무로 468-0,육상레저스포츠
외지인,17,괴산읍,괴산고산정및제월대,충북 괴산군,역사유적지
외지인,19,괴산읍,신항저수지,충북 괴산군,자연경관(하천/해양)
외지인,20,괴산읍,괴산김장축제,충북 괴산군 임꺽정로 75-1,기타문화관광지
외지인,21,괴산읍,마하금강사,충북 괴산군 관동로 533-121,종교성지
외지인,21,괴산읍,괴산게이트볼장,충북 괴산군 임꺽정로 75-0,기타레저스포츠
외지인,23,괴산읍,괴산파크골프장,충북 괴산군 임꺽정로 222-0,육상레저스포츠
외지인,23,괴산읍,성불산치유의숲,충북 괴산군 충민로기곡길 80-0,자연공원
외지인,23,괴산읍,괴산보훈공원,충북 괴산군,도시공원
외지인,23,괴산읍,고추유통센터,충북 괴산군 문무로 12-0,시장
외지인,23,괴산읍,이탄유원지,충북 괴산군,복합관광시설
