축제명,그룹명,개최년도,구분명,지표값
괴산고추축제,축제기간,2025,외부방문자 유입,0.589
괴산고추축제,축제기간,2025,현지인방문자 유입,0.871
괴산고추축제,축제기간,2025,내비게이션 검색량,0.255
괴산고추축제,축제기간,2025,관광소비,0.562
괴산고추축제,축제기간,2025,축제지 집중률,0.78
괴산고추축제,비축제기간,2025,외부방문자 유입,0.418
괴산고추축제,비축제기간,2025,현지인방문자 유입,0.678
괴산고추축제,비축제기간,2025,내비게이션 검색량,0.295
괴산고추축제,비축제기간,2025,관광소비,0.613
괴산고추축제,비축제기간,2025,축제지 집중률,0.503
괴산고추축제,축제기간,2024,외부방문자 유입,0.721
괴산고추축제,축제기간,2024,현지인방문자 유입,0.861
괴산고추축제,축제기간,2024,내비게이션 검색량,0.641
괴산고추축제,축제기간,2024,관광소비,0.655
괴산고추축제,축제기간,2024,축제지 집중률,0.671
괴산고추축제,비축제기간,2024,외부방문자 유입,0.455
괴산고추축제,비축제기간,2024,현지인방문자 유입,0.675
괴산고추축제,비축제기간,2024,내비게이션 검색량,0.362
괴산고추축제,비축제기간,2024,관광소비,0.608
괴산고추축제,비축제기간,2024,축제지 집중률,0.495
괴산고추축제,축제기간,2023,외부방문자 유입,0.673
괴산고추축제,축제기간,2023,현지인방문자 유입,0.885
괴산고추축제,축제기간,2023,내비게이션 검색량,0.614
괴산고추축제,축제기간,2023,관광소비,0.596
괴산고추축제,축제기간,2023,축제지 집중률,0.728
괴산고추축제,비축제기간,2023,외부방문자 유입,0.428
괴산고추축제,비축제기간,2023,현지인방문자 유입,0.603
괴산고추축제,비축제기간,2023,내비게이션 검색량,0.315
괴산고추축제,비축제기간,2023,관광소비,0.654
괴산고추축제,비축제기간,2023,축제지 집중률,0.435
