구분,순위,읍면동명,목적지명,도로명주소,카테고리
외지인,1,서신면,전곡항,경기 화성시,자연경관(하천/해양)
외지인,2,서신면,궁평항,경기 화성시 궁평항로 1049-24,자연경관(하천/해양)
외지인,3,서신면,전곡항마리나,경기 화성시 전곡항로 5-0,수상레저스포츠
외지인,4,서신면,제부도,경기 화성시,자연경관(하천/해양)
외지인,5,서신면,서해랑제부도해상케이블카전곡정류장,경기 화성시 전곡항로 1-10,기타관광
외지인,6,서신면,궁평항수산물직판장,경기 화성시 궁평항로 1049-24,시장
외지인,7,서신면,제부도해변,경기 화성시,자연경관(하천/해양)
외지인,8,서신면,화성뱃놀이축제,경기 화성시,기타문화관광지
외지인,9,서신면,서해랑제부도해상케이블카제부정류장,경기 화성시 해안길 18-0,기타관광
외지인,10,서신면,궁평리해변,경기 화성시,자연경관(하천/해양)
외지인,11,서신면,궁평유원지,경기 화성시 수문개길 145-0,도시공원
외지인,12,서신면,서신바다낚시터,경기 화성시 제부로 522-84,수상레저스포츠
외지인,13,서신면,전곡항마리나클럽하우스,경기 화성시 전곡항로 5-0,기타문화관광지
외지인,14,서신면,제부마리나,경기 화성시 해안길 477-0,수상레저스포츠
외지인,15,서신면,나우바다좌대낚시터,경기 화성시 제부로 260-0,수상레저스포츠
외지인,16,서신면,제부도선착장,경기 화성시 해안길 421-12,교통시설
외지인,17,서신면,전곡항부잔교,경기 화성시 전곡항로 21-4,자연경관(하천/해양)
외지인,18,서신면,궁평항선착장,경기 화성시,교통시설
외지인,19,서신면,궁평해송군락지,경기 화성시,기타관광
외지인,20,서신면,전곡항수산물센터,경기 화성시 전곡항로 21-4,시장
외지인,21,서신면,궁평유원지,경기 화성시 수문개길 145-0,복합관광시설
외지인,22,서신면,전곡종합수산시장,경기 화성시 전곡항로32번길 1-4,시장
외지인,23,서신면,신흥사,경기 화성시 신흥사길 17-34,종교성지
외지인,24,서신면,백미항,경기 화성시,자연경관(하천/해양)
외지인,25,서신면,궁평캠프,경기 화성시 궁평항로 1206-0,육상레저스포츠
