축제명,그룹명,개최년도,구분명,지표값
화성뱃놀이축제,축제기간,2025,외부방문자 유입,0.601
화성뱃놀이축제,축제기간,2025,현지인방문자 유입,0.883
화성뱃놀이축제,축제기간,2025,내비게이션 검색량,0.626
화성뱃놀이축제,축제기간,2025,관광소비,0.879
화성뱃놀이축제,축제기간,2025,축제지 집중률,0.644
화성뱃놀이축제,비축제기간,2025,외부방문자 유입,0.426
화성뱃놀이축제,비축제기간,2025,현지인방문자 유입,0.572
화성뱃놀이축제,비축제기간,2025,내비게이션 검색량,0.384
화성뱃놀이축제,비축제기간,2025,관광소비,0.819
화성뱃놀이축제,비축제기간,2025,축제지 집중률,0.481
화성뱃놀이축제,축제기간,2024,외부방문자 유입,0.714
화성뱃놀이축제,축제기간,2024,현지인방문자 유입,0.809
화성뱃놀이축제,축제기간,2024,내비게이션 검색량,0.675
화성뱃놀이축제,축제기간,2024,관광소비,0.812
화성뱃놀이축제,축제기간,2024,축제지 집중률,0.758
화성뱃놀이축제,비축제기간,2024,외부방문자 유입,0.48
화성뱃놀이축제,비축제기간,2024,현지인방문자 유입,0.493
화성뱃놀이축제,비축제기간,2024,내비게이션 검색량,0.37
화성뱃놀이축제,비축제기간,2024,관광소비,0.78
화성뱃놀이축제,비축제기간,2024,축제지 집중률,0.5
화성뱃놀이축제,축제기간,2023,외부방문자 유입,0.49
화성뱃놀이축제,축제기간,2023,현지인방문자 유입,0.817
화성뱃놀이축제,축제기간,2023,내비게이션 검색량,0.418
화성뱃놀이축제,축제기간,2023,관광소비,0.756
화성뱃놀이축제,축제기간,2023,축제지 집중률,0.511
화성뱃놀이축제,비축제기간,2023,외부방문자 유입,0.397
화성뱃놀이축제,비축제기간,2023,현지인방문자 유입,0.581
화성뱃놀이축제,비축제기간,2023,내비게이션 검색량,0.265
화성뱃놀이축제,비축제기간,2023,관광소비,0.78
화성뱃놀이축제,비축제기간,2023,축제지 집중률,0.393
