구분,순위,읍면동명,목적지명,도로명주소,카테고리
외지인,1,화천읍,얼음나라화천산천어축제,강원 화천군,기타문화관광지
외지인,2,화천읍,화천청소년수련관,강원 화천군 산천어길 79-0,육상레저스포츠
외지인,3,화천읍,화천공영버스터미널,강원 화천군 상승로 38-5,교통시설
외지인,4,화천읍,실내얼음조각광장,강원 화천군 상승로2길 25-10,기타레저스포츠
외지인,5,화천읍,산천어시네마,강원 화천군 상승로2길 25-10,공연시설
외지인,6,화천읍,평화의댐물문화관,강원 화천군 평화로 3481-18,전시시설
외지인,7,화천읍,화천시장,강원 화천군 중앙로4길 12-0,시장
외지인,8,화천읍,붕어섬유원지,강원 화천군 강변로 2-54,복합관광시설
외지인,9,화천읍,화천산천어,강원 화천군,수상레저스포츠
외지인,10,화천읍,살랑교,강원 화천군,기타관광
외지인,11,화천읍,화천시내버스터미널,강원 화천군,교통시설
외지인,12,화천읍,산타클로스우체국대한민국본점,강원 화천군 산수화로 10-0,전시시설
외지인,13,화천읍,선등거리페스티벌,강원 화천군,기타문화관광지
외지인,14,화천읍,백암산케이블카,강원 화천군 한묵령로 1285-89,기타관광
외지인,15,화천읍,해산관광농원,강원 화천군 호음로 473-0,농/산/어촌체험
외지인,16,화천읍,산천어커피박물관,강원 화천군 상승로2길 21-0,전시시설
외지인,17,화천읍,파로호,강원 화천군,자연경관(하천/해양)
외지인,18,화천읍,화천강낚시터,강원 화천군,수상레저스포츠
외지인,19,화천읍,화천5일장,강원 화천군,시장
외지인,19,화천읍,딴산폭포,강원 화천군,자연경관(산)
외지인,21,화천읍,서화산다목적광장,강원 화천군 상승로2길 25-10,기타문화관광지
외지인,22,화천읍,낭천산림욕장,강원 화천군,자연공원
외지인,23,화천읍,숲으로다리,강원 화천군,기타관광
외지인,24,화천읍,화천회전탑,강원 화천군,기타관광
외지인,25,화천읍,백암사,강원 화천군,종교성지
전체,1,화천읍,얼음나라화천산천어축제,강원 화천군,기타문화관광지
전체,2,화천읍,화천공영버스터미널,강원 화천군 상승로 38-5,교통시설
전체,3,화천읍,화천청소년수련관,강원 화천군 산천어길 79-0,육상레저스포츠
전체,4,화천읍,실내얼음조각광장,강원 화천군 상승로2길 25-10,기타레저스포츠
전체,5,화천읍,산천어시네마,강원 화천군 상승로2길 25-10,공연시설
전체,6,화천읍,평화의댐물문화관,강원 화천군 평화로 3481-18,전시시설
전체,7,화천읍,화천시장,강원 화천군 중앙로4길 12-0,시장
전체,8,화천읍,화천산천어,강원 화천군,수상레저스포츠
전체,9,화천읍,붕어섬유원지,강원 화천군 강변로 2-54,복합관광시설
전체,10,화천읍,살랑교,강원 화천군,기타관광
전체,11,화천읍,화천시내버스터미널,강원 화천군,교통시설
전체,12,화천읍,산타클로스우체국대한민국본점,강원 화천군 산수화로 10-0,전시시설
전체,13,화천읍,백암산케이블카,강원 화천군 한묵령로 1285-89,기타관광
전체,14,화천읍,선등거리페스티벌,강원 화천군,기타문화관광지
전체,15,화천읍,해산관광농원,강원 화천군 호음로 473-0,농/산/어촌체험
전체,16,화천읍,산천어커피박물관,강원 화천군 상승로2길 21-0,전시시설
전체,17,화천읍,파로호,강원 화천군,자연경관(하천/해양)
전체,18,화천읍,화천강낚시터,강원 화천군,수상레저스포츠
전체,19,화천읍,화천5일장,강원 화천군,시장
전체,19,화천읍,딴산폭포,강원 화천군,자연경관(산)
전체,21,화천읍,서화산다목적광장,강원 화천군 상승로2길 25-10,기타문화관광지
전체,22,화천읍,낭천산림욕장,강원 화천군,자연공원
전체,23,화천읍,숲으로다리,강원 화천군,기타관광
전체,24,화천읍,화천회전탑,강원 화천군,기타관광
전체,24,화천읍,백암사,강원 화천군,종교성지
현지인,1,화천읍,얼음나라화천산천어축제,강원 화천군,기타문화관광지
현지인,2,화천읍,화천공영버스터미널,강원 화천군 상승로 38-5,교통시설
현지인,3,화천읍,화천청소년수련관,강원 화천군 산천어길 79-0,육상레저스포츠
현지인,4,화천읍,산천어시네마,강원 화천군 상승로2길 25-10,공연시설
현지인,5,화천읍,실내얼음조각광장,강원 화천군 상승로2길 25-10,기타레저스포츠
현지인,6,화천읍,평화의댐물문화관,강원 화천군 평화로 3481-18,전시시설
현지인,7,화천읍,화천시장,강원 화천군 중앙로4길 12-0,시장
현지인,8,화천읍,화천산천어,강원 화천군,수상레저스포츠
현지인,9,화천읍,살랑교,강원 화천군,기타관광
현지인,10,화천읍,붕어섬유원지,강원 화천군 강변로 2-54,복합관광시설
현지인,11,화천읍,화천시내버스터미널,강원 화천군,교통시설
현지인,12,화천읍,산타클로스우체국대한민국본점,강원 화천군 산수화로 10-0,전시시설
현지인,13,화천읍,백암산케이블카,강원 화천군 한묵령로 1285-89,기타관광
현지인,14,화천읍,선등거리페스티벌,강원 화천군,기타문화관광지
현지인,15,화천읍,해산관광농원,강원 화천군 호음로 473-0,농/산/어촌체험
현지인,15,화천읍,산천어커피박물관,강원 화천군 상승로2길 21-0,전시시설
현지인,17,화천읍,파로호,강원 화천군,자연경관(하천/해양)
현지인,18,화천읍,화천강낚시터,강원 화천군,수상레저스포츠
현지인,19,화천읍,화천5일장,강원 화천군,시장
현지인,19,화천읍,딴산폭포,강원 화천군,자연경관(산)
현지인,21,화천읍,백암사,강원 화천군,종교성지
현지인,21,화천읍,숲으로다리,강원 화천군,기타관광
현지인,23,화천읍,서화산다목적광장,강원 화천군 상승로2길 25-10,기타문화관광지
현지인,23,화천읍,낭천산림욕장,강원 화천군,자연공원
현지인,23,화천읍,화천회전탑,강원 화천군,기타관광
