축제명,그룹명,개최년도,구분명,지표값
화천산천어축제,축제기간,2025,외부방문자 유입,0.544
화천산천어축제,축제기간,2025,현지인방문자 유입,0.815
화천산천어축제,축제기간,2025,내비게이션 검색량,0.437
화천산천어축제,축제기간,2025,관광소비,0.533
화천산천어축제,축제기간,2025,축제지 집중률,0.875
화천산천어축제,비축제기간,2025,외부방문자 유입,0.264
화천산천어축제,비축제기간,2025,현지인방문자 유입,0.758
화천산천어축제,비축제기간,2025,내비게이션 검색량,0.134
화천산천어축제,비축제기간,2025,관광소비,0.232
화천산천어축제,비축제기간,2025,축제지 집중률,0.729
화천산천어축제,축제기간,2024,외부방문자 유입,0.52
화천산천어축제,축제기간,2024,현지인방문자 유입,0.836
화천산천어축제,축제기간,2024,내비게이션 검색량,0.253
화천산천어축제,축제기간,2024,관광소비,0.497
화천산천어축제,축제기간,2024,축제지 집중률,0.881
화천산천어축제,비축제기간,2024,외부방문자 유입,0.28
화천산천어축제,비축제기간,2024,현지인방문자 유입,0.757
화천산천어축제,비축제기간,2024,내비게이션 검색량,0.088
화천산천어축제,비축제기간,2024,관광소비,0.228
화천산천어축제,비축제기간,2024,축제지 집중률,0.69
화천산천어축제,축제기간,2023,외부방문자 유입,0.453
화천산천어축제,축제기간,2023,현지인방문자 유입,0.877
화천산천어축제,축제기간,2023,내비게이션 검색량,0.503
화천산천어축제,축제기간,2023,관광소비,0.565
화천산천어축제,축제기간,2023,축제지 집중률,0.858
화천산천어축제,비축제기간,2023,외부방문자 유입,0.248
화천산천어축제,비축제기간,2023,현지인방문자 유입,0.782
화천산천어축제,비축제기간,2023,내비게이션 검색량,0.194
화천산천어축제,비축제기간,2023,관광소비,0.266
화천산천어축제,비축제기간,2023,축제지 집중률,0.709
