구분,순위,읍면동명,목적지명,도로명주소,카테고리
외지인,1,횡성읍,횡성한우축제,강원 횡성군,기타문화관광지
외지인,2,횡성읍,횡성시장,강원 횡성군 문정로19번길 10-0,시장
외지인,3,횡성읍,원주공항,강원 횡성군 횡성로 38-0,교통시설
외지인,4,횡성읍,횡성시외버스터미널,강원 횡성군 횡성로 377-0,교통시설
외지인,5,횡성읍,횡성역,강원 횡성군 덕고로 591-0,교통시설
외지인,6,횡성읍,섬강유원지,강원 횡성군,복합관광시설
외지인,7,횡성읍,횡성한우체험관,강원 횡성군 문예로 41-0,기타문화관광지
외지인,8,횡성읍,반곡지,강원 횡성군,자연경관(하천/해양)
외지인,9,횡성읍,횡성문화체육공원,강원 횡성군 문예로 75-0,도시공원
외지인,10,횡성읍,횡성종합운동장인라인스케이트장,강원 횡성군 문화체육로 57-0,기타레저스포츠
외지인,11,횡성읍,만세공원,강원 횡성군,도시공원
외지인,12,횡성읍,횡성향교,강원 횡성군,역사유적지
외지인,13,횡성읍,횡성종합운동장풋살장,강원 횡성군 문화체육로 47-0,기타레저스포츠
외지인,14,횡성읍,횡성시네마,강원 횡성군 앞들서3로 6-0,공연시설
외지인,15,횡성읍,청룡저수지,강원 횡성군,자연경관(하천/해양)
외지인,16,횡성읍,횡성파크골프장,강원 횡성군 앞들동2로 45-19,육상레저스포츠
외지인,17,횡성읍,마옥저수지,강원 횡성군 성동로 0-0,자연경관(하천/해양)
전체,1,횡성읍,횡성한우축제,강원 횡성군,기타문화관광지
전체,2,횡성읍,횡성시장,강원 횡성군 문정로19번길 10-0,시장
전체,3,횡성읍,원주공항,강원 횡성군 횡성로 38-0,교통시설
전체,4,횡성읍,횡성시외버스터미널,강원 횡성군 횡성로 377-0,교통시설
전체,5,횡성읍,횡성역,강원 횡성군 덕고로 591-0,교통시설
전체,6,횡성읍,섬강유원지,강원 횡성군,복합관광시설
전체,7,횡성읍,횡성한우체험관,강원 횡성군 문예로 41-0,기타문화관광지
전체,8,횡성읍,반곡지,강원 횡성군,자연경관(하천/해양)
전체,9,횡성읍,횡성문화체육공원,강원 횡성군 문예로 75-0,도시공원
전체,10,횡성읍,횡성종합운동장인라인스케이트장,강원 횡성군 문화체육로 57-0,기타레저스포츠
전체,11,횡성읍,만세공원,강원 횡성군,도시공원
전체,12,횡성읍,횡성향교,강원 횡성군,역사유적지
전체,13,횡성읍,청룡저수지,강원 횡성군,자연경관(하천/해양)
전체,14,횡성읍,횡성종합운동장풋살장,강원 횡성군 문화체육로 47-0,기타레저스포츠
전체,15,횡성읍,횡성시네마,강원 횡성군 앞들서3로 6-0,공연시설
전체,16,횡성읍,횡성파크골프장,강원 횡성군 앞들동2로 45-19,육상레저스포츠
전체,16,횡성읍,마옥저수지,강원 횡성군 성동로 0-0,자연경관(하천/해양)
현지인,1,횡성읍,횡성한우축제,강원 횡성군,기타문화관광지
현지인,2,횡성읍,횡성시장,강원 횡성군 문정로19번길 10-0,시장
현지인,3,횡성읍,원주공항,강원 횡성군 횡성로 38-0,교통시설
현지인,4,횡성읍,횡성시외버스터미널,강원 횡성군 횡성로 377-0,교통시설
현지인,4,횡성읍,횡성역,강원 횡성군 덕고로 591-0,교통시설
현지인,6,횡성읍,섬강유원지,강원 횡성군,복합관광시설
현지인,7,횡성읍,반곡지,강원 횡성군,자연경관(하천/해양)
현지인,8,횡성읍,만세공원,강원 횡성군,도시공원
현지인,9,횡성읍,청룡저수지,강원 횡성군,자연경관(하천/해양)
현지인,9,횡성읍,횡성향교,강원 횡성군,역사유적지
현지인,9,횡성읍,횡성한우체험관,강원 횡성군 문예로 41-0,기타문화관광지
현지인,12,횡성읍,횡성문화체육공원,강원 횡성군 문예로 75-0,도시공원
현지인,13,횡성읍,횡성종합운동장인라인스케이트장,강원 횡성군 문화체육로 57-0,기타레저스포츠
현지인,14,횡성읍,마옥저수지,강원 횡성군 성동로 0-0,자연경관(하천/해양)
현지인,14,횡성읍,횡성종합운동장풋살장,강원 횡성군 문화체육로 47-0,기타레저스포츠
현지인,14,횡성읍,횡성시네마,강원 횡성군 앞들서3로 6-0,공연시설
현지인,17,횡성읍,횡성파크골프장,강원 횡성군 앞들동2로 45-19,육상레저스포츠
